Year,US_foreign,US_JV,atSea_US_MS,atSea_US_CP,US_shore,USresearch,Ustotal,CAN_forgn,CAN_JV,CAN_Shoreside,CAN_FreezeTrawl,CANtotal,TOTAL,US_SAUP_Unreport_Art,US_SAUP_Unreport_Ind,US_SAUP_Unreport_Rec,US_SAUP_Unreport_Tot,US_SAUP_Report_Art,US_SAUP_Report_Ind,US_SAUP_Report_Rec,US_SAUP_Report_Tot,US_SAUP_Total,CAN_SAUP_Report,CAN_SAUP_Unreport,CAN_SAUP_Total,TOTAL_SAUP
1966,137000,0,0,0,0,0,137000,700,0,0,0,700,137700,1.00064161,3915.23727,2.137567946,3918.375479,1.6,5366.2,15.21216111,5383.012161,9301.38764,,,,9301.38764
1967,168700,0,0,0,8960,0,177660,36710,0,0,0,36710,214370,1.621356696,5239.369968,1.944207863,5242.935532,0.2,13071.8,16.61149189,13088.61149,18331.54702,0,36713,36713,55044.54702
1968,60660,0,0,0,160,0,60820,61360,0,0,0,61360,122180,1.223701547,3463.223079,2.224315111,3466.671096,,4262.3,15.22386268,4277.523863,7744.194958,0,61361,61361,69105.19496
1969,86190,0,0,0,90,0,86280,93850,0,0,0,93850,180130,0.919742676,3785.489686,2.040705823,3788.450134,0.6,3880.6,14.99032694,3896.190327,7684.640461,0,92619,92619,100303.6405
1970,159510,0,0,0,70,0,159580,75010,0,0,0,75010,234590,1.033262694,5322.612654,2.166136483,5325.812053,0.7,4090.3,15.77061691,4106.770617,9432.58267,0,75009,75009,84441.58267
1971,126490,0,0,0,1430,0,127920,26700,0,0,0,26700,154620,0.865886117,3862.486767,2.123519123,3865.476172,10.4,4843.3,19.38719166,4873.087192,8738.563364,0,26699,26699,35437.56336
1972,74090,0,0,0,40,0,74130,43410,0,0,0,43410,117540,0.408499423,6669.484522,2.169035527,6672.062057,0.2,1906.7,19.6543182,1926.554318,8598.616375,0,43413,43413,52011.61638
1973,147440,0,0,0,70,0,147510,15130,0,0,0,15130,162640,0.062333883,7697.349215,2.110021768,7699.521571,3.3,1173.5,19.0828542,1195.882854,8895.404425,0,15125,15125,24020.40443
1974,194110,0,0,0,0,0,194110,17150,0,0,0,17150,211260,0.133631893,7655.957056,2.236398685,7658.327086,0.2,2388.3,23.30515684,2411.805157,10070.13224,0,17146,17146,27216.13224
1975,205650,0,0,0,0,0,205650,15700,0,0,0,15700,221350,0.434036798,8782.084648,2.259956408,8784.778641,,1541.4,24.83789707,1566.237897,10351.01654,0,15704,15704,26055.01654
1976,231330,0,0,0,220,0,231550,5970,0,0,0,5970,237520,0.451177176,9146.23946,2.325723113,9149.016361,0.1,1923.1,27.58027266,1950.780273,11099.79663,0,5972,5972,17071.79663
1977,127010,0,0,0,490,0,127500,5190,0,0,0,5190,132690,0.617410999,14416.69601,1.911940109,14419.22536,2.6,2120,19.91935453,2142.519355,16561.74471,0,5191,5191,21752.74471
1978,96827.431,860,0,0,690,0,98377.431,3450,1810,0,0,5260,103637,0.61045315,15565.45088,1.984149344,15568.04548,1.7,3620.2,18.71693918,3640.616939,19208.66242,0,1814,1814,21022.66242
1979,114910,8830,0,0,940,0,124680,7900,4230,300,0,12430,137110,1.365801822,11355.47129,2.140251927,11358.97734,0.6,5407.6,19.74470281,5427.944703,16786.92205,0,5051,5051,21837.92205
1980,44022.879,27537.036,0,0,790,0,72349.915,5270,12210,100,0,17580,89930,0.272768614,11183.62535,2.508419719,11186.40654,0.1,6115.6,134.3875653,6250.087565,17436.49411,0,13183,13183,30619.49411
1981,70364.65056,43556.51998,0,0,838.48194,0,114759.6525,3920,17160,3280,0,24360,139120,1.469736665,12147.79893,1.065384548,12150.33405,,5106.1,23.40737,5129.50737,17279.84142,22183,22851,45034,62313.84142
1982,7089.39046,67464.90015,0,0,1026.56738,0,75580.85799,12480,19680,0,0,32160,107741,1.432020148,11355.02089,1.065384548,11357.5183,,7072.4,92.62837,7165.02837,18522.54667,21705,22501,44206,62728.54667
1983,0,72100.22045,0,0,1050.79742,0,73151.01787,13120,27660,0,0,40780,113931,0.75638773,8088.453746,1.693841664,8090.903976,,7682.2,34.90746,7717.10746,15808.01144,30726,30779,61505,77313.01144
1984,14772.34988,78889.06969,0,0,2720.67887,0,96382.09844,13200,28910,0,0,42110,138492,0.38839006,7324.079484,1.787814236,7326.255688,,6600.3,73.43908,6673.73908,13999.99477,33596,33506,67102,81101.99477
1985,49853.24004,31691.92058,0,0,3894.02573,0,85439.18635,10530,13240,1190,0,24960,110399,1.188303955,9130.046922,2.658731225,9133.893957,0.5,7249.7,83.76462,7333.96462,16467.85858,19308,13373,32681,49148.85858
1986,69861.02959,81639.5202,0,0,3465.35818,0,154965.908,23740,30140,1770,0,55650,210616,1.734169441,12718.24021,0.606600517,12720.58098,1.3,4856.1,76.87148,4934.27148,17654.85246,36504,30570,67074,84728.85246
1987,49655.70935,105996.6203,0,0,4795.30946,0,160447.6391,21450,48080,4170,0,73700,234148,1.888543946,14551.17572,1.102187207,14554.16645,0.6,5082.9,10.4273,5093.9273,19648.09375,74706,48261,122967,142615.0938
1988,18040.97987,135781.1791,0,0,6867.43293,0,160689.5919,38080,49240,830,0,88150,248840,1.162219842,15119.0868,12.87602521,15133.12504,1.2,17132.39197,79.80907,17213.40104,32346.52608,57529.64716,49876,107405.6472,139752.1733
1989,0,195635.9001,0,0,7413.60327,0,203049.5034,29750,62717.62,2561.85362,0,95029.47362,298079,1.004856529,30750.33917,1.083091439,30752.42712,59.4,17537.898,41.1732,17638.4712,48390.89832,75702.29568,66253,141955.2957,190346.194
1990,0,170972.4303,0,4537.006718,9632.38472,0,185141.8217,3810,68313.51,4020.740676,0,76144.25068,261286,1.205942665,21914.55964,2.084630939,21917.85022,2.6,12817.7,32.31475429,12852.61475,34770.46497,79453,78811,158264,193034.465
1991,0,0,86408.03695,119410.6691,23970.02433,0,229788.7304,5610,68132.52,16174.183,0,89916.703,319705,1.659429468,19472.04493,1.843770486,19475.54813,3,204509.4338,23.11104857,204535.5448,224011.093,99069.04204,97162,196231.042,420242.135
1992,0,0,36720.7401,117980.7282,56127.31581,0,210828.7841,0,68778.624,20042.876,0,88821.5,299650,1.605387814,34040.63952,1.773481029,34044.01839,0.6,197103.7,13.90734286,197118.2073,231162.2257,97317,69657,166974,398136.2257
