year,wgt_total, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20
2005,668721276.444359,0,56702728.9272069,3391697.92354618,18366010.6148947,32613846.8533246,347058841.983998,64653165.7644455,27256687.6946827,45002585.5275291,34090195.3407778,20770202.9519813,8601302.916186,7363701.74598317,2198662.71444927,0,141027.754292927,175068.936363633,335548.794696964,0,0
2007,259894282.372967,0,440457.231887127,2035477.36328648,18629439.2512988,3224270.49504248,17397534.0403785,12669051.9454417,152072102.126788,18048421.995732,11027098.6482256,9710289.64267411,6024360.9271427,4918352.29200321,2257625.66242841,716991.686934142,261781.954661553,461027.109042846,0,0,0
2009,398116582.823,0,967261.560465431,4482536.15514674,30398668.8297133,22525791.0867844,74366560.3476045,15335026.0685014,22545995.7942092,22741981.5662627,114686613.35288,52557332.0203683,23059636.9062496,3091554.60856924,6660051.03632055,1489773.07341326,3207800.41651179,0,0,0,0
2011,72409455.9412706,0,0,10006860.2397076,2113727.34487286,7142823.23822884,9037698.22072678,2662651.55384176,3958509.658109,2387909.23582491,3792091.03576093,7556623.838554,14531851.954885,5892178.36647089,2568582.12344171,392851.406137484,196230.254607977,168867.470100889,0,0,0
2012,138679246.086862,0,519868.7622585,6816401.4697169,21232901.4368388,5639826.03992687,28504719.1511834,19489574.7168311,10281076.9210658,6776143.11426171,3452179.9721385,4116361.56598204,8291736.95624275,13778483.7181995,7801183.79774806,1222196.71797461,0,756591.746493413,0,0,0
2013,123992240.740725,0,23234.4260397365,2100892.44649151,8257766.8613652,19331480.3916777,7946702.32738372,19406313.6309866,15464639.4874386,6857998.72609656,4669177.9432101,2936037.02668445,4427035.16840533,7227302.61088592,16463497.4601663,5877348.68654064,1865634.02079442,540238.944091576,596940.582467029,0,0
2015,457794287.956224,0,1738424.95345019,19325823.1648949,17273161.725943,282824054.589312,30456707.873455,52041416.0385221,12236952.0535123,10887990.9444465,10400662.3073212,6637357.77694788,1381252.72133374,2062953.10394042,2027094.26824063,2178976.95414804,4819783.05664936,974951.141807738,526725.282298746,0,0
2017,389609801.682541,0,1107617.45054967,51919473.2436603,12181476.2242236,22812716.9197071,26322490.9957825,178693238.353647,24910711.7421266,32341197.9969971,7116224.74374877,10756415.6677276,10203183.8104949,3582643.85065177,4510479.60650952,789461.423647002,0,0,2362469.65306773,0,0
2019,190891945.923493,0,27387023.9226449,7271334.15537696,4063565.99037239,33244170.3912742,5223510.47542471,10258671.7855033,9043014.36276336,62313036.6500848,12259667.5370677,8900717.68736171,1246680.36912524,1848425.53931984,4781810.50395786,2637288.03000771,0,27118.1268947899,385910.396313278,0,0
2021,66068729.3386748,0,696029.215318608,2864357.2771208,7984250.24989474,12851687.0123696,3464126.44192728,13409549.1820673,3666748.79587838,4693291.93595111,6860139.44176478,6597569.44818826,1911913.86668955,859826.615966192,107439.871913818,29233.4209669269,33463.3371840063,0,39103.2254734456,0,0
2023,22079083.2604729,0,828930.87536418,1149731.46526074,295988.43898546,633035.646787589,3099274.57426131,7705859.96633473,543774.429518829,4138128.24568902,457426.373165624,363411.998242334,703036.625871904,1354950.4717861,476166.549361748,148281.115873525,56193.7990948849,124892.684874925,0,0,0
