year,wgt_total, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20
2005,707378290.912325,0,76132758.8764933,10330818.5467578,49462290.9210888,36282395.1938987,401432522.416275,45854921.3652414,15065178.7519657,26367113.9706098,19430320.507514,11564863.9319004,9384351.42723688,655192.129681049,3242285.94949069,0,470336.050753485,583865.44231467,1119075.43110312,0,0
2007,682827271.771258,0,126820432.185546,15197469.5908262,100303955.420029,11748618.2905731,38143306.2170345,25269226.0321143,298298061.395005,29490368.6585193,14726829.6491375,10392265.8354666,4704109.96954914,5546211.21766745,2186417.30979044,0,0,0,0,0,0
2009,1104156589.21961,0,3423627.69602206,345097510.981625,580432723.401277,13520523.2003804,67319508.171034,5293073.38391166,8109287.92164928,17163873.8415726,39178928.0452164,12571609.771151,4840067.64019408,2994200.32366098,4007885.24880558,95464.929664111,108304.663448588,0,0,0,0
2011,602165336.396005,0,138136870.282505,370904762.871539,24061800.4258413,19958422.0607922,24340028.6637797,4651802.46327634,4385130.87361308,1456383.44921685,2135360.80009953,0,10548132.5517463,1170540.49162792,416101.46196721,0,0,0,0,0,0
2012,1140741833.85588,0,614257700.431894,139228856.835568,253797452.942934,33699769.7509573,37162221.8715233,23940191.2945726,16112359.8977887,2376405.19443895,2980240.63615469,2874126.86454051,3200009.24027425,7858468.01758512,3254030.87764116,0,0,0,0,0,0
2013,1805242845.42999,0,44844349.4917132,1323573680.45652,108111202.170596,170667101.90154,16315138.5432695,40496113.3897795,59942290.553378,13213736.0789901,13057546.0149482,82357.6088425414,132997.96181456,5091530.01907373,7071689.54224662,1820501.05878352,790050.653600631,32559.9848912373,0,0,0
2015,1698058840.80037,0,119473077.515455,135552042.573296,68994497.4276285,980876198.763639,93396243.1704804,153672143.782926,34321882.2151069,35177285.1720076,35854706.7766991,22022828.7665887,1715288.2706282,4975316.25878979,0,2532640.39958527,6470160.83483342,3024528.87270611,0,0,0
2017,1028201652.78976,0,6442856.10873292,556809494.672939,28240657.4654773,36012518.7641857,32430798.0587267,242599821.642173,40633220.8055312,27600513.0162215,12705870.2729836,9815338.5490568,18288715.8869414,9042720.15813052,3447195.4137588,2132037.50677366,0,0,452413.05269503,0,1547481.41542944
2019,1527135284.80246,0,101995054.129138,382877215.858095,22970348.4769241,509596387.325037,43528277.4075047,54597117.1279333,47642364.0152356,279611386.425507,39301669.3892725,17225757.1684737,6441699.3080336,6573941.31932,8340374.34278941,3986401.65467108,0,2173631.79132853,273659.063196551,0,0
2021,1458572634.10906,0,103310114.310638,86591240.4267347,201176286.526394,400084345.831178,50190422.6325576,297865957.922701,49638667.3504098,29698833.7648581,26877312.5355732,165188758.53474,24819085.4967069,4760109.9584362,3738844.44800565,7774503.56946603,1164504.48249345,4332877.03525591,1360769.28291369,0,0
2023,885014286.170752,0,335555045.187542,250521053.721065,11566463.2378699,13620344.6169575,33344322.1409364,93008774.2704917,11853621.4781819,64782941.2040827,9472551.16328839,7549917.03296058,8630013.90887123,31719142.198261,5979793.5523406,4869890.46295923,1305920.75344719,182512.342578776,1051978.8989165,0,0
