"age","year","M2"
"1","1993",1.07823940927993
"2","1993",0.137121355163522
"3","1993",0.00422049401458233
"4","1993",0.00355082533231767
"5","1993",0.00631238028535584
"6","1993",0
"7","1993",0
"8","1993",0
"9","1993",0
"10","1993",0
"11","1993",0
"12","1993",0
"13","1993",0
"14","1993",0
"15","1993",0
"16","1993",0
"17","1993",0
"18","1993",0
"19","1993",0
"20","1993",0
"1","1994",0.869763023104475
"2","1994",0.0307709497200221
"3","1994",0.0235330311509064
"4","1994",0.00359628728167074
"5","1994",0.0483031496582876
"6","1994",0
"7","1994",0
"8","1994",0
"9","1994",0
"10","1994",0
"11","1994",0
"12","1994",0
"13","1994",0
"14","1994",0
"15","1994",0
"16","1994",0
"17","1994",0
"18","1994",0
"19","1994",0
"20","1994",0
"1","1995",0.994678343913195
"2","1995",0.0173316775519917
"3","1995",0.0191830066323458
"4","1995",0.020468580598859
"5","1995",0.0250099981503828
"6","1995",0
"7","1995",0
"8","1995",0
"9","1995",0
"10","1995",0
"11","1995",0
"12","1995",0
"13","1995",0
"14","1995",0
"15","1995",0
"16","1995",0
"17","1995",0
"18","1995",0
"19","1995",0
"20","1995",0
"1","1996",0.738936924009182
"2","1996",0.130182867656977
"3","1996",0.0133859988621908
"4","1996",0.014354984619598
"5","1996",0.0174019716340391
"6","1996",0
"7","1996",0
"8","1996",0
"9","1996",0
"10","1996",0
"11","1996",0
"12","1996",0
"13","1996",0
"14","1996",0
"15","1996",0
"16","1996",0
"17","1996",0
"18","1996",0
"19","1996",0
"20","1996",0
"1","1997",0.632039658876726
"2","1997",0.0349772472032989
"3","1997",0.00874982635025964
"4","1997",0.00937785963593396
"5","1997",0.0113902084498205
"6","1997",0
"7","1997",0
"8","1997",0
"9","1997",0
"10","1997",0
"11","1997",0
"12","1997",0
"13","1997",0
"14","1997",0
"15","1997",0
"16","1997",0
"17","1997",0
"18","1997",0
"19","1997",0
"20","1997",0
"1","1998",0.547143623599267
"2","1998",0.0206244703182311
"3","1998",0.0183992345792645
"4","1998",0.00634115216339181
"5","1998",0.0348718959557246
"6","1998",0
"7","1998",0
"8","1998",0
"9","1998",0
"10","1998",0
"11","1998",0
"12","1998",0
"13","1998",0
"14","1998",0
"15","1998",0
"16","1998",0
"17","1998",0
"18","1998",0
"19","1998",0
"20","1998",0
"1","1999",0.453239823774042
"2","1999",0.031892034285535
"3","1999",0.014681175280811
"4","1999",0.0162967268003097
"5","1999",0.0186157085548384
"6","1999",0
"7","1999",0
"8","1999",0
"9","1999",0
"10","1999",0
"11","1999",0
"12","1999",0
"13","1999",0
"14","1999",0
"15","1999",0
"16","1999",0
"17","1999",0
"18","1999",0
"19","1999",0
"20","1999",0
"1","2000",0.597419930744508
"2","2000",0.0128126286940444
"3","2000",0.00611615055460477
"4","2000",0.00667329457336008
"5","2000",0.0078897292325448
"6","2000",0
"7","2000",0
"8","2000",0
"9","2000",0
"10","2000",0
"11","2000",0
"12","2000",0
"13","2000",0
"14","2000",0
"15","2000",0
"16","2000",0
"17","2000",0
"18","2000",0
"19","2000",0
"20","2000",0
"1","2001",0.67700070811003
"2","2001",0.0101564659551468
"3","2001",0.00889977019686558
