yr,fishery_independent_cpue,author,model,value,model_type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1991,Yes,Dorn and Methot,Base,2+ biomass million mt,,,,,,,,,,,,,,,,,,,1.999,1.635,1.79,1.859,1.786,2.645,2.754,2.599,2.521,3.486,3.081,2.724,2.632,2.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Yes,Dorn and Methot,,SB million mt,,,,,,,,,,,,,,,,,,,0.894,0.816,0.659,0.704,0.758,0.731,1.089,1.17,1.238,1.132,1.247,1.163,1.097,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Yes,Dorn and Methot,Base,2+ biomass million mt,,,,,,,,,,,,,,,,,,,1.755,1.415,1.619,1.792,1.694,2.651,2.446,2.55,2.4,3.104,2.804,2.528,2.495,1.89,1.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Yes,Dorn and Methot,,SB million mt,,,,,,,,,,,,,,,,,,,0.954,0.878,0.716,0.774,0.836,0.816,1.221,1.321,1.401,1.285,1.389,1.28,1.205,1.061,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Yes,Dorn et al.,Base,2+ biomass million mt,,4.6,4,3.9,4,4.9,4.7,4.5,4.2,4,4,4.1,3.9,3.8,5.2,4.8,4.3,4.3,3.7,3.9,2.8,3.7,3.3,2.8,5.1,5.1,4.9,3.9,5.9,5.2,4.7,4.2,4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Yes,Dorn et al.,,SB million mt,,2.2,1.9,1.8,1.8,2,2.2,2.1,1.9,1.8,1.7,1.8,1.8,1.7,2.1,2.1,2.1,1.9,1.7,1.6,1.2,1.5,1.5,1.4,2.1,2.2,2.5,2.2,2.4,2.3,2.2,2.1,1.726,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Yes,Dorn,Base,2+ biomass million mt,,4.557,4.111,3.939,4.021,4.874,4.663,4.47,4.193,4.016,4.042,4.134,3.989,3.769,5.182,4.834,4.344,4.335,3.231,2.616,2.533,3.416,3.074,2.674,5.001,4.935,4.821,3.827,5.818,5.039,4.639,4.154,3.963,2.984,2.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Yes,Dorn,,SB million mt,,2.197,1.968,1.843,1.801,2.024,2.102,2.128,1.949,1.809,1.794,1.816,1.779,1.73,2.058,2.122,2.1,1.959,1.48,1.39,1.103,1.353,1.375,1.343,2.056,2.093,2.371,2.166,2.309,2.221,2.19,2.118,1.686,1.52,1.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Yes,Dorn,Base,2+ biomass million mt,,4.557,4.111,3.939,4.021,4.874,4.663,4.47,4.193,4.016,4.042,4.134,3.989,3.769,5.182,4.834,4.344,4.335,3.304,2.675,2.593,3.489,3.138,2.728,5.159,5.087,4.974,3.951,6.03,5.229,4.812,4.311,4.049,3.076,2.803,2.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Yes,Dorn,,SB million mt,,2.197,1.968,1.843,1.801,2.024,2.102,2.128,1.949,1.809,1.794,1.816,1.779,1.73,2.058,2.122,2.1,1.959,1.514,1.421,1.13,1.384,1.405,1.371,2.116,2.158,2.449,2.239,2.394,2.306,2.275,2.191,1.735,1.578,1.268,1.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Yes,Dorn,Base,2+ biomass million mt,,,,,,,,,,,,,,1.69,2.7,2.6,2.3,2.4,2,1.76,1.69,2.42,2.22,1.65,4.3,4.53,3.91,3.26,5.6,4.68,3.94,3.86,3.7,2.82,2.65,2.14,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Yes,Dorn,,SB million mt,,,,,,,,,,,,,,0.75,1.01,1.08,1.09,1.03,0.91,0.84,0.72,0.93,0.95,0.94,1.4,1.8,2.1,1.6,2.1,2.1,1.9,1.71,1.57,1.35,1.18,1,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Yes,Dorn and Saunders,Base,2+ biomass million mt,,,,,,,,,,,,,,1.854,2.892,2.711,2.429,2.459,2.088,1.843,1.788,2.58,2.41,1.861,4.467,4.727,4.116,3.455,5.729,4.801,4.043,3.928,3.745,2.87,2.667,2.175,1.563,1.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Yes,Dorn and Saunders,,SB million mt,,,,,,,,,,,,,,0.858,1.202,1.253,1.16,1.129,0.994,0.888,0.77,1.085,1.114,1.057,1.733,2.162,2.137,1.701,2.386,2.405,1.963,1.812,1.665,1.394,1.232,1.068,0.762,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
