year,num_fish,num_samples,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2005,421,14,0.00000,0.00000,0.00120,0.01688,0.04224,0.65900,0.16024,0.01467,0.03688,0.03973,0.00937,0.01189,0.00352,0.00172,0.00265
2006,806,46,0.00000,0.00294,0.01086,0.00474,0.06076,0.04693,0.65512,0.10212,0.02752,0.03343,0.02779,0.01031,0.01017,0.00306,0.00425
2007,757,29,0.00304,0.00232,0.00189,0.07605,0.01593,0.06719,0.02808,0.59232,0.10032,0.02255,0.03615,0.01406,0.01371,0.02165,0.00472
2008,503,13,0.00000,0.03483,0.18639,0.01534,0.07557,0.00430,0.03298,0.02822,0.43211,0.08231,0.03770,0.02024,0.02918,0.01147,0.00936
2009,299,5,0.00000,0.00580,0.33791,0.21003,0.04103,0.10195,0.00470,0.01536,0.00222,0.22228,0.02820,0.00595,0.02310,0.00148,0.00000
2010,503,9,0.00000,0.01912,0.02063,0.20623,0.32621,0.07934,0.06532,0.02899,0.02080,0.02281,0.14273,0.04670,0.00158,0.01053,0.00902
2011,241,4,0.00000,0.00000,0.01303,0.00617,0.19974,0.34061,0.10659,0.04624,0.01435,0.01547,0.01313,0.18650,0.01557,0.01668,0.02591
2012,582,51,0.00000,0.00000,0.03698,0.24272,0.04535,0.31645,0.14340,0.02353,0.03549,0.01083,0.01565,0.01426,0.09114,0.01350,0.01070
2013,737,61,0.00000,0.00000,0.02439,0.05170,0.19260,0.06318,0.17734,0.12990,0.06509,0.05068,0.02457,0.03419,0.04752,0.09878,0.04007
2014,381,28,0.00000,0.00000,0.01145,0.18789,0.12406,0.27756,0.07160,0.10753,0.07824,0.02483,0.01815,0.00550,0.02008,0.01045,0.06265
2015,215,21,0.00000,0.00000,0.04525,0.01791,0.55415,0.12236,0.15639,0.02839,0.02848,0.03278,0.01147,0.00281,0.00000,0.00000,0.00000
2016,352,40,0.00513,0.04538,0.00770,0.02216,0.09063,0.64276,0.06929,0.06874,0.01997,0.00748,0.00164,0.00700,0.00420,0.00000,0.00793
2017,760,76,0.00000,0.00579,0.07335,0.02419,0.05491,0.05068,0.50046,0.12210,0.09709,0.02370,0.02490,0.01383,0.00213,0.00192,0.00498
2018,1225,91,0.00097,0.04706,0.00715,0.17626,0.02466,0.03962,0.05142,0.45594,0.09451,0.05247,0.02374,0.01153,0.00650,0.00558,0.00261
2019,901,103,0.00040,0.18001,0.15026,0.03664,0.19275,0.02762,0.03947,0.04601,0.23057,0.05352,0.02392,0.01140,0.00377,0.00366,0.00000
2021,100,2,0.00000,0.00000,0.00000,0.17010,0.24000,0.06990,0.27495,0.02835,0.02835,0.09340,0.05495,0.01165,0.00000,0.02835,0.00000
2022,421,16,0.00000,0.00000,0.00000,0.00245,0.06205,0.22148,0.08022,0.17763,0.07552,0.04381,0.06084,0.16518,0.07446,0.02873,0.00762
2023,369,14,0.00000,0.00000,0.00270,0.00402,0.03258,0.15993,0.21594,0.05062,0.19624,0.06110,0.03198,0.07548,0.13891,0.01952,0.01098
2024,390,8,0.00000,0.00000,0.00167,0.01146,0.03158,0.02998,0.14918,0.29921,0.12949,0.18868,0.02994,0.01609,0.01321,0.06279,0.03673
2025,50,2,0.00000,0.00000,0.00000,0.01237,0.15995,0.01237,0.02475,0.11824,0.38405,0.02475,0.15536,0.00000,0.00000,0.02704,0.08112
