year,num_fish,num_samples,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1988,640,2,0.00000,0.00000,0.00079,0.15858,0.01055,0.01378,0.02095,0.69024,0.01858,0.02031,0.06378,0.00000,0.00000,0.00244,0.00000
1989,604,3,0.00000,0.00000,0.00000,0.00144,0.50389,0.00000,0.00183,0.00000,0.45653,0.00000,0.01418,0.02069,0.00000,0.00000,0.00144
1990,448,4,0.00000,0.00000,0.04055,0.02617,0.00000,0.56923,0.00351,0.00002,0.00000,0.31991,0.00839,0.00000,0.02381,0.00000,0.00839
1991,903,18,0.00000,0.00000,0.00076,0.04347,0.02155,0.00387,0.53039,0.00346,0.00000,0.00045,0.37979,0.00158,0.00000,0.01360,0.00110
1992,1784,33,0.00000,0.00000,0.00552,0.07403,0.15211,0.03199,0.00328,0.48169,0.00200,0.00000,0.00096,0.23775,0.00042,0.00081,0.00943
1993,1388,25,0.00000,0.00087,0.01232,0.03460,0.14934,0.20266,0.02653,0.00325,0.44063,0.00282,0.00000,0.00000,0.12567,0.00081,0.00051
1994,2196,41,0.00000,0.00000,0.00445,0.01965,0.02158,0.10194,0.17408,0.02892,0.00601,0.47917,0.00505,0.00189,0.00000,0.14939,0.00786
1995,1971,35,0.03643,0.00028,0.00636,0.06449,0.05302,0.03043,0.11922,0.17507,0.04060,0.00715,0.35798,0.00628,0.00054,0.00000,0.10214
1996,1526,28,0.00000,0.09853,0.02477,0.01050,0.09449,0.12422,0.03594,0.10666,0.13705,0.02209,0.00963,0.26048,0.00044,0.00000,0.07520
1997,1486,27,0.00000,0.00574,0.19513,0.15424,0.01851,0.12170,0.11404,0.01757,0.07499,0.10068,0.02386,0.00315,0.13390,0.00945,0.02704
1998,1113,21,0.00136,0.00034,0.06144,0.27263,0.27219,0.02569,0.10002,0.10221,0.01026,0.05042,0.04471,0.00579,0.00435,0.03771,0.01088
1999,812,14,0.00548,0.17208,0.06132,0.12511,0.26414,0.16341,0.01462,0.04968,0.04855,0.01671,0.02381,0.02820,0.00392,0.00107,0.02189
2000,768,15,0.00000,0.00371,0.32281,0.05226,0.07329,0.21827,0.14161,0.02261,0.04704,0.03441,0.01223,0.02477,0.01226,0.00792,0.02682
2001,1424,28,0.00000,0.00066,0.01486,0.22990,0.05779,0.08833,0.25732,0.13317,0.02969,0.04362,0.04897,0.01765,0.02825,0.02315,0.02665
2004,1102,20,0.00000,0.00000,0.03312,0.02953,0.68440,0.11611,0.02909,0.04986,0.02495,0.01703,0.00781,0.00323,0.00416,0.00071,0.00000
2005,292,11,0.00000,0.00000,0.00000,0.04527,0.04182,0.66178,0.12258,0.01681,0.05203,0.02032,0.02071,0.01533,0.00000,0.00000,0.00336
2006,334,21,0.00000,0.00154,0.03863,0.00832,0.05007,0.02661,0.65881,0.08793,0.03143,0.05580,0.01874,0.01441,0.00472,0.00000,0.00298
2007,71,1,0.00000,0.02817,0.04225,0.38028,0.04225,0.07042,0.01408,0.32394,0.08451,0.01408,0.00000,0.00000,0.00000,0.00000,0.00000
2011,103,2,0.00000,0.00000,0.88932,0.00434,0.09909,0.00579,0.00145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
