month,year,catch
1,2007,0
2,2007,0
3,2007,0
4,2007,0
5,2007,0
6,2007,0
7,2007,0
8,2007,1832.31
9,2007,3051.871
10,2007,1936.208
11,2007,0
12,2007,0
1,2008,0
2,2008,0
3,2008,0
4,2008,0
5,2008,0
6,2008,85.087
7,2008,1734.481
8,2008,1517.682
9,2008,255.032
10,2008,0
11,2008,0
12,2008,0
1,2009,0
2,2009,0
3,2009,0
4,2009,0
5,2009,0
6,2009,0
7,2009,0
8,2009,0
9,2009,0
10,2009,0
11,2009,0
12,2009,0
1,2010,0
2,2010,0
3,2010,0
4,2010,0
5,2010,0
6,2010,0
7,2010,0
8,2010,4686.676
9,2010,3394.774
10,2010,0
11,2010,0
12,2010,0
1,2011,0
2,2011,0
3,2011,0
4,2011,0
5,2011,0
6,2011,0
7,2011,1402.073
8,2011,4957.456
9,2011,3357.082
10,2011,0
11,2011,0
12,2011,0
1,2012,0
2,2012,0
3,2012,0
4,2012,0
5,2012,0
6,2012,0
7,2012,0
8,2012,0
9,2012,0
10,2012,0
11,2012,0
12,2012,0
1,2013,0
2,2013,0
3,2013,0
4,2013,0
5,2013,0
6,2013,0
7,2013,0
8,2013,0
9,2013,0
10,2013,0
11,2013,0
12,2013,0
1,2014,0
2,2014,0
3,2014,0
4,2014,0
5,2014,0
6,2014,0
7,2014,0
8,2014,0
9,2014,0
10,2014,0
11,2014,0
12,2014,0
1,2015,0
2,2015,0
3,2015,0
4,2015,0
5,2015,0
6,2015,0
7,2015,0
8,2015,0
9,2015,0
10,2015,0
11,2015,0
12,2015,0
1,2016,0
2,2016,0
3,2016,0
4,2016,0
5,2016,0
6,2016,0
7,2016,0
8,2016,0
9,2016,0
10,2016,0
11,2016,0
12,2016,0
1,2017,0
2,2017,0
3,2017,0
4,2017,0
5,2017,0
6,2017,0
7,2017,0
8,2017,283.247
9,2017,5324.269
10,2017,0
11,2017,0
12,2017,0
1,2018,0
2,2018,0
3,2018,0
4,2018,0
5,2018,0
6,2018,0
7,2018,0
8,2018,390.869
9,2018,2332.844
10,2018,0
11,2018,0
12,2018,0
