year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1988,0,0,1,109,5,7,14,444,11,9,39,0,0,1,0
1989,0,0,0,1,303,0,1,0,276,0,8,14,0,0,1
1990,0,0,14,7,0,251,3,2,0,153,3,0,12,0,3
1991,0,0,1,41,20,4,478,4,0,1,339,2,0,12,1
1992,0,0,10,114,266,53,6,848,4,0,2,460,1,2,18
1993,0,1,13,45,204,276,34,4,624,3,0,0,182,1,1
1994,0,0,9,43,46,228,403,63,12,1014,13,4,0,341,20
1995,45,1,12,117,99,59,237,346,76,11,741,14,1,0,211
1996,0,145,35,17,149,195,51,176,207,31,13,399,1,0,107
1997,0,9,247,212,28,191,181,26,123,160,36,6,207,15,45
1998,1,1,69,305,292,27,111,113,12,60,53,7,5,42,15
1999,7,136,50,95,212,134,10,44,44,14,19,22,3,1,21
2000,0,2,212,36,52,176,113,19,45,31,11,25,10,9,27
2001,0,1,22,316,83,129,365,192,43,60,69,24,43,36,41
2004,0,0,34,31,748,132,33,59,27,19,10,4,4,1,0
2005,0,0,0,13,13,194,35,5,15,6,6,4,0,0,1
2006,0,1,18,3,19,12,213,29,9,16,6,5,2,0,1
2007,0,2,3,27,3,5,1,23,6,1,0,0,0,0,0
2011,0,0,82,3,13,4,1,0,0,0,0,0,0,0,0
