year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1993,0,0,0,0,0,0,0,0,10,0,0,0,32,0,8
1997,0,0,4,6,3,9,8,4,3,5,3,0,2,2,1
1998,0,1,49,99,111,5,49,47,8,22,27,4,0,29,3
1999,3,75,55,168,382,274,35,81,80,25,37,33,16,6,48
2002,0,0,14,108,347,107,116,272,148,28,30,41,7,18,36
2003,0,0,5,377,211,77,133,71,86,50,22,6,13,2,7
2004,0,2,16,26,848,223,72,119,72,56,48,12,5,11,6
2005,0,0,2,24,30,638,119,29,61,43,29,13,5,0,3
2006,0,0,0,1,13,8,202,26,14,10,7,6,2,1,1
2007,0,0,0,4,3,6,6,58,12,4,4,5,2,1,4
2008,0,0,1,5,20,2,13,11,159,21,18,5,4,1,4
2010,0,0,1,8,53,15,5,4,1,1,9,2,1,3,0
2011,0,0,53,2,7,4,1,2,0,1,0,1,0,0,0
2012,0,2,39,181,16,50,22,8,11,3,7,2,30,5,4
2013,0,0,1,4,8,3,19,8,8,4,1,4,4,13,2
2014,0,0,1,39,33,65,24,41,24,8,15,1,2,3,23
2015,10,0,3,7,186,25,33,4,17,6,0,2,0,1,2
2016,0,17,3,13,9,104,11,15,4,4,0,3,2,1,2
2017,18,3,57,11,21,51,343,92,49,10,10,9,1,2,5
2018,5,16,7,103,5,22,28,167,62,23,11,6,5,5,1
2019,0,28,26,6,97,4,14,8,87,8,12,4,2,0,0
2020,0,1,140,283,22,431,42,49,38,337,43,32,4,7,9
2022,0,0,1,6,75,126,42,108,34,26,31,85,36,13,13
2023,0,1,20,5,12,68,125,25,62,6,11,14,41,14,9
2024,0,0,1,16,9,21,162,237,27,131,26,28,20,108,33
