year,num_fish,num_samples,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1993,50,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.64000,0.00000,0.16000
1997,50,1,0.00000,0.00000,0.08000,0.12000,0.06000,0.18000,0.16000,0.08000,0.06000,0.10000,0.06000,0.00000,0.04000,0.04000,0.02000
1998,454,9,0.00000,0.00195,0.11456,0.22257,0.24869,0.01402,0.10071,0.10549,0.01673,0.04458,0.05652,0.00915,0.00000,0.05806,0.00698
1999,1318,26,0.00161,0.07562,0.04502,0.12097,0.28404,0.20333,0.02671,0.06163,0.06036,0.01885,0.02770,0.02518,0.01030,0.00473,0.03394
2002,1272,26,0.00000,0.00000,0.01141,0.08547,0.26556,0.08890,0.08986,0.23105,0.10939,0.02111,0.02042,0.03161,0.00486,0.01510,0.02527
2003,1060,16,0.00000,0.00000,0.00403,0.36743,0.18354,0.06459,0.12345,0.06810,0.08451,0.05059,0.02215,0.00910,0.01569,0.00161,0.00520
2004,1516,28,0.00000,0.00123,0.01206,0.01722,0.56065,0.14444,0.04683,0.07215,0.05113,0.03358,0.03536,0.00916,0.00485,0.00680,0.00455
2005,996,30,0.00000,0.00000,0.00221,0.02559,0.03130,0.63674,0.11939,0.03398,0.06097,0.04173,0.02465,0.01590,0.00477,0.00000,0.00276
2006,291,21,0.00000,0.00000,0.00000,0.00385,0.02024,0.01113,0.69094,0.11117,0.04421,0.05372,0.02359,0.02735,0.00250,0.00476,0.00655
2007,109,2,0.00000,0.00000,0.00000,0.03436,0.01868,0.05154,0.05154,0.52652,0.10307,0.02019,0.06270,0.07837,0.01718,0.00150,0.03436
2008,264,7,0.00000,0.00000,0.00070,0.00742,0.06463,0.01319,0.04435,0.04970,0.62096,0.07195,0.05937,0.01163,0.02259,0.00022,0.03328
2010,103,2,0.00000,0.00000,0.01843,0.14745,0.54492,0.06914,0.04032,0.00462,0.00115,0.01843,0.09677,0.03686,0.01843,0.00346,0.00000
2011,71,1,0.00000,0.00000,0.74648,0.02817,0.09859,0.05634,0.01408,0.02817,0.00000,0.01408,0.00000,0.01408,0.00000,0.00000,0.00000
2012,380,38,0.00000,0.00871,0.11375,0.54374,0.05253,0.13163,0.05266,0.02224,0.01503,0.00769,0.01012,0.00225,0.02354,0.00279,0.01332
2013,79,4,0.00000,0.00000,0.01678,0.05519,0.04573,0.02648,0.27196,0.07155,0.04573,0.14956,0.00485,0.01939,0.03827,0.23789,0.01664
2014,279,28,0.00000,0.00000,0.00190,0.14489,0.12625,0.23893,0.09252,0.14704,0.08716,0.01914,0.04397,0.00529,0.00440,0.00949,0.07903
2015,296,6,0.02730,0.00000,0.01126,0.02598,0.63661,0.08136,0.11352,0.01326,0.05643,0.01845,0.00000,0.00557,0.00000,0.00342,0.00685
2016,188,19,0.00000,0.04662,0.00814,0.07512,0.03915,0.62235,0.05828,0.07348,0.01540,0.02098,0.00000,0.01219,0.00912,0.00271,0.01646
2017,680,68,0.06954,0.00340,0.07858,0.01729,0.03013,0.07261,0.48095,0.13203,0.06929,0.01326,0.01255,0.01196,0.00144,0.00148,0.00548
2018,466,43,0.00501,0.05154,0.01912,0.22495,0.01229,0.04483,0.05933,0.35330,0.12435,0.04434,0.02608,0.01054,0.00959,0.01228,0.00244
2019,296,33,0.00000,0.13241,0.11410,0.02867,0.30268,0.01904,0.04357,0.02704,0.26373,0.02285,0.03258,0.00827,0.00506,0.00000,0.00000
2020,1438,32,0.00000,0.00040,0.09588,0.19799,0.01369,0.30159,0.02707,0.03486,0.02564,0.24065,0.02862,0.02115,0.00222,0.00480,0.00542
2022,596,22,0.00000,0.00000,0.00134,0.01416,0.13759,0.22911,0.06594,0.17474,0.04751,0.04292,0.04515,0.13984,0.05885,0.02406,0.01880
2023,413,12,0.00000,0.00307,0.05161,0.01371,0.02644,0.17328,0.31548,0.06311,0.13180,0.01352,0.02872,0.03115,0.09430,0.03121,0.02260
2024,819,21,0.00000,0.00000,0.00039,0.02780,0.01681,0.03464,0.17995,0.30797,0.03114,0.15910,0.02752,0.03378,0.02238,0.11711,0.04141
