year,lower95,lowerhinge,median,upperhinge,upper95
2007,131.86,184.25,319.13,378.56,642.82
2008,334.76,405.99,855.88,1445.67,2014.51
2009,259.69,347.47,374.9,824.79,1922.07
2010,233.35,491.95,757.12,1005.38,1538.3
2011,317.11,632.76,844.91,1214.32,1698.96
2012,325.53,629.11,863.19,1099.11,1498.52
2013,368.5,650.14,831.19,975.21,1391.26
2014,337.41,491.49,554.13,701.8,1138.43
2015,309.07,382.22,568.76,771.75,977.04
2016,433.52,532.18,687.63,976.12,1621.05
2017,257.86,358.44,647.4,805.59,1140.99
2018,309.25,519.38,724.2,878.28,1255.56
2019,348.39,556.87,786.38,1000.35,1296.44
2020,471.83,471.83,471.83,471.83,471.83
2021,243.96,246.89,250.55,254.2,257.13
2022,235.18,285.29,387.71,652.88,808.33
2023,624.54,725.12,816.56,898.4,961.49
