year,lower95,lowerhinge,median,upperhinge,upper95
2007,73.15,103.78,137.16,219.46,310.9
2008,73.15,117.04,153.62,241.4,663.12
2009,62.18,95.1,128.02,226.77,329.18
2010,73.15,128.02,181.05,246.89,347.47
2011,102.41,182.88,274.32,310.9,356.62
2012,106.07,175.56,244.14,281.18,329.18
2013,128.02,201.17,259.69,296.27,355.34
2014,114.12,182.88,232.26,274.32,329.18
2015,91.44,155.45,208.48,274.32,347.47
2016,87.14,146.3,182.88,213.97,292.61
2017,98.76,137.16,182.88,237.74,300.65
2018,95.1,146.3,201.17,274.32,338.33
2019,118.87,181.05,246.89,292.61,345.64
2020,118.87,219.46,272.49,292.61,338.33
2021,73.15,109.73,219.46,274.32,320.04
2022,65.84,91.44,118.87,237.74,310.9
2023,58.52,93.27,118.87,224.03,365.76
