Year,us_tribal_quota,us_research_quota,us_nontribal_quota,us_tribal_quota_reallocated,us_tribal_reallocate_dates,us_tribal_max_landed,can_carried_over,us_shore_reallocated,us_cp_reallocated,us_ms_reallocated,can_jv_tac
2014,55336,1500,,45000,September 11 and October 23,1000,13172,,,,
2015,56888,1500,266684,30000,21-Sep,0,14793,124607,100873,71204,30000
2016,64322,1500,301731,34000,15-Sep,0,15020,141007,114149,80575,15000
2017,77251,1500,362682,41000,15-Sep,0,17239,169547,137252,96884,15000
2018,77251,1500,362682,40000,24-Sep,0,21197,169127,136912,96644,15000
2019,77251,1500,362682,40000,13-Sep,0,20824,169126,136912,96644,15000
2020,74342,1500,348968,40000,16-Sep,0,18193,163367,132249,93352,0
2021,64645,750,304005,34645,15-Sep,3638,10390,142233,115141,81276,0
2022,70463,750,331433,40000,15-Sep,1173,0,156002,126287,89144,0
2023,80806,750,380194,45000,27-Sep,0,21353,178581,144566,102047,0
2024,71756,750,337528,45000,26-Sep,,21285,160662,130060,91807,0
