Year,U.S. Foreign,U.S. Joint-venture,U.S. Mothership,U.S. Catcher-processor,U.S. Shoreside,U.S. Research,Canada Foreign,Canada Joint-venture,Canada Shoreside,Canada Freezer-trawler,U.S. TAC,Canada TAC,Total TAC
1966,137000,0,0,0,0,0,700,0,0,0,,,
1967,168700,0,0,0,8960,0,36710,0,0,0,,,
1968,60660,0,0,0,160,0,61360,0,0,0,,,
1969,86190,0,0,0,90,0,93850,0,0,0,,,
1970,159510,0,0,0,70,0,75010,0,0,0,,,
1971,126490,0,0,0,1430,0,26700,0,0,0,,,
1972,74090,0,0,0,40,0,43410,0,0,0,,,
1973,147440,0,0,0,70,0,15130,0,0,0,,,
1974,194110,0,0,0,0,0,17150,0,0,0,,,
1975,205650,0,0,0,0,0,15700,0,0,0,,,
1976,231330,0,0,0,220,0,5970,0,0,0,,,
1977,127010,0,0,0,490,0,5190,0,0,0,,,
1978,96827.431,860,0,0,690,0,3450,1810,0,0,130000,,
1979,114910,8830,0,0,940,0,7900,4230,300,0,198900,35000,
1980,44022.879,27537.036,0,0,790,0,5270,12210,100,0,175000,35000,
1981,70364.65056,43556.51998,0,0,838.47957,0,3920,17160,3280,0,175000,35000,
1982,7089.39046,67464.90015,0,0,1022.80226,0,12480,19680,0,0,175000,35000,
1983,0,72100.22045,0,0,1050.79616,0,13120,27660,0,0,175000,45000,
1984,14772.34988,78889.06969,0,0,2720.67561,0,13200,28910,0,0,175000,45000,270000
1985,49853.24004,31691.92058,0,0,3894.02109,0,10530,13240,1190,0,175000,50000,212000
1986,69861.02959,81639.5202,0,0,3431.94361,0,23740,30140,1770,0,295800,75000,405000
1987,49655.70935,105996.6203,0,0,4795.3037,0,21450,48080,4170,0,195000,75000,264000
1988,18040.97987,135781.1791,0,0,6867.42477,0,38080,49240,830,0,232000,98000,327000
1989,0,195635.9001,0,0,7413.59444,0,29750,62717.62,2561.85362,0,225000,98000,323000
1990,0,170972.4303,0,4537.006718,9632.37371,0,3810,68313.51,4020.740676,0,196000,73500,245000
1991,0,0,86408.03695,119410.6691,23969.99582,0,5610,68132.52,16174.183,0,228000,98000,253000
1992,0,0,36720.7401,117980.7282,56127.24911,0,0,68778.624,20042.876,0,208800,90000,232000
1993,0,0,14558.47883,83465.65773,42107.86198,0,0,46421.509,12351.512,0,142000,61000,178000
1994,0,0,93609.52866,86251.20862,73616.26769,0,0,85153.949,23775.807,0,260000,110000,325000
1995,0,0,40804.92274,61357.0194,74961.94926,0,0,26190.761,46180.797,0,178400,76500,223000
1996,0,0,62097.94774,65933.45994,85127.75261,0,0,66778.981,26360.37089,0,212000,91000,265000
1997,0,0,75127.70582,70832.24411,87416.09891,0,0,42544.097,49226.69821,0,232000,99400,290000
1998,0,0,74686.49565,70377.46922,87856.11345,0,0,39728.47,48073.73341,0,232000,80000,290000
1999,0,0,73439.92141,67654.94531,83470.29057,0,0,17200.663,70120.91147,0,232000,90300,290000
2000,0,0,53110.31272,67805.45036,85853.81566,0,0,15625.196,6382.07132,0,232000,90300,290000
2001,0,0,41900.81491,58627.61663,73411.64448,0,0,21650.118,31935.03558,0,190400,81600,238000
2002,0,0,48403.74751,36341.56246,45707.66036,0,0,0,50244.41704,0,129600,,162000
2003,0,0,45395.8006,41214.38445,55334.9997,0,0,0,63217.23147,0,148200,,228000
2004,0,0,47561.24366,73175.55232,96503.40741,0,0,58891.967,66175.03795,0,250000,,514441
2005,0,0,72178.04843,78889.96062,109052.2377,0,0,15694.557,77335.01977,9984.78934,269068.7436,95128.2564,364197
2006,0,0,60926.21576,78863.939,127164.9993,0.0499,0,14318.643,65288.75731,15136.38929,269545.2696,95296.7304,364842
2007,0,0,52976.90891,73263.4394,91441.21416,0.00454,0,6780.39,52648.727,14120.633,242590.8904,85767.1096,328358
2008,0,0,72439.75282,108195.14488,67759.83832,0,0,3592.282,57795.286,13214.356,269545.2696,95296.7304,364842
2009,0,0,37549.81829,34800.38224,49222.32983,0,0,0,44130.18,13223.193,135939.2,48060.8,184000
2010,0,0,52022.30018,54291.41923,64652.78301,0,0,8081.45,35361.591,13572.71,193935,68565,262500
2011,0,0,56394.48868,71678.21579,102146.11667,1042.31626,0,9716.611,31760.345,14595.816,290903.2388,102847.7612,393751
2012,0,0,38512.35631,55263.84185,65920.13108,448.47494,0,0,32147.075,14912.153,186036.4892,65772.5108,251809
2013,0,0,52470.43192,77949.5153,102140.55427,1017.96697,0,0,33665.363,18583.716,269744.7456,95367.2544,365112
