Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.16,M,2,30,5,2010
ATSEA,0.12,M,2,28,5,2010
ATSEA,0.5,F,4,43,5,2010
ATSEA,0.46,M,5,42,5,2010
ATSEA,0.42,F,4,42,5,2010
ATSEA,0.38,F,4,42,5,2010
ATSEA,0.5,F,4,45,5,2010
ATSEA,0.5,F,5,45,5,2010
ATSEA,0.58,M,7,46,5,2010
ATSEA,0.6,M,5,46,5,2010
ATSEA,0.6,M,5,46,5,2010
ATSEA,0.98,M,12,57,5,2010
ATSEA,0.19,F,2,31,5,2010
ATSEA,0.19,F,2,31,5,2010
ATSEA,0.19,F,2,32,5,2010
ATSEA,0.14,M,2,30,5,2010
ATSEA,0.11,F,2,29,5,2010
ATSEA,0.39,F,4,41,5,2010
ATSEA,0.32,M,4,39,5,2010
ATSEA,0.42,F,4,41,5,2010
ATSEA,0.4,F,4,41,5,2010
ATSEA,0.36,M,4,41,5,2010
ATSEA,0.4,M,4,43,5,2010
ATSEA,0.36,F,4,40,5,2010
ATSEA,0.4,F,4,41,5,2010
ATSEA,0.61,F,4,46,5,2010
ATSEA,0.69,M,6,51,5,2010
ATSEA,0.17,F,2,30,5,2010
ATSEA,0.22,F,2,34,5,2010
ATSEA,0.23,M,2,33,5,2010
ATSEA,0.33,F,4,39,5,2010
ATSEA,0.52,F,4,45,5,2010
ATSEA,0.89,F,10,53,5,2010
ATSEA,0.2,M,4,33,5,2010
ATSEA,0.64,M,4,46,5,2010
ATSEA,0.38,F,4,41,5,2010
ATSEA,0.54,F,4,45,5,2010
ATSEA,0.82,F,6,54,5,2010
ATSEA,0.41,M,4,43,5,2010
ATSEA,0.38,M,4,41,5,2010
ATSEA,0.47,F,4,43,5,2010
ATSEA,0.78,F,7,51,5,2010
ATSEA,0.38,M,4,41,5,2010
ATSEA,0.42,M,4,42,5,2010
ATSEA,0.42,M,5,44,5,2010
ATSEA,0.44,M,5,43,5,2010
ATSEA,0.41,F,4,43,5,2010
ATSEA,0.48,F,5,45,5,2010
ATSEA,0.11,M,2,27,5,2010
ATSEA,0.11,F,2,26,5,2010
ATSEA,0.13,F,2,27,5,2010
ATSEA,0.49,M,4,43,5,2010
ATSEA,0.49,F,4,42,5,2010
ATSEA,0.51,F,5,45,5,2010
ATSEA,0.43,M,4,41,5,2010
ATSEA,0.84,M,11,53,5,2010
ATSEA,0.45,F,5,43,5,2010
ATSEA,0.32,M,4,38,5,2010
ATSEA,0.36,M,4,41,5,2010
ATSEA,0.42,M,4,42,5,2010
ATSEA,0.36,F,4,40,5,2010
ATSEA,0.38,F,4,40,5,2010
ATSEA,0.5,M,5,44,5,2010
ATSEA,0.54,M,4,45,5,2010
ATSEA,0.52,F,4,44,5,2010
ATSEA,0.51,M,5,45,5,2010
ATSEA,0.56,M,10,47,5,2010
ATSEA,0.43,F,4,43,5,2010
ATSEA,0.46,M,4,42,5,2010
ATSEA,0.6,M,5,48,5,2010
ATSEA,0.58,F,6,49,5,2010
ATSEA,0.48,F,5,43,5,2010
ATSEA,0.52,F,5,45,5,2010
ATSEA,0.84,F,10,51,5,2010
ATSEA,0.43,F,4,41,5,2010
ATSEA,0.48,F,5,45,5,2010
ATSEA,0.41,M,4,42,5,2010
ATSEA,0.39,F,4,41,5,2010
ATSEA,0.49,F,5,45,5,2010
ATSEA,0.31,M,4,39,5,2010
ATSEA,0.37,M,4,41,5,2010
ATSEA,0.48,F,4,42,5,2010
ATSEA,0.44,F,4,42,5,2010
ATSEA,0.5,F,4,44,5,2010
ATSEA,0.84,F,11,52,5,2010
ATSEA,0.36,M,4,42,5,2010
ATSEA,0.34,F,4,40,5,2010
ATSEA,0.53,F,5,45,5,2010
ATSEA,0.48,M,5,45,5,2010
ATSEA,0.64,M,11,49,5,2010
ATSEA,0.66,F,8,52,5,2010
ATSEA,0.56,M,4,45,5,2010
ATSEA,0.82,M,10,51,5,2010
ATSEA,0.4,F,5,42,5,2010
ATSEA,0.14,M,2,28,5,2010
ATSEA,0.16,M,2,30,5,2010
ATSEA,0.52,M,5,44,5,2010
ATSEA,0.48,M,5,41,5,2010
ATSEA,0.46,M,4,43,5,2010
ATSEA,0.43,F,4,41,5,2010
ATSEA,0.43,M,4,43,5,2010
ATSEA,0.56,M,7,46,5,2010
ATSEA,0.52,M,11,48,5,2010
ATSEA,0.37,M,4,40,5,2010
ATSEA,0.39,M,4,42,5,2010
ATSEA,0.4,F,4,41,5,2010
ATSEA,0.51,M,4,44,5,2010
ATSEA,0.59,M,12,49,5,2010
ATSEA,0.51,F,4,44,5,2010
ATSEA,0.42,M,5,41,5,2010
ATSEA,0.44,M,4,42,5,2010
ATSEA,0.44,F,4,42,5,2010
ATSEA,0.42,M,4,43,5,2010
ATSEA,0.82,M,10,49,5,2010
ATSEA,0.4,F,4,41,5,2010
ATSEA,0.43,M,4,43,5,2010
ATSEA,0.54,F,5,45,5,2010
ATSEA,1.11,F,11,57,5,2010
ATSEA,0.3,M,4,40,5,2010
ATSEA,0.56,M,4,47,5,2010
ATSEA,0.43,M,4,42,5,2010
ATSEA,0.84,F,6,51,5,2010
ATSEA,0.68,F,11,50,5,2010
ATSEA,0.79,F,11,51,5,2010
ATSEA,0.76,F,11,52,5,2010
ATSEA,0.17,M,2,30,5,2010
ATSEA,0.18,F,2,31,5,2010
ATSEA,0.2,F,2,33,5,2010
ATSEA,0.12,M,2,27,5,2010
ATSEA,0.38,F,5,40,5,2010
ATSEA,0.52,F,6,45,5,2010
ATSEA,0.34,M,4,38,5,2010
ATSEA,0.34,M,4,40,5,2010
ATSEA,0.4,M,4,40,5,2010
ATSEA,0.36,M,5,41,5,2010
ATSEA,0.46,M,4,43,5,2010
ATSEA,0.34,F,4,39,5,2010
ATSEA,0.4,M,4,40,5,2010
ATSEA,0.42,M,4,41,5,2010
ATSEA,0.37,F,4,40,5,2010
ATSEA,0.4,M,3,41,5,2010
ATSEA,0.44,F,4,42,5,2010
ATSEA,0.51,F,4,43,5,2010
ATSEA,0.41,M,4,42,5,2010
ATSEA,0.44,M,5,43,5,2010
ATSEA,0.47,M,5,45,5,2010
ATSEA,0.42,F,4,41,5,2010
ATSEA,0.48,M,4,43,5,2010
ATSEA,0.62,M,6,48,5,2010
ATSEA,0.14,F,2,29,5,2010
ATSEA,0.17,F,2,31,5,2010
ATSEA,0.14,M,2,29,5,2010
ATSEA,0.12,F,2,29,5,2010
ATSEA,0.42,F,4,41,5,2010
ATSEA,0.46,F,4,43,5,2010
ATSEA,0.44,M,4,40,5,2010
ATSEA,0.6,M,7,47,5,2010
ATSEA,0.41,F,4,41,5,2010
ATSEA,0.33,M,4,39,5,2010
ATSEA,0.34,M,4,40,5,2010
ATSEA,0.37,M,5,43,5,2010
ATSEA,0.33,M,4,40,5,2010
ATSEA,0.38,M,5,41,5,2010
ATSEA,0.64,F,5,49,5,2010
ATSEA,0.43,F,4,43,5,2010
ATSEA,0.95,F,5,53,5,2010
ATSEA,1.43,F,7,59,5,2010
ATSEA,0.92,F,11,52,5,2010
ATSEA,1.3,F,11,60,5,2010
ATSEA,1.64,F,8,60,5,2010
ATSEA,0.29,M,4,38,5,2010
ATSEA,0.32,M,4,39,5,2010
ATSEA,1.18,F,7,58,5,2010
ATSEA,0.41,M,4,40,5,2010
ATSEA,0.42,F,4,42,5,2010
ATSEA,0.54,F,5,45,5,2010
ATSEA,0.44,M,4,42,5,2010
ATSEA,0.44,M,5,43,5,2010
ATSEA,0.58,M,6,48,5,2010
ATSEA,0.4,M,4,41,5,2010
ATSEA,0.4,F,4,41,5,2010
ATSEA,0.38,F,4,42,5,2010
