"age","year","doy","p_mature","model"
0,2003,182,0.00216937171338397,"Spatial + temperature"
0,2003,278,0.00952612947123452,"Spatial + temperature"
0,2004,182,0.00217456351758206,"Spatial + temperature"
0,2004,278,0.00954875919963607,"Spatial + temperature"
0,2005,182,0.00225165107910619,"Spatial + temperature"
0,2005,278,0.00988466996221072,"Spatial + temperature"
0,2006,182,0.00128334058517099,"Spatial + temperature"
0,2006,278,0.00565241670543514,"Spatial + temperature"
0,2007,182,0.00189529215583332,"Spatial + temperature"
0,2007,278,0.00833035282353456,"Spatial + temperature"
0,2008,182,0.000499445435266034,"Spatial + temperature"
0,2008,278,0.0022056792148291,"Spatial + temperature"
0,2009,182,0.00114100309560228,"Spatial + temperature"
0,2009,278,0.00502793712070749,"Spatial + temperature"
0,2010,182,0.00250794744007434,"Spatial + temperature"
0,2010,278,0.0110002231215107,"Spatial + temperature"
0,2011,182,0.00089389577463179,"Spatial + temperature"
0,2011,278,0.00394235798741532,"Spatial + temperature"
0,2012,182,0.00066865597332444,"Spatial + temperature"
0,2012,278,0.00295124950407745,"Spatial + temperature"
0,2013,182,0.000944334536245205,"Spatial + temperature"
0,2013,278,0.00416409167720041,"Spatial + temperature"
0,2014,182,0.00205190987844215,"Spatial + temperature"
0,2014,278,0.00901393028284088,"Spatial + temperature"
0,2015,182,0.00239842374227263,"Spatial + temperature"
0,2015,278,0.0105237488988999,"Spatial + temperature"
0,2016,182,0.000465901246730933,"Spatial + temperature"
0,2016,278,0.00205777539956324,"Spatial + temperature"
0,2017,182,0.00200434403716057,"Spatial + temperature"
0,2017,278,0.00880640026041296,"Spatial + temperature"
0,2018,182,0.00213751528438498,"Spatial + temperature"
0,2018,278,0.00938725807165235,"Spatial + temperature"
0,2019,182,0.000810514427920626,"Spatial + temperature"
0,2019,278,0.00357563801713537,"Spatial + temperature"
0,2020,182,0.00234226382957586,"Spatial + temperature"
0,2020,278,0.0102792921290175,"Spatial + temperature"
0,2021,182,0.00222273124836065,"Spatial + temperature"
0,2021,278,0.00975867178269608,"Spatial + temperature"
0,2022,182,0.00232543357345553,"Spatial + temperature"
0,2022,278,0.0102060140574827,"Spatial + temperature"
0,2023,182,0.00224712774573416,"Spatial + temperature"
0,2023,278,0.00986496429612627,"Spatial + temperature"
0,2024,182,0.000862910393615446,"Spatial + temperature"
0,2024,278,0.00380610538399013,"Spatial + temperature"
1,2003,182,0.0258501418053233,"Spatial + temperature"
1,2003,278,0.105057834099879,"Spatial + temperature"
1,2004,182,0.0254427965609381,"Spatial + temperature"
1,2004,278,0.103534994475029,"Spatial + temperature"
1,2005,182,0.0266161890594494,"Spatial + temperature"
1,2005,278,0.107911118625288,"Spatial + temperature"
1,2006,182,0.0151779293012675,"Spatial + temperature"
1,2006,278,0.0638273778344742,"Spatial + temperature"
1,2007,182,0.0221501768390136,"Spatial + temperature"
1,2007,278,0.0910807602415958,"Spatial + temperature"
1,2008,182,0.00592749371702838,"Spatial + temperature"
1,2008,278,0.0257005150590281,"Spatial + temperature"
1,2009,182,0.013318428327286,"Spatial + temperature"
1,2009,278,0.0563486897912585,"Spatial + temperature"
1,2010,182,0.0286530707581575,"Spatial + temperature"
1,2010,278,0.115431557709414,"Spatial + temperature"
1,2011,182,0.010619531383082,"Spatial + temperature"
1,2011,278,0.045330586951088,"Spatial + temperature"
1,2012,182,0.0079358010176746,"Spatial + temperature"
1,2012,278,0.0341778293545944,"Spatial + temperature"
1,2013,182,0.0112053608548983,"Spatial + temperature"
1,2013,278,0.0477388679613771,"Spatial + temperature"
1,2014,182,0.0239077372008097,"Spatial + temperature"
1,2014,278,0.0977609751774296,"Spatial + temperature"
1,2015,182,0.0275022153450828,"Spatial + temperature"
1,2015,278,0.111194226662602,"Spatial + temperature"
1,2016,182,0.00549910023675853,"Spatial + temperature"
1,2016,278,0.0238774055235254,"Spatial + temperature"
1,2017,182,0.0234037500775782,"Spatial + temperature"
1,2017,278,0.0958530098385893,"Spatial + temperature"
1,2018,182,0.0255764668289937,"Spatial + temperature"
