year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2005,0.00000,0.00000,0.00238,0.01663,0.03800,0.66508,0.15677,0.00950,0.03800,0.03800,0.01425,0.01188,0.00475,0.00238,0.00238
2006,0.00000,0.00248,0.01117,0.00496,0.05087,0.04094,0.64764,0.10546,0.03102,0.03474,0.03102,0.01985,0.00993,0.00372,0.00620
2007,0.00132,0.00132,0.00132,0.08190,0.01453,0.05945,0.02774,0.57199,0.12021,0.03303,0.03567,0.01453,0.01321,0.01849,0.00528
2008,0.00000,0.03579,0.15308,0.01392,0.06958,0.00596,0.03380,0.02386,0.48111,0.08151,0.03380,0.02386,0.02386,0.00994,0.00994
2009,0.00000,0.00334,0.30435,0.18729,0.04348,0.09699,0.00669,0.02341,0.01003,0.25418,0.03344,0.01003,0.02007,0.00669,0.00000
2010,0.00000,0.00795,0.01392,0.24453,0.30616,0.06759,0.07555,0.02584,0.01988,0.02584,0.15109,0.04374,0.00199,0.00795,0.00795
2011,0.00000,0.00000,0.00830,0.00830,0.17012,0.31950,0.10373,0.04564,0.02905,0.01660,0.02490,0.18257,0.03320,0.02075,0.03734
2012,0.00000,0.00000,0.03602,0.26244,0.03945,0.26758,0.13722,0.02744,0.04288,0.01544,0.01544,0.02058,0.11492,0.01029,0.01029
2013,0.00000,0.00000,0.02171,0.04749,0.16689,0.06106,0.18453,0.12483,0.06784,0.05156,0.01628,0.02849,0.03799,0.14925,0.04206
2014,0.00000,0.00000,0.00787,0.14436,0.10236,0.21260,0.06299,0.11286,0.08399,0.03675,0.04199,0.00787,0.02362,0.02100,0.14173
2015,0.00000,0.00000,0.03721,0.01860,0.55814,0.11163,0.16744,0.02326,0.03721,0.03256,0.00930,0.00465,0.00000,0.00000,0.00000
2016,0.00284,0.01989,0.00568,0.02557,0.08523,0.65057,0.07670,0.07670,0.01705,0.01989,0.00568,0.00568,0.00284,0.00000,0.00568
2017,0.00000,0.00526,0.07105,0.02500,0.05526,0.04868,0.50921,0.11842,0.09605,0.02105,0.02632,0.01579,0.00263,0.00132,0.00395
2018,0.00163,0.05469,0.01143,0.18449,0.02449,0.04327,0.04816,0.44816,0.09469,0.04571,0.02041,0.01143,0.00490,0.00408,0.00245
2019,0.00111,0.11836,0.14712,0.03429,0.21128,0.03097,0.04093,0.04535,0.25332,0.06527,0.02765,0.01438,0.00553,0.00442,0.00000
2021,0.00000,0.00000,0.00000,0.18000,0.24000,0.06000,0.27000,0.03000,0.03000,0.10000,0.05000,0.01000,0.00000,0.03000,0.00000
2022,0.00000,0.00000,0.00000,0.01663,0.11639,0.19477,0.09501,0.17577,0.05938,0.05226,0.05463,0.14252,0.06176,0.01425,0.01663
2023,0.00000,0.00000,0.00846,0.00846,0.03383,0.14588,0.19239,0.05074,0.19662,0.05497,0.04651,0.07822,0.14588,0.02748,0.01057
