year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1988,0.00000,0.00000,0.00156,0.17031,0.00781,0.01094,0.02187,0.69375,0.01719,0.01406,0.06094,0.00000,0.00000,0.00156,0.00000
1989,0.00000,0.00000,0.00000,0.00166,0.50166,0.00000,0.00166,0.00000,0.45695,0.00000,0.01325,0.02318,0.00000,0.00000,0.00166
1990,0.00000,0.00000,0.03125,0.01562,0.00000,0.56027,0.00670,0.00446,0.00000,0.34152,0.00670,0.00000,0.02679,0.00000,0.00670
1991,0.00000,0.00000,0.00111,0.04540,0.02215,0.00443,0.52935,0.00443,0.00000,0.00111,0.37542,0.00221,0.00000,0.01329,0.00111
1992,0.00000,0.00000,0.00561,0.06390,0.14910,0.02971,0.00336,0.47534,0.00224,0.00000,0.00112,0.25785,0.00056,0.00112,0.01009
1993,0.00000,0.00072,0.00937,0.03242,0.14697,0.19885,0.02450,0.00288,0.44957,0.00216,0.00000,0.00000,0.13112,0.00072,0.00072
1994,0.00000,0.00000,0.00410,0.01958,0.02095,0.10383,0.18352,0.02869,0.00546,0.46175,0.00592,0.00182,0.00000,0.15528,0.00911
1995,0.02284,0.00051,0.00609,0.05939,0.05025,0.02995,0.12030,0.17563,0.03858,0.00558,0.37614,0.00711,0.00051,0.00000,0.10711
1996,0.00000,0.09502,0.02294,0.01114,0.09764,0.12779,0.03342,0.11533,0.13565,0.02031,0.00852,0.26147,0.00066,0.00000,0.07012
1997,0.00000,0.00606,0.16622,0.14266,0.01884,0.12853,0.12180,0.01750,0.08277,0.10767,0.02423,0.00404,0.13930,0.01009,0.03028
1998,0.00090,0.00090,0.06199,0.27403,0.26235,0.02426,0.09973,0.10153,0.01078,0.05391,0.04762,0.00629,0.00449,0.03774,0.01348
1999,0.00862,0.16749,0.06158,0.11700,0.26108,0.16502,0.01232,0.05419,0.05419,0.01724,0.02340,0.02709,0.00369,0.00123,0.02586
2000,0.00000,0.00260,0.27604,0.04688,0.06771,0.22917,0.14714,0.02474,0.05859,0.04036,0.01432,0.03255,0.01302,0.01172,0.03516
2001,0.00000,0.00070,0.01545,0.22191,0.05829,0.09059,0.25632,0.13483,0.03020,0.04213,0.04846,0.01685,0.03020,0.02528,0.02879
2004,0.00000,0.00000,0.03085,0.02813,0.67877,0.11978,0.02995,0.05354,0.02450,0.01724,0.00907,0.00363,0.00363,0.00091,0.00000
2005,0.00000,0.00000,0.00000,0.04452,0.04452,0.66438,0.11986,0.01712,0.05137,0.02055,0.02055,0.01370,0.00000,0.00000,0.00342
2006,0.00000,0.00299,0.05389,0.00898,0.05689,0.03593,0.63772,0.08683,0.02695,0.04790,0.01796,0.01497,0.00599,0.00000,0.00299
2007,0.00000,0.02817,0.04225,0.38028,0.04225,0.07042,0.01408,0.32394,0.08451,0.01408,0.00000,0.00000,0.00000,0.00000,0.00000
2011,0.00000,0.00000,0.79612,0.02913,0.12621,0.03883,0.00971,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
