year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1993,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.64000,0.00000,0.16000
1997,0.00000,0.00000,0.08000,0.12000,0.06000,0.18000,0.16000,0.08000,0.06000,0.10000,0.06000,0.00000,0.04000,0.04000,0.02000
1998,0.00000,0.00220,0.10793,0.21806,0.24449,0.01101,0.10793,0.10352,0.01762,0.04846,0.05947,0.00881,0.00000,0.06388,0.00661
1999,0.00228,0.05690,0.04173,0.12747,0.28983,0.20789,0.02656,0.06146,0.06070,0.01897,0.02807,0.02504,0.01214,0.00455,0.03642
2002,0.00000,0.00000,0.01101,0.08491,0.27280,0.08412,0.09119,0.21384,0.11635,0.02201,0.02358,0.03223,0.00550,0.01415,0.02830
2003,0.00000,0.00000,0.00472,0.35566,0.19906,0.07264,0.12547,0.06698,0.08113,0.04717,0.02075,0.00566,0.01226,0.00189,0.00660
2004,0.00000,0.00132,0.01055,0.01715,0.55937,0.14710,0.04749,0.07850,0.04749,0.03694,0.03166,0.00792,0.00330,0.00726,0.00396
2005,0.00000,0.00000,0.00201,0.02410,0.03012,0.64056,0.11948,0.02912,0.06124,0.04317,0.02912,0.01305,0.00502,0.00000,0.00301
2006,0.00000,0.00000,0.00000,0.00344,0.04467,0.02749,0.69416,0.08935,0.04811,0.03436,0.02405,0.02062,0.00687,0.00344,0.00344
2007,0.00000,0.00000,0.00000,0.03670,0.02752,0.05505,0.05505,0.53211,0.11009,0.03670,0.03670,0.04587,0.01835,0.00917,0.03670
2008,0.00000,0.00000,0.00379,0.01894,0.07576,0.00758,0.04924,0.04167,0.60227,0.07955,0.06818,0.01894,0.01515,0.00379,0.01515
2010,0.00000,0.00000,0.00971,0.07767,0.51456,0.14563,0.04854,0.03883,0.00971,0.00971,0.08738,0.01942,0.00971,0.02913,0.00000
2011,0.00000,0.00000,0.74648,0.02817,0.09859,0.05634,0.01408,0.02817,0.00000,0.01408,0.00000,0.01408,0.00000,0.00000,0.00000
2012,0.00000,0.00526,0.10263,0.47632,0.04211,0.13158,0.05789,0.02105,0.02895,0.00789,0.01842,0.00526,0.07895,0.01316,0.01053
2013,0.00000,0.00000,0.01266,0.05063,0.10127,0.03797,0.24051,0.10127,0.10127,0.05063,0.01266,0.05063,0.05063,0.16456,0.02532
2014,0.00000,0.00000,0.00358,0.13978,0.11828,0.23297,0.08602,0.14695,0.08602,0.02867,0.05376,0.00358,0.00717,0.01075,0.08244
2015,0.03378,0.00000,0.01014,0.02365,0.62838,0.08446,0.11149,0.01351,0.05743,0.02027,0.00000,0.00676,0.00000,0.00338,0.00676
2016,0.00000,0.09043,0.01596,0.06915,0.04787,0.55319,0.05851,0.07979,0.02128,0.02128,0.00000,0.01596,0.01064,0.00532,0.01064
2017,0.02639,0.00440,0.08358,0.01613,0.03079,0.07478,0.50293,0.13490,0.07185,0.01466,0.01466,0.01320,0.00147,0.00293,0.00733
2018,0.01073,0.03433,0.01502,0.22103,0.01073,0.04721,0.06009,0.35837,0.13305,0.04936,0.02361,0.01288,0.01073,0.01073,0.00215
2019,0.00000,0.09459,0.08784,0.02027,0.32770,0.01351,0.04730,0.02703,0.29392,0.02703,0.04054,0.01351,0.00676,0.00000,0.00000
2020,0.00000,0.00070,0.09736,0.19680,0.01530,0.29972,0.02921,0.03408,0.02643,0.23435,0.02990,0.02225,0.00278,0.00487,0.00626
2022,0.00000,0.00000,0.00168,0.01007,0.12584,0.21141,0.07047,0.18121,0.05705,0.04362,0.05201,0.14262,0.06040,0.02181,0.02181
2023,0.00000,0.00242,0.04843,0.01211,0.02906,0.16465,0.30266,0.06053,0.15012,0.01453,0.02663,0.03390,0.09927,0.03390,0.02179
