# From US_CAN_Ratios_1995_2021.xlsx from Rebecca Thomas.
#  Andy simplifying down to .csv for new table.
year,total,canada.total,canada.prop,total.cv,canada.cv,us.cv
1995,1318.03,257.39,19.53,8.59,27.13,8.40
1998,1569.15,963.16,61.38,4.60,4.65,9.33
2001,861.74,68.64,7.97,10.20,77.72,8.80
2003,2137.53,459.39,21.49,6.19,17.38,6.28
2005,1376.10,668.72,48.60,6.16,7.60,9.59
2007,942.72,259.89,27.57,7.38,14.92,8.46
2009,1502.27,398.12,26.50,9.57,21.03,10.59
2011,674.57,72.41,10.73,11.33,60.74,10.38
2012,1279.42,138.68,10.84,6.47,34.23,5.94
2013,1929.24,123.99,6.43,6.20,56.77,5.36
2015,2155.85,457.79,21.23,8.09,21.36,8.51
2017,1417.81,389.61,27.48,6.32,12.65,7.27
2019,1718.03,190.89,11.11,6.20,33.38,5.39
2021,1524.6404,66.0698,4.33,12.18,164.10,10.34
2023,907.095,22,2.43,8.61,211.28,7.07
