"Sector","month","year","Catch.MT"
"DomesticAtSea",5,2008,47980.1070872077
"DomesticAtSea",6,2008,26007.3753740011
"DomesticAtSea",7,2008,7520.12217
"DomesticAtSea",8,2008,14691.06709
"DomesticAtSea",9,2008,5771.91765015519
"DomesticAtSea",10,2008,32070.7444400644
"DomesticAtSea",11,2008,31400.7660476979
"DomesticAtSea",12,2008,15192.7978550584
"DomesticAtSea",5,2009,24015.0608129763
"DomesticAtSea",6,2009,2141.80499
"DomesticAtSea",7,2009,125.46769
"DomesticAtSea",8,2009,6876.74552
"DomesticAtSea",9,2009,14464.8883154515
"DomesticAtSea",10,2009,10813.86181
"DomesticAtSea",11,2009,8406.24139
"DomesticAtSea",12,2009,5506.13
"DomesticAtSea",5,2010,28939.3656993066
"DomesticAtSea",6,2010,10589.94666
"DomesticAtSea",7,2010,4413.35416
"DomesticAtSea",8,2010,10208.8719
"DomesticAtSea",9,2010,20984.55554
"DomesticAtSea",10,2010,20201.90974
"DomesticAtSea",11,2010,7947.73189
"DomesticAtSea",12,2010,3027.98382
"DomesticAtSea",5,2011,31090.2053515812
"DomesticAtSea",6,2011,13785.46627
"DomesticAtSea",7,2011,1393.63964
"DomesticAtSea",8,2011,1160.2916
"DomesticAtSea",9,2011,10944.33918
"DomesticAtSea",10,2011,17454.5324447688
"DomesticAtSea",11,2011,38302.3857228134
"DomesticAtSea",12,2011,13941.84426
"DomesticAtSea",5,2012,24609.5405373935
"DomesticAtSea",6,2012,2749.44404
"DomesticAtSea",7,2012,617.572192686955
"DomesticAtSea",8,2012,5851.46590719138
"DomesticAtSea",9,2012,22038.3427256122
"DomesticAtSea",10,2012,36617.0568117774
"DomesticAtSea",11,2012,1292.77593564747
"DomesticAtSea",5,2013,29573.2425311487
"DomesticAtSea",6,2013,11567.2334
"DomesticAtSea",7,2013,2241.86748
"DomesticAtSea",8,2013,4358.47863753869
"DomesticAtSea",9,2013,23965.8486834771
"DomesticAtSea",10,2013,41006.487042609
"DomesticAtSea",11,2013,17706.789439335
"DomesticAtSea",5,2014,47068.9374388126
"DomesticAtSea",6,2014,11282.3888361909
"DomesticAtSea",8,2014,4706.21375
"DomesticAtSea",9,2014,36652.5991253083
"DomesticAtSea",10,2014,50582.1635738749
"DomesticAtSea",11,2014,15012.4787950937
"DomesticAtSea",5,2015,47461.8417476711
"DomesticAtSea",6,2015,19543.54772
"DomesticAtSea",9,2015,9464.44081220488
"DomesticAtSea",10,2015,12908.1880873902
"DomesticAtSea",11,2015,6771.34553753131
"DomesticAtSea",5,2016,45764.7411390463
"DomesticAtSea",6,2016,28788.43975
"DomesticAtSea",7,2016,6372.91598446037
"DomesticAtSea",8,2016,5065.56321
"DomesticAtSea",9,2016,33098.6695033436
"DomesticAtSea",10,2016,38503.5750388116
"DomesticAtSea",11,2016,16227.77178
"DomesticAtSea",5,2017,37001.992106452
"DomesticAtSea",6,2017,39467.1493489769
"DomesticAtSea",7,2017,730.52445
"DomesticAtSea",8,2017,483.0061
"DomesticAtSea",9,2017,53255.5575021555
"DomesticAtSea",10,2017,64058.1781647665
"DomesticAtSea",11,2017,8391.49173
"DomesticAtSea",5,2018,43899.74027
"DomesticAtSea",6,2018,46879.3038347683
"DomesticAtSea",7,2018,106.05051
"DomesticAtSea",9,2018,30574.7362126185
"DomesticAtSea",10,2018,45019.5351116662
"DomesticAtSea",11,2018,16714.790265964
"DomesticAtSea",5,2019,63807.8871154722
"DomesticAtSea",6,2019,54260.2784157436
"DomesticAtSea",8,2019,23.58416
"DomesticAtSea",9,2019,11092.01982
"DomesticAtSea",10,2019,23111.509724251
"DomesticAtSea",11,2019,16496.6988124005
"DomesticAtSea",5,2020,59323.0083061612
"DomesticAtSea",6,2020,37346.2396846481
"DomesticAtSea",7,2020,557.61838
"DomesticAtSea",9,2020,5135.90551
"DomesticAtSea",10,2020,21483.89134
"DomesticAtSea",11,2020,25277.5936611077
