year,num_fish,num_samples,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2008,1757,356,0.00162059305974279,0.0978084570848295,0.404312274723029,0.0199493895763518,0.125670481649056,0.0113204874450569,0.0424656905627988,0.0336512806204525,0.235942442480598,0.0134798115486131,0.00522078300991099,0.00503040518555691,0.000261314511937319,0.00289213000973025,0.000374458532336394
2009,1323,278,0.00964192925520157,0.00861033368253375,0.331843010582587,0.428813427037047,0.0195518295004875,0.0804231908305839,0.00905110587378389,0.0128368533330016,0.00584881835980654,0.0782911170174456,0.0109025368762022,0.000720640184345959,0.00125789083586273,0.00216191891500685,4.53977161040649E-05
2010,976,331,0,0.139097894971999,0.083037311793066,0.419375284077785,0.293130003574582,0.0126855853152386,0.0141902348633719,0.000554030733650667,0.0034065614856632,0.0018092618882478,0.0280898496217861,0.00322363841141766,0,0.000894023114109877,0.000506320149081619
2011,1185,506,0.0692299558055541,0.167871178492517,0.530259467865326,0.0183237907097175,0.091229554972727,0.0721537550796657,0.0147262697133023,0.00688155017461967,0.00359595691302591,0.00332854264778992,0.000371731388167221,0.0179454087550735,0.00228008227322844,0.000943340519748608,0.000859414689537663
2012,981,332,0,0.504069950005718,0.0994438704856626,0.238185498990136,0.0294996541238742,0.0530241027999937,0.027203774648187,0.0163982891382204,0.00788158846517029,0.0027529787070151,0.00469616840227739,0.00486857833797883,0.00560297585204444,0.00328532304327324,0.00308724700044817
2013,1402,474,0.00103098463389082,0.00506683816929765,0.720389118948632,0.0712218261270145,0.138043506774925,0.0150429141362462,0.011947834785273,0.0144286989319674,0.00838924272311246,0.00358122437278444,0.00242855279972556,0.000968623151649478,0.000680310819907085,0.00438668192198398,0.00239364170359019
2014,1652,557,0,0.0412776912854362,0.0517029032432001,0.714076755530076,0.0598171813480793,0.0889352329210274,0.00889623501656134,0.0202549879485445,0.00888205677868053,0.00435487520756514,0.000883709786711671,0,0,0.000918370934117543,0
2015,1263,431,0.0349499959788716,0.0166351492943468,0.0755127811788479,0.0345246903398935,0.764507367476504,0.0320138667377255,0.0216437801079497,0.00334197192324082,0.00774548888537372,0.00524957342921728,0,0.00115693408854031,0.00122863863659303,0,0.00148976192289537
2016,1995,671,0.00399179180183173,0.528736209731111,0.023668999639571,0.0557206962782412,0.0223183021629481,0.313137458869174,0.0155923643542125,0.0206096928301426,0.00732611397641345,0.00201207351818126,0.00444096675812837,0.00203431783399017,0,0.000411012246054242,0
2017,2026,684,0.0175004673325986,0.0087289182615786,0.507470375855423,0.0236200982903816,0.0499038774929879,0.0307786619764535,0.287886295506725,0.0301233449213106,0.021126104619723,0.0116621840567686,0.00253179677635923,0.00583269897222932,0.00168363565032618,0,0.0011515402871351
2018,1162,549,0.0542025951200555,0.357641819245527,0.0105091722471603,0.260326012171647,0.0213500885449346,0.0265207244985566,0.0269353720400238,0.193612197608241,0.0249699514268624,0.0125463608263301,0.0028191625994201,0.00397758391251237,0.00287051474761032,0.00102178310386663,0.000696661907252618
2019,1190,494,0,0.0684084899238118,0.250020851593336,0.0135480990382045,0.39001451235696,0.014776971399189,0.0408661931046183,0.0180581933172158,0.174002701015323,0.0115304738714661,0.00842150589524806,0.00449171315623349,0.000461461937544634,0.00159401549991187,0.0038048178909378
2020,909,389,0,0.00188006007284388,0.079048991040566,0.407523437534593,0.0115610134938694,0.31654753102608,0.0185427215983081,0.0161110832798777,0.0179784105959968,0.11136515307356,0.0068179498396321,0.0108392447518814,0,0.000516637137325134,0.00126776655546659
2021,1206,409,0.0387553125780742,0.00622591158804174,0.0281878127009381,0.133701280866439,0.362935938615475,0.016575216769261,0.228689644456612,0.0189814661050144,0.0198926637493982,0.016352943063459,0.109427013166889,0.0136912353023286,0.00427406652237345,0.00162373877025778,0.000685755745438403
2022,956,455,0.00975665857741136,0.490993992220574,0.0131487071822069,0.0173378854993524,0.0785071763510049,0.192741460485312,0.00723257778896545,0.125503504745297,0.0141058578509144,0.00879309624262268,0.00507114042214099,0.0227246152653022,0.0109778677779332,0.00294937805139526,0.000156081539568122
