year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2008,3,127,609,38,235,22,82,73,507,28,10,12,1,7,3
2009,13,10,379,594,26,117,12,19,11,120,16,1,2,2,1
2010,0,109,63,421,297,18,18,1,4,2,36,5,0,1,1
2011,53,125,544,26,176,141,28,16,8,8,1,46,7,3,3
2012,0,384,98,267,36,76,40,24,11,4,10,8,13,5,5
2013,1,7,924,101,235,22,27,32,20,8,3,3,4,10,5
2014,0,58,84,1152,105,163,18,38,20,9,3,0,0,2,0
2015,36,21,99,43,958,42,34,5,12,8,0,2,1,0,2
2016,6,893,50,114,55,749,42,46,18,6,10,5,0,1,0
2017,26,14,942,46,99,66,662,71,46,28,6,13,4,0,3
2018,54,521,17,473,32,49,52,376,47,23,7,11,3,3,2
2019,0,107,408,23,621,31,71,34,326,21,25,6,4,4,4
2020,0,1,116,515,19,387,25,21,23,146,11,13,1,1,2
2021,34,8,29,159,438,17,278,21,27,23,144,18,7,2,1
2022,5,390,27,34,142,327,12,210,23,14,10,54,17,2,2
2023,5,438,338,16,18,82,176,26,96,10,11,11,38,8,4
2024,44,45,314,136,15,11,17,82,9,47,9,7,3,10,5
2025,44,135,17,151,124,6,3,18,32,8,22,4,3,2,12
