year,num_fish,num_samples,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2008,1580,324,0.0120548661195653,0.0859245012526304,0.385311011260549,0.0348118011352933,0.14884644179991,0.00717303691825953,0.0273238679068074,0.0333057654539683,0.227459344291029,0.0203177681425253,0.00482369198143837,0.00733305551740957,0.00254136711090596,0.000841332680375928,0.00193214842933334
2009,1187,316,0.0203108121671833,0.00691737458390517,0.304213036007079,0.236896730299689,0.039442448006524,0.101715679295595,0.00872732303700309,0.0303540878909468,0.020707015845916,0.198118881579735,0.0190018900447538,0.00268864868349539,0.00626290069661334,0.00270007630116663,0.00194309556039466
2010,1305,443,0,0.415886388837092,0.0134709482709029,0.36687337949392,0.128082652480719,0.0131905400787359,0.0188883456106206,0.00379310505149177,0.00214047081443085,0.00948417022325596,0.0226861415084186,0.00391616962085901,0.000386554589465409,0.00120113342008754,0
2011,1153,481,0.0411840382359648,0.152472168021981,0.72039565632584,0.026757321206377,0.0355807543764839,0.0160354450358498,0.00204993892057555,0.00108978942837416,0.00103822753589432,0.000302377479106709,0.00112532326586229,0.00110817895581075,0.000285866091499882,0.000324972259997727,0.000249942860382026
2012,884,299,0.00702873008845018,0.764436509218121,0.0587788229695623,0.130922152957908,0.0134306094738957,0.00843651808850042,0.00874587076463124,0.0032097086049739,0.000720888574667948,0,0.000917212622952184,0.000443455784816451,0.0010195934259974,0.000712159538583006,0.00119776788694083
2013,1215,409,0,0.011943331099766,0.831555521706791,0.0451646973882386,0.0750772374298506,0.00248464280423815,0.00958716569940582,0.0117662529609301,0.00134932677737539,0.00191383773580292,0.00149035325104063,0.000465427138325491,0.00234298955121169,0.00346254937725824,0.00139666707976579
2014,1252,423,0,0.0501113038912617,0.0350428422177909,0.746256440337061,0.047481305906167,0.0750839289908551,0.0100928070982849,0.0127920467650886,0.00995821593297635,0.00523854379608111,0.00113108268673673,0.000784337269847113,0,0.00135468369872426,0.00467246140912501
2015,601,203,0.0181493749808741,0.00645725001057295,0.104076192951835,0.0477425034992284,0.714164486902259,0.0399863826608975,0.0412588436807293,0.010696696058973,0.00626150400884881,0.0083041170496088,0.00290264819617313,0,0,0,0
2016,1495,502,0.00534108438671829,0.592522917707361,0.0145122944425992,0.0510490438125395,0.0244216285811307,0.268205049308003,0.0153914100348093,0.0192253942919643,0.00379994200129762,0.00317422305053998,0.000866161095415717,0.00149085128762181,0,0,0
2017,1054,353,0.0777931193440115,0.00766112368283325,0.51196658181952,0.0220537399429825,0.0340527456919086,0.0128451913204813,0.277308078661017,0.0188305780986704,0.0196045921419645,0.00490719000601027,0.000770137959079265,0.00812497063390254,0.00188785684778648,0.00158315620472892,0.000610937645104279
2018,1230,414,0.169507093286836,0.25303703376464,0.0118499531326174,0.288290782424118,0.0113908884857207,0.0227673340299415,0.0170349616752357,0.168230104301002,0.0246904603449003,0.0124267455179009,0.0073727399952354,0.00321660864455898,0.00482518889759245,0.00487101300831587,0.000489092491384391
2019,903,307,0,0.149802069643027,0.205870814596277,0.0097355158175076,0.363010346731312,0.0132897321342783,0.0412150738165305,0.015328993694562,0.166239977228941,0.0146710439905279,0.0103937601742236,0.00415641511291649,0.00480796102401599,0.00140135341244622,7.69426234331046e-05
2020,568,192,0,0,0.0862227100978424,0.401126139801974,0.0239670056081062,0.286156962415781,0.0148520527500146,0.0206406660735864,0.0250794009320191,0.118889643836974,0.0111814010472777,0.0079547333028617,0.00392928413356279,0,0
2021,545,186,0,0.00430001168722434,0.0177891697816807,0.115715495950108,0.379241706667925,0.0217717897989243,0.22335762684584,0.0126787427794021,0.0197839022286321,0.0276663082083458,0.138261841124287,0.0240095116258019,0.00665059840145942,0.00212316699404449,0.00665012790632529
2022,840,299,0.0144508971615709,0.426377856802871,0.0196690845063792,0.0283418292792728,0.0691108020859065,0.194096222741355,0.0106773033967763,0.145107175813898,0.0182492858786572,0.00473500658295279,0.00523391688287176,0.0381716546381335,0.0153036719378292,0.0042594647741089,0.00621582751741731
2023,448,127,0.0227906110696161,0.395929031678681,0.331765056290519,0.011505287437143,0.0121292205880678,0.0545695605268699,0.0748542348694875,0.00670420799468655,0.0518751816818722,0.00701398103659785,0.00251149006159415,0.00488563442543854,0.0205975935783812,0.00286890876104481,0
2024,267,124,0.0482687965559887,0.14199276827136,0.58927822175618,0.114065945072695,0.00472889759758362,0,0.0176146780911634,0.0296500566899418,0,0.0278518339617322,0.00524334167871698,0.00195098041772426,0,0.00229566370562558,0.0170588162012886
2025,663,242,0.0341505916475719,0.589007076551728,0.0745998102593584,0.178421436449687,0.0705674103270073,0.0037945713137696,0.00282975353603612,0.00366930292531031,0.0232296127472004,0.001164241850051,0.0100466416150952,0.00429286323552883,0.00203090920687394,0.00069860229960306,0.00149717603517866
