year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2008,12,88,500,62,262,19,54,63,444,40,11,13,6,2,4
2009,17,6,368,279,50,116,12,36,28,231,27,4,8,3,2
2010,0,439,16,508,203,23,32,7,4,18,44,8,1,2,0
2011,26,115,850,34,66,36,5,4,3,1,3,6,1,2,1
2012,5,526,73,205,26,15,16,7,2,0,1,2,1,2,3
2013,0,11,939,64,117,7,23,25,2,4,4,1,5,9,4
2014,0,57,45,901,65,111,13,21,15,9,2,2,0,3,8
2015,13,5,65,28,422,23,26,8,4,5,2,0,0,0,0
2016,5,662,26,91,45,568,35,43,8,7,3,2,0,0,0
2017,60,6,475,27,40,15,351,24,28,7,2,13,3,2,1
2018,125,296,15,400,18,33,22,234,35,18,10,7,8,6,3
2019,0,107,193,10,324,13,38,12,172,14,11,3,4,1,1
2020,0,0,48,223,14,168,7,11,14,70,7,4,2,0,0
2021,0,2,10,68,195,12,128,9,11,14,75,13,3,1,4
2022,7,232,17,26,77,212,12,153,18,9,12,44,12,4,5
2023,4,97,182,7,8,35,52,5,34,5,1,4,11,3,0
2024,8,29,157,39,1,0,6,11,0,7,2,1,0,1,5
2025,17,349,50,135,64,3,3,2,19,2,9,5,2,1,2
