month,year,catch
5,2008,21068.23053
6,2008,11384.48164
7,2008,7520.12217
8,2008,6957.36764
9,2008,5771.91765
10,2008,12496.01032
11,2008,7241.62287
5,2009,23209.80757
6,2009,881.3612
9,2009,560.3889
10,2009,5945.21827
11,2009,3830.41176
12,2009,3122.63059
5,2010,23016.87108
6,2010,10582.9661
7,2010,4258.7764
8,2010,4322.76716
9,2010,5653.08085
10,2010,4187.83859
5,2011,9701.35717
6,2011,8724.59566
7,2011,1393.63964
8,2011,1160.2916
9,2011,7041.27283
10,2011,15997.30074
11,2011,10823.55829
12,2011,1552.47275
5,2012,4268.31366
6,2012,2749.44404
7,2012,617.57219
8,2012,2121.11931
9,2012,5817.87743
10,2012,21645.25374
11,2012,1292.77594
5,2013,6431.73136
6,2013,6633.2543
7,2013,3728.79194
9,2013,9449.34342
10,2013,20680.06729
11,2013,5547.24361
5,2014,16753.89042
6,2014,6438.95099
9,2014,10366.3758
10,2014,19277.84902
11,2014,9264.44838
5,2015,14657.18055
6,2015,9832.21206
9,2015,2450.07301
10,2015,725.5559
5,2016,13194.45036
6,2016,13941.95872
7,2016,6372.91598
8,2016,5065.56321
9,2016,14268.25094
10,2016,12192.72797
5,2017,11875.79414
6,2017,16573.92339
7,2017,730.52445
9,2017,9081.19636
10,2017,25836.63461
11,2017,2329.80965
5,2018,16662.49186
6,2018,22488.62191
9,2018,6556.30737
10,2018,16244.55991
11,2018,5169.18925
5,2019,25762.03392
6,2019,22460.45621
10,2019,2506.13541
11,2019,1917.17707
5,2020,19028.99292
6,2020,13407.84203
7,2020,557.61838
11,2020,4983.08755
5,2021,12784.83261
6,2021,10779.47011
9,2021,1119.43247
10,2021,10523.98315
5,2022,17583.77553
6,2022,13811.738
8,2022,3716.64548
9,2022,14645.60996
10,2022,9758.27683
5,2023,14013.67012
6,2023,172.81467
8,2023,3475.02266
9,2023,3926.78112
10,2023,11349.62929
11,2023,136.44093
5,2024,199.90107
6,2024,1148.60264
8,2024,10421.62076
9,2024,8500.12561
10,2024,763.43505
6,2025,8124.28785
7,2025,12392.73282
8,2025,14631.63257
9,2025,11202.58573
10,2025,2585.32701
