year,num_fish,num_samples,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2008,1259,63,0.0187364929344375,0.137844526869339,0.258420059356051,0.0228672005622069,0.217675379734539,0.0132541936120379,0.0379460136868464,0.0282659611952426,0.222660181288399,0.0194455763277279,0.0097855378677915,0.00412329505093227,0.00362506960146915,0.00224528179428938,0.00310523011869085
2009,1399,65,0,0.00417139949587646,0.456528222672279,0.273902807415318,0.0218122780825505,0.0878569947707093,0.00500988645346198,0.0191873099762032,0.0155246413799692,0.0881051265379693,0.0118465582883016,0.00581090311813042,0.00579203250327608,0.000738063662153633,0.00371377564380044
2010,1584,75,0.000861424545277908,0.317397834899068,0.0189950082807562,0.382665830334378,0.165145803381962,0.0158273399415021,0.0295979324274586,0.00138612941735304,0.00672342166371398,0.0105459552062462,0.0389098823960913,0.00768101505538402,0.0013318344263833,0,0.00293058802442526
2011,1599,81,0.000521825867608821,0.0299421509133302,0.867069478865522,0.033745622888931,0.0303735611364282,0.016559854307275,0.00409052335736983,0.00571023118761157,0.00352749126002739,0.00157201458814694,0,0.00549868939805743,0.000891497297923284,0,0.000497058931768463
2012,1522,76,0,0.230376648351956,0.188559646861249,0.510182762532999,0.0152538326584233,0.0238973756014127,0.0118304120604971,0.00656189966510497,0.00288510724537788,0.000682854049344395,0,0.00336279746971472,0.00228483410605997,0.00195078034562984,0.00217104905223168
2013,1915,96,0,0.00364459322413037,0.792819071338556,0.0592784220966381,0.0979084011001102,0.00671633327362977,0.0137920756231877,0.0101269318203318,0.00363845157692408,0.00370550129716124,0.00131272775851151,0.000359864139742062,0.000928239642265358,0.00311242757591247,0.00265695953289915
2014,1355,68,0,0.0213933544127968,0.0338165633756681,0.639942698920367,0.0825741277141926,0.151019125280932,0.0129809962766669,0.024022076478093,0.0166621727934131,0.0062971146283953,0.00225682151928486,0,0.00201260820778726,0.00201279796495336,0.00500954242744991
2015,1680,84,0.0611718512180333,0.0134148591125337,0.0742133955691815,0.0491176734025578,0.672419054748467,0.0405157096403286,0.050646551062347,0.0078023616466517,0.0105353323574548,0.0127938192544584,0.00242609754393726,0.00171781493289134,0,0,0.00322547951115787
2016,1518,76,0.00107056082225358,0.654447247478569,0.0140557235908514,0.0325463045234921,0.0155485264381075,0.220325705512584,0.0159979908351021,0.0269932619513446,0.00724972018945249,0.00287524095426921,0.003069509851588,0.0026422253035301,0.0013857035246712,0.00101527830181993,0.000777000722365212
2017,2235,112,0.0368415423819575,0.00706344756074184,0.353675692447114,0.0263204944489064,0.0365800630067939,0.0249971290992628,0.430301564517049,0.0289111615965994,0.0211536886109648,0.0166292220078805,0.00637274414511805,0.00531496067252241,0.00271756705974074,0.00112251868687436,0.00199820375847389
2018,1834,92,0.0771755391611121,0.278458900030302,0.0174512479450884,0.314503506795154,0.0123815833483552,0.0239887007258047,0.0260918571143186,0.190840781069407,0.0265012796479849,0.01323558369073,0.00857411842303434,0.0048572801223995,0.00399735764677436,0.00146518842105381,0.00047707585848091
2019,2566,129,0,0.157932955908718,0.224772308715576,0.0092969162776353,0.321937417283351,0.0185931881677857,0.0329479853376852,0.0173839467452097,0.167099312300389,0.0128015084932022,0.016071774636728,0.00896350274279932,0.00537523537992468,0.00314598153083333,0.00367796648016243
2020,1974,99,0,0.000219253071524745,0.0833853067175444,0.345036730548248,0.0134704624802537,0.320669188982526,0.0123688964685157,0.022909224185236,0.0156785650898715,0.158814620339446,0.0105766337392913,0.00879266058897847,0.00428335422634641,0.00059491478440986,0.00320018877780811
2021,2480,124,0.0016984357796279,0.00256895137403585,0.0197116754487846,0.126903806719298,0.344810489941498,0.0273337364074383,0.259349337052139,0.0192349929674024,0.0279950377858303,0.0207953004221709,0.11120351146596,0.022678380862179,0.00852016060928265,0.00216266466547693,0.00503351849887656
2022,1800,90,0.00414572050678621,0.105532509574494,0.0118909049351023,0.0186242942477848,0.117113443018449,0.343364185255327,0.0174462622838775,0.205929697273961,0.0236710802981974,0.0149081901726843,0.0129720745727342,0.0921509463766767,0.0183275866514984,0.00845392020847651,0.00546918462395047
2023,1328,66,0.00135773307773234,0.164448202889559,0.270246386156998,0.0220581715979584,0.0353741704523621,0.0754295801114766,0.192949587063467,0.0198234360402126,0.115865517176389,0.0201759124724834,0.0087690546759559,0.0113958496949286,0.0434274371615415,0.0086881288353265,0.0099908325936088
