year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1965,0,5,9,36,92,150,34,6,2,0,0,0,0,0,0
1966,2,89,24,107,423,598,289,73,12,6,1,0,0,0,0
1967,5,517,37,226,226,273,194,64,16,2,2,1,1,0,0
1968,1,663,184,734,762,1109,680,225,38,11,0,0,0,0,0
1969,1,96,79,444,437,584,346,89,17,3,0,0,0,0,0
1970,0,121,215,734,855,688,445,125,31,9,3,0,0,0,0
1971,6,88,70,400,821,670,390,161,40,9,4,0,1,0,0
1972,3,300,94,264,573,543,260,109,23,12,0,0,0,0,0
1973,0,30,194,839,296,301,167,110,30,8,0,1,0,0,0
1974,0,25,46,666,1037,348,100,31,2,3,2,0,0,0,0
1975,7,108,73,178,273,408,151,55,16,5,1,0,0,0,0
1976,0,60,45,697,337,434,233,64,18,4,3,0,0,0,0
1977,0,95,37,344,333,219,176,73,23,7,1,1,2,0,0
1978,0,132,22,118,328,506,134,66,15,2,1,0,0,0,0
1979,0,24,7,69,162,350,272,79,23,5,2,1,0,0,0
1980,0,23,35,229,342,399,417,203,86,43,21,6,3,3,1
1981,0,10,19,99,488,325,277,247,162,77,29,24,8,1,7
1982,0,27,68,290,338,604,440,323,308,132,87,42,31,14,16
1983,172,29,23,54,376,339,181,105,59,35,10,7,3,1,1
1984,1,107,59,77,144,235,164,88,45,15,10,6,2,5,1
1985,16,45,122,170,126,109,115,78,49,22,14,11,7,3,8
1986,7,153,357,340,197,208,128,79,41,34,15,11,6,2,7
1987,0,34,172,369,220,102,86,22,15,16,0,0,2,0,0
1988,0,88,13,47,94,65,40,18,7,5,0,1,0,0,0
1989,0,18,44,51,40,40,62,19,38,7,10,3,12,2,5
1990,0,7,155,25,6,264,13,3,5,160,8,1,12,0,1
1991,0,10,112,218,28,10,364,15,1,4,155,2,0,14,1
1992,4,96,28,137,244,33,18,340,15,0,0,137,3,0,7
1993,0,17,234,22,93,143,9,6,230,1,1,0,74,1,14
1994,0,0,17,441,4,246,261,5,1,361,0,1,0,108,12
1995,5,23,13,81,477,23,134,279,20,3,270,11,6,1,95
1996,0,257,258,32,62,229,6,31,117,2,0,114,0,1,49
1997,0,27,450,495,16,111,152,5,51,70,0,3,63,2,38
1998,0,209,464,251,424,54,60,159,13,12,60,4,2,35,9
1999,0,77,375,256,209,107,34,47,52,8,14,33,8,13,31
2000,8,31,80,169,167,221,126,93,64,16,20,25,10,13,42
2001,0,239,378,198,350,168,135,83,21,22,17,15,7,7,13
2002,0,1,957,244,56,70,31,14,14,2,1,5,0,1,2
2003,0,6,41,1193,105,28,32,26,9,8,3,2,2,0,3
2004,0,0,77,49,915,58,11,40,13,8,3,3,0,1,0
2005,1,2,7,62,53,615,49,11,19,14,9,9,3,3,2
2006,9,71,180,25,144,74,726,61,14,25,14,7,4,1,1
2007,0,135,74,218,12,62,21,402,31,14,15,5,4,3,1
2008,34,132,293,31,295,19,55,38,309,24,12,7,5,2,3
2009,0,8,657,376,32,111,7,25,20,122,18,9,7,1,6
2010,1,412,28,615,276,27,69,9,13,20,89,15,3,0,7
2011,1,64,1370,44,50,32,9,8,5,3,0,10,2,0,1
2012,0,240,301,832,28,47,22,16,9,2,0,5,9,6,5
2013,0,8,1485,117,199,19,29,23,8,7,3,2,2,7,6
2014,0,21,44,827,112,225,21,43,26,9,5,0,4,4,14
2015,120,20,118,79,1111,70,93,13,19,22,5,3,0,0,7
2016,1,882,27,58,27,411,28,42,10,4,9,6,2,3,8
2017,65,13,768,67,85,60,974,67,55,33,18,14,9,3,5
2018,80,450,33,618,28,51,51,393,57,30,18,11,9,4,1
2019,0,358,556,22,850,46,86,48,465,33,43,24,15,10,10
2020,0,1,159,654,30,637,27,50,35,323,24,17,10,1,6
2021,3,5,43,258,700,55,542,39,67,45,236,51,20,6,10
2022,8,210,25,58,271,719,54,430,57,38,42,195,44,17,12
2023,1,214,345,32,57,157,357,35,207,30,15,27,89,13,17
2024,88,40,512,366,38,50,190,399,42,240,34,32,19,86,42
2025,19,403,63,290,175,15,16,40,99,12,50,12,7,3,36
