month,year,catch
1,1981,0.03856
4,1981,210.98668
5,1981,195.55728
6,1981,246.01036
7,1981,137.64306
8,1981,35.48589
9,1981,8.82056
10,1981,2.81409
12,1981,1.12309
1,1982,5.86631
2,1982,0.00907
3,1982,6.44918
4,1982,117.6605
5,1982,88.97487
6,1982,106.89766
7,1982,63.6762
8,1982,81.46201
9,1982,168.11993
10,1982,312.94608
11,1982,61.77656
12,1982,8.96389
4,1983,140.96109
5,1983,261.59443
6,1983,239.00462
7,1983,69.17102
8,1983,121.89206
9,1983,121.83718
10,1983,75.18883
11,1983,16.25221
12,1983,4.89472
1,1984,0.11884
2,1984,0.87906
3,1984,67.90096
4,1984,138.45181
5,1984,385.45962
6,1984,432.96616
7,1984,785.72495
8,1984,768.67215
9,1984,138.32753
10,1984,1.50593
11,1984,0.19278
12,1984,0.47582
1,1985,0.0635
2,1985,0.16329
4,1985,322.45428
5,1985,1156.3775
6,1985,742.83507
7,1985,887.49566
8,1985,609.33739
9,1985,173.87828
10,1985,1.41612
1,1986,0.56788
2,1986,1.02391
3,1986,1.25843
4,1986,537.16611
5,1986,1052.4296
6,1986,890.59245
7,1986,471.79825
8,1986,373.66283
9,1986,38.78671
10,1986,64.34109
11,1986,0.22394
12,1986,0.09241
1,1987,0.0626
2,1987,0.36469
3,1987,29.92893
4,1987,882.68576
5,1987,1053.0419
6,1987,1391.13696
7,1987,1074.28817
8,1987,244.86685
9,1987,53.25174
10,1987,49.33815
11,1987,16.29304
12,1987,0.04491
3,1988,501.94622
4,1988,1515.3496
5,1988,1850.87913
6,1988,1884.3166
7,1988,946.44543
8,1988,40.79156
9,1988,24.55477
10,1988,68.76279
11,1988,0.02268
12,1988,34.35599
1,1989,0.03493
2,1989,0.08029
3,1989,72.46183
4,1989,1560.12597
5,1989,1281.86519
6,1989,1510.40544
7,1989,1890.25549
8,1989,1037.97855
9,1989,23.46161
10,1989,21.4141
11,1989,15.35546
12,1989,0.15558
1,1990,0.7897
2,1990,0.06849
3,1990,0.13971
4,1990,323.64859
5,1990,1525.88519
6,1990,1852.46625
7,1990,1935.46776
8,1990,306.85569
9,1990,750.36198
10,1990,979.09591
11,1990,440.19733
12,1990,1517.39711
1,1991,0.10977
2,1991,0.01542
3,1991,0.04536
4,1991,2430.56338
5,1991,4032.80857
6,1991,1987.81776
7,1991,5900.07509
8,1991,2458.5473
9,1991,2044.93366
10,1991,3026.66313
11,1991,2033.75442
12,1991,54.66196
2,1992,0.29121
3,1992,0.07394
4,1992,1071.62468
5,1992,6784.51126
