"year","age","pred_weight"
1975,0,0.0111472876747604
1975,1,0.0535700236040921
1975,2,0.179956459874285
1975,3,0.22255209695549
1975,4,0.328280361832971
1975,5,0.434621070528824
1975,6,0.462955482249217
1975,7,0.552479987176915
1975,8,0.65867089982348
1975,9,0.716822570512513
1975,10,0.749615233097716
1975,11,0.809264138525317
1975,12,0.853624670425621
1975,13,0.857738098910768
1975,14,0.866994272263988
1975,15,0.911145902124724
1976,0,0.0126476887882265
1976,1,0.0872264924745883
1976,2,0.229845534870071
1976,3,0.41458085695587
1976,4,0.400515540395174
1976,5,0.55726844222944
1976,6,0.692520650817345
1976,7,0.737609795429028
1976,8,0.92329600298162
1976,9,1.07364584947088
1976,10,1.11175314008131
1976,11,1.18522796190979
1976,12,1.29669336235942
1976,13,1.31161538568302
1976,14,1.32148966908814
1976,15,1.41418269514824
1977,0,0.0202479389058501
1977,1,0.073755740622599
1977,2,0.27891257818036
1977,3,0.394623853031189
1977,4,0.556035325372231
1977,5,0.506692383149661
1977,6,0.661746813541067
1977,7,0.822291176628802
1977,8,0.918663660926841
1977,9,1.12160254445002
1977,10,1.24097547959361
1977,11,1.31001813486623
1977,12,1.41531900499669
1977,13,1.48484899602183
1977,14,1.5059863355693
1977,15,1.60641784594387
1978,0,0.0129845732114748
1978,1,0.0955135111613903
1978,2,0.19077209562366
1978,3,0.38735992903618
1978,4,0.428130139395338
1978,5,0.569018935112578
1978,6,0.486710948381694
1978,7,0.635600296993059
1978,8,0.828428103217968
1978,9,0.902721734548601
1978,10,1.04867392059387
1978,11,1.18285490286761
1978,12,1.2654036661476
1978,13,1.31098786395028
1978,14,1.37910124193866
1978,15,1.48086377722706
1979,0,0.0157835965272089
1979,1,0.0727864129111865
1979,2,0.293577306247598
1979,3,0.31484738571032
1979,4,0.499396864098338
1979,5,0.520641504255
1979,6,0.649519369990013
1979,7,0.555522939397852
1979,8,0.760942661891115
1979,9,0.96736603174321
1979,10,1.00298405662402
1979,11,1.18781113014211
1979,12,1.35775654116831
1979,13,1.39287476435077
1979,14,1.4469421901096
1979,15,1.61149468378097
1980,0,0.0169991121528614
1980,1,0.0788656457958877
1980,2,0.19941932575911
1980,3,0.431883863967529
1980,4,0.361818247567971
1980,5,0.541337422267494
1980,6,0.529740809103245
1980,7,0.660818578671128
1980,8,0.592828528437522
1980,9,0.792040153635834
1980,10,0.958054510619407
1980,11,1.01265196129299
1980,12,1.21533799583092
1980,13,1.33218377912493
1980,14,1.37032580022563
1980,15,1.50710379526114
1981,0,0.012618284374119
1981,1,0.0879415330670532
1981,2,0.223712726321545
1981,3,0.303736958927484
1981,4,0.513858153963385
1981,5,0.406067849334183
1981,6,0.570267465074258
1981,7,0.558006769584829
1981,8,0.730121676009293
1981,9,0.638866713174432
1981,10,0.812142963069963
1981,11,1.00148004082666
1981,12,1.07274325687387
1981,13,1.2345969880465
1981,14,1.35694362711681
1981,15,1.47775255157205
1982,0,0.0115617777752373
1982,1,0.0592857527926234
1982,2,0.226557839120837
1982,3,0.309459145650884
1982,4,0.32821328010462
1982,5,0.523761566418342
1982,6,0.388500323305942
1982,7,0.545552897874384
1982,8,0.559931242066488
1982,9,0.714592811125523
1982,10,0.594946319135758
1982,11,0.7710220511743
1982,12,0.963518634606988
1982,13,0.989705914465714
1982,14,1.14210257951598
1982,15,1.32899064507486
1983,0,0.0114928421923189
1983,1,0.0611927196916412
1983,2,0.172052310914909
1983,3,0.353034245541357
1983,4,0.376692472044662
1983,5,0.376852702273131
1983,6,0.564483843203507
1983,7,0.418672818999538
1983,8,0.616676231020692
1983,9,0.617338284727906
1983,10,0.749637448887781
1983,11,0.636263785870515
1983,12,0.835621737519706
1983,13,1.00137236206704
1983,14,1.03136211604233
1983,15,1.26005743305054
1984,0,0.0165312626792008
1984,1,0.0620772439172756
1984,2,0.181234040422455
1984,3,0.273607562740628
