Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.23,M,3,34,5,2011
ATSEA,0.36,M,3,38,5,2011
ATSEA,0.39,F,3,41,5,2011
ATSEA,0.44,M,5,42,6,2011
ATSEA,0.49,M,6,44,6,2011
ATSEA,0.51,M,6,44,6,2011
ATSEA,0.26,M,3,36,6,2011
ATSEA,0.41,M,3,43,6,2011
ATSEA,0.25,F,3,36,6,2011
ATSEA,0.25,M,3,35,6,2011
ATSEA,0.26,F,3,36,6,2011
ATSEA,0.3,F,3,38,6,2011
ATSEA,0.21,F,3,34,6,2011
ATSEA,0.24,F,3,37,6,2011
ATSEA,0.26,M,3,36,6,2011
ATSEA,0.24,F,3,36,6,2011
ATSEA,0.23,F,3,36,6,2011
ATSEA,0.32,M,3,38,6,2011
ATSEA,0.34,F,3,38,6,2011
ATSEA,0.54,F,5,43,6,2011
ATSEA,0.72,M,5,48,6,2011
ATSEA,0.56,M,6,45,5,2011
ATSEA,0.74,F,6,50,5,2011
ATSEA,0.6,F,10,50,5,2011
ATSEA,0.51,M,6,45,5,2011
ATSEA,0.37,F,3,40,5,2011
ATSEA,0.4,F,3,41,5,2011
ATSEA,0.48,F,5,44,5,2011
ATSEA,0.52,F,4,46,5,2011
ATSEA,0.75,F,5,52,5,2011
ATSEA,0.55,M,5,46,5,2011
ATSEA,0.83,F,12,51,5,2011
ATSEA,0.96,F,8,54,5,2011
ATSEA,0.3,M,3,37,5,2011
ATSEA,0.24,M,3,34,5,2011
ATSEA,0.37,F,3,40,5,2011
ATSEA,0.28,F,3,36,5,2011
ATSEA,0.31,F,3,38,5,2011
ATSEA,0.25,F,3,35,5,2011
ATSEA,0.36,M,3,38,5,2011
ATSEA,0.35,M,3,39,5,2011
ATSEA,0.36,F,3,41,5,2011
ATSEA,0.33,M,3,38,5,2011
ATSEA,0.27,M,3,37,5,2011
ATSEA,0.26,F,3,35,5,2011
ATSEA,0.62,M,14,48,5,2011
ATSEA,0.46,F,5,43,5,2011
ATSEA,0.71,F,6,51,5,2011
