"Source","Weight_kg","Sex","Age_yrs","Length_cm","Month","Year"
"Acoustic U.S.",0.034,"U",1,19,"7","2021"
"Acoustic U.S.",0.044,"M",1,19,"7","2021"
"Acoustic U.S.",0.048,"M",1,20,"7","2021"
"Acoustic U.S.",0.058,"M",1,22,"7","2021"
"Acoustic U.S.",0.066,"M",1,22,"7","2021"
"Acoustic U.S.",0.084,"M",1,22,"7","2021"
"Acoustic U.S.",0.074,"M",1,23,"7","2021"
"Acoustic U.S.",0.076,"M",1,23,"7","2021"
"Acoustic U.S.",0.076,"M",1,24,"7","2021"
"Acoustic U.S.",0.082,"M",1,24,"7","2021"
"Acoustic U.S.",0.098,"M",1,24,"7","2021"
"Acoustic U.S.",0.112,"M",1,24,"7","2021"
"Acoustic U.S.",0.078,"M",1,25,"7","2021"
"Acoustic U.S.",0.082,"M",1,25,"7","2021"
"Acoustic U.S.",0.084,"M",1,25,"7","2021"
"Acoustic U.S.",0.09,"M",1,25,"7","2021"
"Acoustic U.S.",0.09,"M",1,25,"7","2021"
"Acoustic U.S.",0.092,"M",1,25,"7","2021"
"Acoustic U.S.",0.094,"M",1,25,"7","2021"
"Acoustic U.S.",0.094,"M",1,25,"7","2021"
"Acoustic U.S.",0.094,"M",1,25,"7","2021"
"Acoustic U.S.",0.098,"M",1,25,"7","2021"
"Acoustic U.S.",0.102,"M",1,25,"7","2021"
"Acoustic U.S.",0.088,"M",1,26,"7","2021"
"Acoustic U.S.",0.092,"M",1,26,"7","2021"
"Acoustic U.S.",0.098,"M",1,26,"7","2021"
"Acoustic U.S.",0.098,"M",1,26,"7","2021"
"Acoustic U.S.",0.098,"M",1,26,"7","2021"
"Acoustic U.S.",0.1,"M",1,26,"7","2021"
"Acoustic U.S.",0.102,"M",1,26,"7","2021"
"Acoustic U.S.",0.102,"M",1,26,"7","2021"
"Acoustic U.S.",0.102,"M",1,26,"7","2021"
"Acoustic U.S.",0.104,"M",1,26,"7","2021"
"Acoustic U.S.",0.104,"M",1,26,"7","2021"
"Acoustic U.S.",0.116,"M",1,26,"7","2021"
"Acoustic U.S.",0.102,"M",1,27,"7","2021"
"Acoustic U.S.",0.108,"M",1,27,"7","2021"
"Acoustic U.S.",0.11,"M",1,27,"7","2021"
"Acoustic U.S.",0.112,"M",1,27,"7","2021"
"Acoustic U.S.",0.136,"M",1,27,"7","2021"
"Acoustic U.S.",0.132,"M",1,28,"7","2021"
"Acoustic U.S.",0.082,"F",1,22,"7","2021"
"Acoustic U.S.",0.068,"F",1,23,"7","2021"
"Acoustic U.S.",0.086,"F",1,23,"7","2021"
"Acoustic U.S.",0.104,"F",1,23,"7","2021"
"Acoustic U.S.",0.072,"F",1,24,"7","2021"
"Acoustic U.S.",0.076,"F",1,24,"7","2021"
"Acoustic U.S.",0.078,"F",1,24,"7","2021"
"Acoustic U.S.",0.086,"F",1,24,"7","2021"
"Acoustic U.S.",0.084,"F",1,25,"7","2021"
"Acoustic U.S.",0.086,"F",1,25,"7","2021"
"Acoustic U.S.",0.092,"F",1,25,"7","2021"
"Acoustic U.S.",0.094,"F",1,25,"7","2021"
"Acoustic U.S.",0.094,"F",1,25,"7","2021"
"Acoustic U.S.",0.098,"F",1,25,"7","2021"
"Acoustic U.S.",0.1,"F",1,25,"7","2021"
"Acoustic U.S.",0.092,"F",1,26,"7","2021"
"Acoustic U.S.",0.092,"F",1,26,"7","2021"
"Acoustic U.S.",0.094,"F",1,26,"7","2021"
"Acoustic U.S.",0.096,"F",1,26,"7","2021"
"Acoustic U.S.",0.1,"F",1,26,"7","2021"
"Acoustic U.S.",0.1,"F",1,26,"7","2021"
"Acoustic U.S.",0.102,"F",1,26,"7","2021"
"Acoustic U.S.",0.102,"F",1,26,"7","2021"
"Acoustic U.S.",0.104,"F",1,26,"7","2021"
"Acoustic U.S.",0.098,"F",1,27,"7","2021"
"Acoustic U.S.",0.104,"F",1,27,"7","2021"
