,Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
1,CAN_polish,0.75,M,12,50,9,1982
2,CAN_polish,1.27,F,12,55,9,1982
3,CAN_polish,0.9,F,12,50,9,1982
4,CAN_polish,0.98,M,12,53,9,1982
5,CAN_polish,0.76,F,5,47,9,1982
6,CAN_polish,1.03,F,11,52,9,1982
7,CAN_polish,0.98,F,13,56,9,1982
8,CAN_polish,0.9,M,12,51,9,1982
9,CAN_polish,0.93,M,9,57,9,1982
10,CAN_polish,0.78,F,5,50,9,1982
11,CAN_polish,0.86,F,6,49,9,1982
12,CAN_polish,0.99,F,12,52,9,1982
13,CAN_polish,0.88,F,5,50,9,1982
14,CAN_polish,1.41,F,6,60,9,1982
15,CAN_polish,1.56,F,12,61,9,1982
16,CAN_polish,0.78,M,13,50,9,1982
17,CAN_polish,0.93,M,12,52,9,1982
18,CAN_polish,0.96,M,12,52,9,1982
19,CAN_polish,1.13,M,10,57,9,1982
20,CAN_polish,0.78,F,5,51,9,1982
21,CAN_polish,0.91,F,9,52,9,1982
22,CAN_polish,0.73,F,12,49,9,1982
23,CAN_polish,1.04,F,14,55,9,1982
24,CAN_polish,1,F,12,51,9,1982
25,CAN_polish,1.03,F,5,54,9,1982
26,CAN_polish,0.78,M,5,45,9,1982
27,CAN_polish,0.83,M,9,53,9,1982
28,CAN_polish,0.72,M,9,48,9,1982
29,CAN_polish,1.09,F,9,54,9,1982
30,CAN_polish,0.85,M,12,53,9,1982
31,CAN_polish,0.74,M,13,49,9,1982
32,CAN_polish,1.08,F,9,52,9,1982
33,CAN_polish,0.83,M,9,48,9,1982
34,CAN_polish,1.04,F,11,55,9,1982
35,CAN_polish,0.94,F,12,51,9,1982
36,CAN_polish,1.05,F,5,52,9,1982
37,CAN_polish,0.96,M,12,52,9,1982
38,CAN_polish,1.15,M,12,56,9,1982
39,CAN_polish,0.93,F,12,52,9,1982
40,CAN_polish,1,F,12,54,9,1982
41,CAN_polish,1.07,F,10,54,9,1982
42,CAN_polish,0.89,M,8,51,9,1982
43,CAN_polish,1.32,F,12,57,9,1982
44,CAN_polish,0.79,F,13,48,9,1982
