Shoreside age comps
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1985,0,0.005882353,0.029411765,0.282352941,0.176470588,0.041176471,0.123529412,0.217647059,0.058823529,0.011764706,0,0.029411765,0,0,0.023529412
1993,0,0,0.00112211,0.000374037,0.001496146,0.002244219,0.000748073,0,0.277149584,0,0,0.017510723,0.612390292,0,0.086964818
1994,0,0,0,0,0.023255814,0.069767442,0.046511628,0.093023256,0.046511628,0.441860465,0.023255814,0,0,0.23255814,0.023255814
1997,0,0,0.08,0.12,0.06,0.18,0.16,0.08,0.06,0.1,0.06,0,0.04,0.04,0.02
1998,0,0.001929827,0.113481298,0.222589248,0.248199204,0.013783309,0.10124621,0.105729876,0.016708768,0.044712027,0.056943616,0.009147063,0,0.058561254,0.0069683
1999,0.001630215,0.075870742,0.045115101,0.12111738,0.280454839,0.203881414,0.02592306,0.061964598,0.059387557,0.019540827,0.027143806,0.02653694,0.01075698,0.005068436,0.035608106
2000,0,0,0,0.02,0.04,0.34,0.12,0.02,0.12,0.04,0.06,0.08,0.1,0,0.06
2001,0,0,0.032786885,0.180327869,0.016393443,0.016393443,0.360655738,0.098360656,0.049180328,0.081967213,0.049180328,0,0.06557377,0.016393443,0.032786885
2002,0,0,0.013227865,0.080818794,0.261372085,0.088252266,0.102159128,0.228224321,0.104853465,0.019891221,0.023001242,0.03100822,0.006101155,0.013637787,0.027452451
2003,0,0,0.006998911,0.359064743,0.178609418,0.073597894,0.115934871,0.069845957,0.080247479,0.059038003,0.021638965,0.012067726,0.013826891,0.003340253,0.00578889
2004,0,0.00123398,0.011552185,0.017466938,0.555694989,0.150885926,0.045295919,0.071934024,0.052605344,0.031502792,0.035857648,0.009047769,0.004731606,0.00667487,0.005516008
2005,0,0,0.003298153,0.023607354,0.033949829,0.648685219,0.111957719,0.033132132,0.057212224,0.04110977,0.023275142,0.015042304,0.004618099,0,0.004112056
2006,0,0,0,0.006797381,0.042591583,0.021255695,0.671982263,0.093188246,0.04206886,0.051345796,0.025573839,0.033491869,0.005101182,0.003863955,0.002739331
2007,0,0.000452742,0,0.033620714,0.018791623,0.051711529,0.050780385,0.526185595,0.103991676,0.021769437,0.063587709,0.076676671,0.016842735,0.001968472,0.033620714
2008,0,0.036603078,0.037308994,0.018961228,0.090221262,0.009310072,0.035169924,0.031617253,0.542902435,0.097431329,0.036631817,0.014988232,0.021196742,0.0077095,0.019948133
2009,0,0.004326196,0.089483961,0.1811881,0.057145155,0.164230663,0.033190814,0.03095773,0.053729582,0.287253271,0.052684384,0.025122851,0.006618929,0.006177045,0.007891318
2010,0,0.000681401,0.009272435,0.101705226,0.375889547,0.075177492,0.086543224,0.015969468,0.009114672,0.017586453,0.25556283,0.030676184,0.018970001,0.001470408,0.00138066
2011,0,0,0.638061267,0.028813829,0.126154415,0.090041655,0.028344745,0.031059511,0.002335051,0.01912601,0.002429873,0.026342882,0.002492324,0.004714788,8.37E-05
2012,0,0.00840452,0.112904653,0.540180368,0.053003471,0.13072107,0.054110485,0.022076977,0.015629513,0.008146262,0.010850676,0.002080023,0.025168346,0.002939034,0.013784602
2013,0,0,0.013628341,0.046958462,0.043328181,0.022551593,0.261734737,0.079856001,0.045732877,0.141516596,0.00510282,0.028989095,0.043596114,0.248260423,0.01874476
2014,0,0,0.001864433,0.149066195,0.126039973,0.239436492,0.089652851,0.146753224,0.088951489,0.018841215,0.044010277,0.0056392,0.004595048,0.008956022,0.076193581
2015,0.027908841,0,0.011168596,0.026356468,0.634934465,0.081269385,0.115161861,0.013080842,0.056050578,0.018506257,0,0.005297707,0,0.003421667,0.006843333
2016,0,0.049992755,0.002528116,0.02773114,0.025447084,0.699107897,0.09183366,0.085741346,0.007186384,0.004431621,0.000956464,0.001966251,0.001427245,0.000232875,0.001417163
2017,0.069310621,0.003318031,0.078098111,0.017236486,0.03001576,0.072978099,0.480535497,0.133010045,0.069422898,0.013270028,0.012504189,0.011925476,0.001436227,0.001477662,0.005460871
2018,0.004778828,0.05122294,0.019423975,0.222416268,0.012009651,0.045002125,0.059449384,0.35732519,0.123670291,0.044246066,0.025290254,0.011657397,0.009154137,0.011716819,0.002636675
Freezer Trawler age comps
2005,0,0,0.001203496,0.016692777,0.046463559,0.654563546,0.163770528,0.013826083,0.035648788,0.039227378,0.009307826,0.011680593,0.003374062,0.001566992,0.002674372
2006,0,0.002844339,0.010736139,0.004676824,0.060779165,0.045750389,0.653995538,0.101869457,0.027417025,0.034454873,0.029968229,0.010191626,0.010079891,0.003073684,0.004162819
2007,0.003000407,0.002314085,0.001909469,0.07602678,0.01589757,0.067236935,0.028103423,0.592378277,0.100351828,0.022563806,0.036103259,0.014020434,0.013687015,0.021651903,0.004754809
2008,0,0.17842215,0.176479515,0.019152832,0.076884573,0.005310058,0.026782789,0.020933888,0.369530842,0.056237196,0.022872004,0.017287588,0.016470171,0.006920307,0.006716086
2009,0,0.001855956,0.222495343,0.138099497,0.04230561,0.11838377,0.015626501,0.025840344,0.021017126,0.304315527,0.065670398,0.016895541,0.019145714,0.00478447,0.003564203
2010,0,0.042492221,0.042389061,0.310651428,0.255996162,0.060891189,0.041095406,0.020225975,0.02588073,0.031952492,0.114067303,0.034329885,0.006341138,0.006714886,0.006972122
2011,0,0,0.052888958,0.01354899,0.237636195,0.28493569,0.109712719,0.040651344,0.010250854,0.017671279,0.022660909,0.155202219,0.019005803,0.011916076,0.023918965
2012,0,0.000520639,0.029039211,0.251834544,0.062618467,0.29032486,0.137820219,0.034896224,0.038532064,0.010487699,0.013090467,0.017996386,0.08238911,0.019539694,0.010910416
2013,0,0,0.027687281,0.058449498,0.180938742,0.058898598,0.188632361,0.131079849,0.054774887,0.055740172,0.020569554,0.027271487,0.041499688,0.116734911,0.037722972
2014,0,0,0.009740914,0.132505127,0.100456416,0.246003175,0.053644002,0.141710392,0.076229816,0.04770673,0.031782293,0.01442919,0.019338494,0.020808817,0.105644635
2015,0,0.002812434,0.025870087,0.026742098,0.587483058,0.123310842,0.116169492,0.03202996,0.03840463,0.022357655,0.00808705,0.006445472,0.001521971,0.002524892,0.006240359
2016,0.001643509,0.048433698,0.019624691,0.042899564,0.069342161,0.575402184,0.090567298,0.082453075,0.020735499,0.023724222,0.012882755,0.005299256,0.001419042,0.001159163,0.004413883
2017,0,0.005751139,0.073008739,0.024166553,0.054716198,0.050735393,0.499675344,0.12275019,0.097746563,0.023691124,0.024957981,0.013713372,0.002107298,0.001935833,0.005044272
2018,0.000997349,0.04665508,0.005393707,0.177321754,0.026133384,0.039111435,0.050708903,0.45536039,0.094204071,0.053661211,0.025209957,0.009749567,0.00706785,0.006077903,0.002347438
Joint Venture age comps
1988,0,0,0.002718229,0.141730884,0.007735155,0.013098668,0.02315059,0.663267088,0.025011479,0.01831629,0.082295185,0.005564208,0.002225683,0.002645284,0.012241257
1989,0,0,0,0.001587958,0.504417266,0,0.001753022,0,0.454811536,0,0.01352854,0.02231372,0,0,0.001587958
1990,0,0,0.101788435,0.032961905,0,0.469004122,0.00915238,1.58E-05,0,0.33663731,0.006424837,0,0.03759034,0,0.006424837
1991,0,0,0.000747676,0.04342956,0.021390638,0.003856649,0.53030695,0.003415657,0,0.000441285,0.380215944,0.001569713,0,0.013528991,0.001096936
1992,0,0,0.005528682,0.074087863,0.152018682,0.031964756,0.003306238,0.481964471,0.002002916,0,0.000982495,0.237494731,0.000412242,0.000821685,0.00941524
1993,0,0.000875134,0.012329213,0.034622664,0.149410485,0.202688699,0.026502059,0.003252585,0.440544978,0.002821214,0,0,0.125636003,0.000808912,0.000508055
1994,0,0,0.004506396,0.019786602,0.021597519,0.101944173,0.174242621,0.028778856,0.005996767,0.479390794,0.005057581,0.001880588,0,0.14902869,0.007789414
1995,0.034877715,0.003007914,0.006350581,0.064572756,0.052396268,0.030838342,0.117945957,0.173620803,0.04329735,0.007149632,0.353294453,0.0106924,0.000542454,0,0.101413374
1996,0,0.09979206,0.024781252,0.010447876,0.094368716,0.124091669,0.036052704,0.106647342,0.136794407,0.022059594,0.009647328,0.259804046,0.000444891,0,0.075068115
1997,0,0.005798716,0.195501785,0.154547921,0.018507354,0.121472188,0.114010601,0.017521006,0.074927148,0.100528855,0.023826816,0.003117639,0.133769759,0.009425183,0.027045029
1998,0.001360872,0.000342314,0.061486558,0.272730517,0.272126719,0.025660871,0.099984096,0.102259003,0.010279732,0.050387962,0.044668857,0.005792683,0.004348847,0.037688828,0.010882141
1999,0.005494195,0.173640832,0.061273044,0.125068471,0.263420814,0.162862472,0.014702541,0.049469122,0.048478643,0.016729298,0.023805955,0.028152294,0.0039496,0.00106974,0.02188298
2000,0,0.002429393,0.277008933,0.074935835,0.074423448,0.248754954,0.133002763,0.023585001,0.04774075,0.032922549,0.012053114,0.023906327,0.013604452,0.00789961,0.027732872
2001,0,0.000658186,0.01487269,0.23000839,0.057857025,0.088368805,0.25731158,0.133163661,0.029660954,0.043600624,0.048939512,0.0176304,0.02820926,0.023098301,0.026620612
2004,0,0,0.033296806,0.029581294,0.684530504,0.116089829,0.029035469,0.049685042,0.02489637,0.016991603,0.007800094,0.003221678,0.004162113,0.000709199,0
2005,0,0,0,0.045452658,0.041849971,0.661477818,0.122642881,0.016891885,0.052106257,0.020280576,0.020716537,0.015193403,0,0,0.003388013
2006,0,0.001561874,0.038886726,0.008328394,0.050112387,0.026565628,0.658547357,0.087992581,0.031422659,0.055712106,0.018837183,0.014362025,0.004727623,0,0.002943459
2007,0,0.028169014,0.042253521,0.38028169,0.042253521,0.070422535,0.014084507,0.323943662,0.084507042,0.014084507,0,0,0,0,0
2011,0,0,0.889144026,0.004391471,0.099145384,0.005855295,0.001463824,0,0,0,0,0,0,0,0
Shoreside number of trips sampled for age
1985,1
1993,3
1994,1
1997,1
1998,9
1999,26
2000,1
2001,1
2002,36
2003,20
2004,28
2005,31
2006,21
2007,7
2008,20
2009,7
2010,8
2011,4
2012,43
2013,10
2014,26
2015,6
2016,75
2017,75
2018,47
Freezer Trawler number of hauls sampled for age
2005,14
2006,46
2007,29
2008,31
2009,19
2010,17
2011,7
2012,101
2013,105
2014,79
2015,74
2016,116
2017,76
2018,83
Joint Venture number of hauls sampled for age
1988,3
1989,3
1990,5
1991,18
1992,33
1993,25
1994,41
1995,35
1996,28
1997,27
1998,21
1999,14
2000,25
2001,28
2004,20
2005,11
2006,21
2007,1
2011,2
2017,0
2018,0
