"Fishery","Year","Month","weightKg","numLandings"
"JV",2007,8,1792310.83095755,26
"JV",2007,9,3051871.07261015,40
"JV",2007,10,1936208.47453702,25
"JV",2008,6,85087.1247978033,6
"JV",2008,7,1734480.97888064,38
"JV",2008,8,1517681.51594126,34
"JV",2008,9,255031.856653997,6
"JV",2010,8,4686675.58169207,37
"JV",2010,9,3394774.20403135,25
"JV",2011,7,1402072.61413293,12
"JV",2011,8,4957456.16544568,43
"JV",2011,9,3357082.03882985,28
"Shoreside",2007,4,519370.521563459,33
"Shoreside",2007,5,1201592.95108747,48
"Shoreside",2007,6,755683.074684229,30
"Shoreside",2007,7,3661165.37441678,103
"Shoreside",2007,8,15691426.5898261,247
"Shoreside",2007,9,20467105.6128418,290
"Shoreside",2007,10,9170897.91993516,150
"Shoreside",2007,11,2860681.88849482,68
"Shoreside",2007,12,527427.229246156,24
"Shoreside",2008,2,10279.7638899305,6
"Shoreside",2008,3,2199.46940397445,12
"Shoreside",2008,4,27455.4925867539,20
"Shoreside",2008,5,213784.888045828,25
"Shoreside",2008,6,1456050.1062082,60
"Shoreside",2008,7,11466356.9949219,208
"Shoreside",2008,8,12102443.1836774,205
"Shoreside",2008,9,11353912.8070817,178
"Shoreside",2008,10,16739162.82325,254
"Shoreside",2008,11,3384730.76176638,65
"Shoreside",2008,12,279840.184167211,16
"Shoreside",2009,1,4002.04548386608,18
"Shoreside",2009,2,6346.66444636225,25
"Shoreside",2009,3,2735.61558576406,10
"Shoreside",2009,4,4660.66160565839,15
"Shoreside",2009,5,205771.271638318,23
"Shoreside",2009,6,246409.519285437,10
"Shoreside",2009,7,8556575.54670286,149
"Shoreside",2009,8,13904123.4186375,208
"Shoreside",2009,9,12834600.6900718,199
"Shoreside",2009,10,7135501.9481747,121
"Shoreside",2009,11,1143173.88252144,32
"Shoreside",2009,12,92096.0341049209,21
"Shoreside",2010,1,18135.9837449187,22
"Shoreside",2010,2,58979.7087358198,20
"Shoreside",2010,3,2899.36243147138,11
"Shoreside",2010,4,2348.24770145922,10
"Shoreside",2010,5,1561635.52381586,30
"Shoreside",2010,6,1736903.61573084,37
"Shoreside",2010,7,7230683.77117531,141
"Shoreside",2010,8,14156934.9406385,181
"Shoreside",2010,9,9596747.22016596,143
"Shoreside",2010,10,4114196.19744263,71
"Shoreside",2010,11,1000473.26920741,33
"Shoreside",2010,12,19478.6171612446,9
"Shoreside",2011,1,9972.681855183,20
"Shoreside",2011,2,3842.38096949218,10
"Shoreside",2011,3,1852.92483300385,9
"Shoreside",2011,4,7039.75358830347,10
"Shoreside",2011,5,430665.997611873,20
"Shoreside",2011,6,32395.5670925666,3
"Shoreside",2011,7,3318987.08360345,52
"Shoreside",2011,8,12316184.0732633,162
"Shoreside",2011,9,8213204.30795544,117
"Shoreside",2011,10,8091471.90914697,137
"Shoreside",2011,11,4110358.80598921,86
"Shoreside",2011,12,7640.76347905747,9
"Shoreside",2012,1,3422.35443451995,9
"Shoreside",2012,2,3346.15091629605,10
"Shoreside",2012,3,3609.68808348705,16
"Shoreside",2012,4,3374.72723563001,13
"Shoreside",2012,5,391337.724730412,19
"Shoreside",2012,6,115600.737145662,14
"Shoreside",2012,7,1253730.21891611,30
"Shoreside",2012,8,9114367.60999939,148
"Shoreside",2012,9,11459969.5071622,169
"Shoreside",2012,10,7940135.80428563,135
"Shoreside",2012,11,1407571.51443906,39
"Shoreside",2012,12,21222.6798253571,8
"Shoreside",2013,1,1700.51779655604,10
"Shoreside",2013,2,2770.08860591297,9
"Shoreside",2013,3,116.119646817377,5
"Shoreside",2013,4,27813.8305593544,17
"Shoreside",2013,5,1183621.621373,25
"Shoreside",2013,6,2859380.98557657,76
"Shoreside",2013,7,2879224.74459597,95
"Shoreside",2013,8,10425817.4580464,228
"Shoreside",2013,9,11614529.2929998,258
"Shoreside",2013,10,4666928.43784756,110
"Shoreside",2013,11,1422.01208114249,11
"Shoreside",2013,12,2037.53692774866,2
"Shoreside",2014,1,3500.82591459576,14
"Shoreside",2014,2,3132.50890984689,10
"Shoreside",2014,3,1340.8190468444,12
"Shoreside",2014,4,1049.6127450602,11
"Shoreside",2014,5,2483030.85994827,63
"Shoreside",2014,6,3269758.2500537,95
"Shoreside",2014,7,3399227.57392374,117
"Shoreside",2014,8,418162.723922337,49
"Shoreside",2014,9,1669303.83758831,61
"Shoreside",2014,10,2066230.27391418,60
"Shoreside",2014,11,9096.79498797849,7
"Shoreside",2014,12,2345.07255486656,5
"Shoreside",2015,1,4667.46549121409,14
"Shoreside",2015,2,2362.76265731139,7
"Shoreside",2015,3,506.662677714883,1
"Shoreside",2015,4,5805.07515612808,8
"Shoreside",2015,5,1452508.91057264,33
"Shoreside",2015,6,2801848.23650226,74
"Shoreside",2015,7,5998822.14761999,122
"Shoreside",2015,8,3765872.18360302,80
"Shoreside",2015,9,1990108.85590932,38
"Shoreside",2015,10,630629.47253984,16
"Shoreside",2015,11,27880.05504543,7
"Shoreside",2015,12,93980.7104038513,1
"FreezerTrawler",2007,4,39.0089438527125,1
"FreezerTrawler",2007,5,2740717.13915373,6
"FreezerTrawler",2007,6,1401599.06369826,3
"FreezerTrawler",2007,7,1795844.76911518,4
"FreezerTrawler",2007,8,1969493.5362679,4
"FreezerTrawler",2007,9,1554677.8704466,3
"FreezerTrawler",2007,10,2820354.80521378,6
"FreezerTrawler",2007,11,1138868.38374179,3
"FreezerTrawler",2007,12,699037.552286386,3
"FreezerTrawler",2008,2,68321.8971961741,1
"FreezerTrawler",2008,3,52580.8811668638,1
"FreezerTrawler",2008,4,1050144.80891065,1
"FreezerTrawler",2008,5,1237285.68112034,2
"FreezerTrawler",2008,6,1983715.92504118,4
"FreezerTrawler",2008,7,2692079.33646258,4
"FreezerTrawler",2008,8,1634016.1655422,3
"FreezerTrawler",2008,9,898302.494963968,4
"FreezerTrawler",2008,10,2069083.36992387,4
"FreezerTrawler",2008,11,1208708.908194,5
"FreezerTrawler",2008,12,320117.372287507,1
"FreezerTrawler",2009,1,171603.065562305,2
"FreezerTrawler",2009,2,18088.3565460287,2
"FreezerTrawler",2009,4,649610.045278407,2
"FreezerTrawler",2009,5,681571.97806489,2
"FreezerTrawler",2009,6,2508827.11164417,4
"FreezerTrawler",2009,7,1964591.5635212,4
"FreezerTrawler",2009,8,2254054.70982603,4
"FreezerTrawler",2009,9,2984146.1029734,5
"FreezerTrawler",2009,10,1933441.5610777,3
"FreezerTrawler",2009,11,51538.5258997297,2
"FreezerTrawler",2009,12,5719.34619812619,1
"FreezerTrawler",2010,1,4592.16915773095,1
"FreezerTrawler",2010,2,19358.8687754642,2
"FreezerTrawler",2010,3,12860.2508850245,1
"FreezerTrawler",2010,4,362596.751366,1
"FreezerTrawler",2010,5,2855163.93730914,5
"FreezerTrawler",2010,6,503998.276131268,2
"FreezerTrawler",2010,7,1967541.72829815,4
"FreezerTrawler",2010,8,1266854.00696832,4
"FreezerTrawler",2010,9,1676642.05495633,3
"FreezerTrawler",2010,10,2690722.1880904,4
"FreezerTrawler",2010,11,1521548.39089876,3
"FreezerTrawler",2010,12,690832.066306205,1
"FreezerTrawler",2011,1,301.185333932571,1
"FreezerTrawler",2011,3,7585.87880224145,1
"FreezerTrawler",2011,5,2841586.10329418,8
"FreezerTrawler",2011,6,1987294.31525111,4
"FreezerTrawler",2011,7,1630244.09139012,3
"FreezerTrawler",2011,8,1528479.28231817,4
"FreezerTrawler",2011,9,2714168.37771537,4
"FreezerTrawler",2011,10,1600018.05660508,3
"FreezerTrawler",2011,11,1976827.67130458,5
"FreezerTrawler",2011,12,306608.937905209,1
"FreezerTrawler",2012,2,4917.39488729368,1
"FreezerTrawler",2012,4,76953.7600045127,1
"FreezerTrawler",2012,5,1567468.26810658,3
"FreezerTrawler",2012,6,1519285.41856293,3
"FreezerTrawler",2012,7,1964696.79695113,5
"FreezerTrawler",2012,8,2530317.86456042,7
"FreezerTrawler",2012,9,2012670.08681967,4
"FreezerTrawler",2012,10,3371081.71374927,7
"FreezerTrawler",2012,11,1448150.34148566,5
"FreezerTrawler",2012,12,413364.170236083,3
"FreezerTrawler",2013,5,2055296.88341853,7
"FreezerTrawler",2013,6,3271678.76014989,8
"FreezerTrawler",2013,7,2648075.43342724,10
"FreezerTrawler",2013,8,3247418.82581247,9
"FreezerTrawler",2013,9,2847595.29501698,10
"FreezerTrawler",2013,10,3681891.37059657,10
"FreezerTrawler",2013,11,741044.288114943,5
"FreezerTrawler",2013,12,90715.7525218534,2
"FreezerTrawler",2014,2,3256.79321933112,1
"FreezerTrawler",2014,4,355.616418378217,1
"FreezerTrawler",2014,5,2472764.70382945,9
"FreezerTrawler",2014,6,2775151.60395116,8
"FreezerTrawler",2014,7,4416917.84873368,12
"FreezerTrawler",2014,8,3793516.37061585,11
"FreezerTrawler",2014,9,4638910.94431391,14
"FreezerTrawler",2014,10,3377398.44109918,11
"FreezerTrawler",2014,11,308371.597856508,1
"FreezerTrawler",2015,1,9875.15949555122,1
"FreezerTrawler",2015,4,119400.934024709,1
"FreezerTrawler",2015,5,1342185.26706398,3
"FreezerTrawler",2015,6,2525442.2001712,9
"FreezerTrawler",2015,7,3955603.06824757,9
"FreezerTrawler",2015,8,4790881.62490141,12
"FreezerTrawler",2015,9,4606978.04143913,12
"FreezerTrawler",2015,10,2935112.31414291,9
"FreezerTrawler",2015,11,2115230.04331689,16
"FreezerTrawler",2015,12,502759.96896013,6
