Year,ss_weight,ft_weight,jv_weight,tot_weight
2007,52623.71979109968,14121.52752020661,6780.390378104712,73525.637689411
2008,57798.71613582556,13185.14639934158,3592.281476273704,74576.14401144085
2009,44136.019977877215,13223.123420551678,0,57359.14339842889
2010,35362.077977771994,13572.7106891428,8081.449785723418,57016.23845263821
2011,31760.34499727668,14595.817310447444,9716.610818408459,56072.77312613258
2012,32147.073769931656,14912.144464888055,0,47059.21823481971
2013,33665.36264605686,18583.71660905847,0,52249.07925511533
2014,13326.17915350973,21792.038494098368,0,35118.2176476081
2015,16774.99253817871,22886.78277282667,0,39661.77531100538
2016,35009.07289067006,34723.78642291169,0,69732.85931358175
2017,43427.146728631495,37686.07572392594,5607.51526717076,86720.7377197282
2018,50747.154177343975,41941.983249722805,2723.713321965281,95412.85074903205
2019,49274.87408253119,45737.98394575123,0,95012.85802828241
2020,39076.90650475137,53411.82655560343,0,92488.7330603548
2021,16952.35985558381,40123.28332184127,0,57075.64317742508
2022,5049.568528875931,23837.307810984905,0,28886.876339860835
