"year","1","2","3","4","5","6","7","8","9","10","11","12"
2007,0,0,0,0.0390089438527125,2740.71713915373,1401.59906369826,1795.84476911518,1969.4935362679,1554.6778704466,2820.35480521378,1138.86838374179,699.037552286386
2008,0,68.3218971961741,52.5808811668638,1050.14480891065,1237.28568112034,1983.71592504118,2692.07933646258,1634.0161655422,898.302494963968,2069.08336992387,1208.708908194,320.117372287507
2009,171.603065562305,18.0883565460287,0,649.610045278407,681.57197806489,2508.82711164417,1964.5915635212,2254.05470982603,2984.1461029734,1933.4415610777,51.5385258997297,5.71934619812619
2010,4.59216915773095,19.3588687754642,12.8602508850245,362.596751366,2855.16393730914,503.998276131268,1967.54172829815,1266.85400696832,1676.64205495633,2690.7221880904,1521.54839089876,690.832066306205
2011,0.301185333932571,0,7.58587880224145,0,2841.58610329418,1987.29431525111,1630.24409139012,1528.47928231817,2714.16837771537,1600.01805660508,1976.82767130458,306.608937905209
2012,0,4.91739488729368,0,76.9537600045127,1567.46826810658,1519.28541856293,1964.69679695113,2530.31786456042,2012.67008681967,3371.08171374927,1448.15034148566,413.364170236083
2013,0,0,0,0,2055.29688341853,3271.67876014989,2648.07543342724,3247.41882581247,2847.59529501698,3681.89137059657,741.044288114943,90.7157525218534
2014,0,3.25679321933112,0,0.355616418378217,2472.76470382945,2775.15160395116,4416.91784873368,3793.51637061585,4638.91094431391,3377.39844109918,308.371597856508,0
2015,9.87515949555122,0,0,119.400934024709,1342.18526706398,2525.4422001712,3955.60306824757,4790.88162490141,4606.97804143913,2935.11231414291,2115.23004331689,502.75996896013
2016,36.7532289948109,0,269.354035748758,1899.65255822332,4836.28894273071,6626.53910354961,5366.33476073107,5054.26910661018,5096.40239471008,5048.38238482739,494.603017363579,0
2017,0,0,0,0,4819.13317209818,5758.44132452928,6680.61956109296,6768.28581210874,6436.12420161052,4680.82287933705,2535.0792236723,0
2018,0,0,0,667.044775218718,6150.02126758547,5542.07141356465,6064.70870737959,6596.38428276673,6283.15652499293,6103.18377301236,4247.48930499497,287.510884742714
2019,0,0,0,800.579647504479,7545.80890583441,5189.76803385969,8196.07121694143,6412.29427284022,5681.90260154366,6217.51263715148,5310.89080452236,372.455127943847
2020,0,82.6681166865647,55.359588027814,1382.20662908739,5876.40346355514,7364.45995460212,6717.72477776718,8294.60916989049,7394.20881021351,9355.74406834309,5566.24017583563,1312.85235565623
2021,39.9891569651045,79.8236389319094,0,1595.5261313612,7293.75442949959,5906.2049358815,7195.08266680127,6332.14858332534,7060.23010867955,3379.8315105739,1240.48305373915,0.164654030448077
