year,1,2,3,4,5,6,7,8,9,10,11,12
2007,0,0,0,0,0,0,0,1832.3105401972002,3051.8712718976,1936.2086009716,0,0
2008,0,0,0,0,0,85.087130354,1734.4810921424,1517.6816150460002,255.03187330759997,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,4686.675887732401,3394.7744257104,0,0,0
2011,0,0,0,0,0,0,1402.0727056884002,4957.456489168,3357.0822580476,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,283.2466813648,5324.2689519772,0,0,0
2018,0,0,0,0,0,0,0,390.8691893356,2332.8443104884,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0
