month,year,catch
1,2000,105.33
1,2007,62.75
1,2008,39.64
1,2009,75.38
1,2010,5.11
1,2011,8.48
1,2012,29.53
1,2013,859.64
1,2014,196.21
1,2015,1.53
1,2016,0.40
2,2008,66.37
2,2009,5.31
2,2010,52.19
2,2011,0.92
2,2012,0.94
2,2013,2.76
2,2014,1.95
2,2015,0.56
2,2016,0.48
3,2008,0.25
3,2009,1.78
3,2010,0.32
3,2011,8.90
3,2012,0.62
3,2013,0.11
3,2014,0.82
3,2015,0.03
4,2007,599.72
4,2008,88.66
4,2009,0.95
4,2010,0.68
4,2011,0.74
4,2012,1.13
4,2013,27.81
4,2014,0.46
4,2015,1.14
5,2007,985.19
5,2008,323.92
5,2009,201.36
5,2010,1549.60
5,2011,443.27
5,2012,388.96
5,2013,1145.59
5,2014,2480.25
5,2015,1658.40
6,2007,798.95
6,2008,1258.17
6,2009,307.59
6,2010,1910.85
6,2011,161.97
6,2012,107.42
6,2013,2053.93
6,2014,3480.29
6,2015,2798.92
7,2007,4519.12
7,2008,10138.90
7,2009,8497.94
7,2010,7810.94
7,2011,1886.45
7,2012,1244.33
7,2013,3880.44
7,2014,3098.40
7,2015,5738.27
8,2007,13710.58
8,2008,12520.04
8,2009,13810.64
8,2010,9454.25
8,2011,8161.06
8,2012,9698.30
8,2013,10198.50
8,2014,350.41
8,2015,3717.95
9,2007,19599.00
9,2008,12029.94
9,2009,12982.04
9,2010,8634.51
9,2011,8117.29
9,2012,11759.92
9,2013,10978.46
9,2014,2043.80
9,2015,1952.83
10,2001,32.23
10,2007,9146.47
10,2008,17119.36
10,2009,7180.42
10,2010,4590.05
10,2011,8769.78
10,2012,7857.72
10,2013,4601.11
10,2014,1646.33
10,2015,593.91
11,2007,2548.10
11,2008,3373.03
11,2009,1157.01
11,2010,1148.00
11,2011,4066.05
11,2012,958.52
11,2013,3.13
11,2014,7.28
11,2015,16.34
12,2007,506.69
12,2008,252.57
12,2009,43.41
12,2010,2.32
12,2011,0.99
12,2012,4.32
12,2013,28.88
12,2014,1.22
12,2015,86.61
