pos,lat,lon,name
left,46.18,123.82,Astoria
right,48.67,122.55,Bellingham Bay
left,39.43,123.8,Fort Bragg
left,42.05,124.28,Brookings
left,43.33,124.32,Charleston (Coos Bay)
left,41.76,124.2,Crescent City
left,33.47,117.68,Dana Point
right,40.8,124.15,Eureka
left,40.72,124.22,Fields Landing
left,46.3,124.03,Ilwaco
left,36.8,121.78,Moss Landing
left,35.37,120.86,Morro Bay
left,48.365,124.62,Neah Bay
left,44.63,124.05,Newport
left,33.62,117.92,Newport Beach
left,33.5,117.7,Los Angeles
right,42.73,124.48,Port Orford
left,37.45,122.42,Princeton/Half Moon Bay
left,34.42,119.68,Santa Barbara
left,46.88,124.1,Westport
left,54.32,130.32,Prince Rupert
right,49.28,123.12,Vancouver
left,50.71,127.46,Port Hardy
left,48.94,125.55,Ucluelet
left,54.35,132.60,Dixon Entrance
left,53.23,132.31,Haida Gwaii
right,49.19,123.55,Strait of Georgia
left,48.43,124.51,Strait of Juan De Fuca
right,48.04,122.55,Puget Sound
