"age","N.ovaries","old.fecundity","new.fecundity","maturity","avg.wt"
0,0,0,0,0,0.017
1,122,0,0,0,0.092
2,276,0.1,0.065,0.261,0.249
3,348,0.254,0.318,0.839,0.379
4,333,0.399,0.465,0.961,0.484
5,299,0.518,0.49,0.92,0.533
6,221,0.613,0.539,0.928,0.581
7,81,0.69,0.599,0.926,0.647
8,70,0.751,0.688,0.957,0.718
9,36,0.801,0.744,0.944,0.788
10,51,0.841,0.843,0.98,0.859
11,26,0.872,0.895,0.962,0.931
12,18,0.898,0.97,1,0.97
13,24,0.918,1.021,0.958,1.066
14,22,0.934,0.963,0.955,1.009
15,8,0.947,0.93,0.9,1.034
16,9,0.957,0.93,0.9,1.034
17,2,0.965,0.93,0.9,1.034
18,1,0.971,0.93,0.9,1.034
19,0,0.976,0.93,0.9,1.034
20,0,0.983,0.93,0.9,1.034
