Year,NWFSC\nTrawl\nSurvey,CAN Acoustic\nSurvey/\nResearch\n(Summer),U.S. Acoustic\nSurvey/\nResearch\n(Summer),U.S. Acoustic\nSurvey/\nResearch\n(Winter),U.S. At-Sea\nHake\nObserver\nProgram\n(Spring),U.S. At-Sea\nHake\nObserver\nProgram\n(Fall),OR Dept.\nFish \&\nWildlife
2009,263,0,0,0,0,0,0
2012,71,0,199,0,0,0,0
2013,70,0,254,0,104,103,0
2014,276,0,0,0,105,142,0
2015,293,0,193,0,98,112,0
2016,277,0,26,309,96,162,0
2017,109,0,65,134,93,113,0
2018,147,0,64,0,0,0,7
2019,60,15,92,0,0,0,0
2020,0,0,0,0,0,0,0
2021,0,0,69,0,0,0,0
2022,0,0,0,0,0,0,0
