month,year,catch
5,2008,21068.23053
6,2008,11384.48164
7,2008,7520.12217
8,2008,6957.36764
9,2008,5771.91765
10,2008,12496.01032
11,2008,7241.62287
5,2009,23209.80757
6,2009,881.3612
9,2009,560.3888955
10,2009,5945.21827
11,2009,3830.41176
12,2009,3122.63059
5,2010,23016.87108
6,2010,10582.9661
7,2010,4258.7764
8,2010,4322.76716
9,2010,5653.08085
10,2010,4187.83859
5,2011,9701.35717
6,2011,8724.59566
7,2011,1393.63964
8,2011,1160.2916
9,2011,7041.27283
10,2011,15997.30073
11,2011,10823.55829
12,2011,1552.47275
5,2012,4268.313657
6,2012,2749.44404
7,2012,617.5721927
8,2012,2121.119317
9,2012,5817.877416
10,2012,21645.25374
11,2012,1292.775936
5,2013,6408.734265
6,2013,6633.2543
7,2013,2241.86748
8,2013,1486.924458
9,2013,9449.34342
10,2013,20680.06728
11,2013,5547.243609
5,2014,16753.89042
6,2014,6329.178506
8,2014,109.77248
9,2014,10366.3758
10,2014,19277.84903
11,2014,9264.448375
5,2015,14652.83605
6,2015,9832.21206
9,2015,2450.073012
10,2015,725.5559
5,2016,13194.45036
6,2016,13941.87378
7,2016,6372.915984
8,2016,5065.56321
9,2016,14268.25094
10,2016,12192.40423
