"","loc","year","depth","gmean","sd","q.05","q.25","median","q.75","q.95"
"1","core",2019,"0m",307.903650734825,18.684501971858,280.395514438415,295.499473019324,306.531429944088,318.728604013446,340.372494849826
"2","core",2019,"50m",291.12923772155,18.5179418155614,264.217897391803,278.763854140463,289.587007401885,301.902691131118,323.597312406957
"3","core",2021,"0m",203.886470228528,14.6649904040447,182.323259039121,193.409622252261,202.390715060704,213.167118950238,230.081226870065
"4","core",2021,"50m",196.840225787517,14.2945325270009,176.198639059552,186.524083649184,195.346326464818,205.862524438495,222.410798123338
"5","core",2023,"0m",181.560624025229,10.8250359038477,166.434542127506,173.807071512917,180.173393882552,187.686766847583,201.986167973912
"6","core",2023,"50m",179.523693506413,10.5944343057002,164.742227345702,171.916761605913,178.152390746382,185.537003284414,199.388247166286
"7","south",2021,"0m",134.132226021376,8.94431946445914,124.98001839619,128.489474124938,131.583641511169,136.676772246143,153.028921770623
"8","south",2021,"50m",132.960787850984,7.6067880249797,124.553668602971,127.824869832079,130.846058563981,135.951857771304,148.795837737704
"9","south",2023,"0m",138.146901388043,4.0811547053264,132.166950474614,135.38237087046,137.766399193257,140.349959103668,145.735077130903
"10","south",2023,"50m",138.08954618525,4.17507875017596,131.901791385054,135.222748529676,137.757692924564,140.438241472223,145.782223582653
"11","core+south",2021,"0m",338.018696249904,17.696618249399,312.681585456369,324.83941683197,335.776242842421,349.689741022014,370.197729945341
"12","core+south",2021,"50m",329.8010136385,16.498500461356,305.987642617171,317.331607391686,327.97855164813,341.047401108168,359.330292827591
"13","core+south",2023,"0m",319.707525413272,11.4422539064209,303.169301390429,311.367477916751,318.42292233813,326.881753261938,340.347818121182
"14","core+south",2023,"50m",317.613239691663,11.2262294455798,301.606229460788,309.512563222406,316.313675162923,324.517431448843,337.812505505905
