Sampling_platform,Year,Month,Latitude,Season,Visual Maturity Code,Weight_kg,Length_cm,Age,Certainty ,o_1,o_2,o_3,o_4_1,o_4_2,o_5,o_6,o_7,o_8,o_9,Biological_maturity,Prop_atresia,Spent,Batch_spent,Spawning,POFs Present Y/N,Histology Notes,Data Notes
ASHOP,2015,5,42.03639,spring,NA,0.47,43,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.4,0,0,0,0,A lot of older atresia present this fish recently aborted a spawning attempt. Early yolked oocytes present,
ASHOP,2015,5,42.16833,spring,NA,0.41,42,5,1,Y,Y,Y,Y,N,N,N,N,N,Y,1,0.2,0,1,1,1,The fish was spawning a large batch of oocytes. Several stage 9s and many POFs (>20),
ASHOP,2015,6,43.2,summer,NA,0.44,42,5,1,Y,Y,Y,Y,N,N,N,N,N,Y,1,0.2,0,1,1,1,"This fish was spawning a batch of eggs, quite a bit of older atresia suggesting a batch was aborted at some point",
ASHOP,2015,5,42.19167,spring,NA,0.46,43,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.2,1,1,1,0,"A lot of older atresia, this fish aborted a batch spawning event. At least 7 POFs present",
ASHOP,2015,5,42.16167,spring,NA,0.4,41,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.2,1,1,1,0,"2 POFs present, older atresia present",
ASHOP,2015,6,43.645,summer,NA,0.47,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.2,1,1,1,0,"One large stage 9 in atresia, lots of older atresia indicating this fish aborted a batch recently. New group of developing oocytes.",
ASHOP,2015,5,42.25833,spring,NA,0.47,43,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.2,0,0,0,0,Lots of older atresia,
ASHOP,2015,5,42.14167,spring,NA,0.45,41,3,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.15,0,0,0,0,Appears to be recovering from last spawning event,
ASHOP,2015,5,42.04667,spring,NA,0.52,45,5,1,Y,Y,Y,N,N,N,N,N,Y,Y,1,0.1,0,0,1,1,,
ASHOP,2015,5,42.08,spring,NA,0.48,43,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.1,1,1,1,0,"Fairly large recent spawning event, >30 POFs present, one large batch in the middle of sample with POFs in reabsortion",
ASHOP,2015,6,43.35667,summer,NA,0.49,42,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.1,1,1,1,0,One large stage 9 in atreisa,
ASHOP,2015,6,43.91,summer,NA,0.42,41,3,1,Y,Y,Y,Y,N,N,N,N,Y,Y,1,0.1,1,1,1,0,"A couple of stage 8s almost stage 9, one stage 9, a few POFs. This fish was spawning a small batch",
ASHOP,2015,5,42.11833,spring,NA,0.45,43,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.1,0,0,0,0,"A few oocytes with early yolk develoment, quite a bit of old atresia",
ASHOP,2015,5,42.29167,spring,NA,0.52,44,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.1,0,0,0,0,"Appear a batch was aborted, some hydrated atresia present",
ASHOP,2015,5,42.04333,spring,NA,0.51,46,5,1,Y,Y,Y,N,N,N,N,N,N,Y,1,0.05,0,0,1,1,"Mainly spent, but a couple of stage 9s present still",
ASHOP,2015,5,42.12167,spring,NA,0.43,41,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,1,1,1,0,one POF present,
ASHOP,2015,5,42.085,spring,NA,0.66,46,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,1,1,1,0,A couple of POFs present,
ASHOP,2015,5,42.07333,spring,NA,0.42,41,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,1,1,1,0, at least 1 POF present,
ASHOP,2015,5,42.09,spring,NA,0.52,44,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,1,1,1,0,3 POFs present,
ASHOP,2015,5,42.125,spring,NA,0.43,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,1,1,1,0,Batch of older POFs present,
ASHOP,2015,5,42.05833,spring,NA,0.48,44,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.05,0,0,1,0,,
ASHOP,2015,6,43.41333,summer,NA,0.43,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,1,1,0,0,"Only a few oocytes with early yolk, residuals from last batch spent",
ASHOP,2015,6,42.53333,summer,NA,0.46,44,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.05,1,1,0,0,residuals,
ASHOP,2015,5,42.31667,spring,NA,0.45,41,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,large stage 4s,
ASHOP,2015,5,42.025,spring,NA,0.45,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,"Possibly a couple old POFs, difficult to tell. Large stage 4s",
ASHOP,2015,5,42.04333,spring,NA,0.49,44,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,,
ASHOP,2015,5,42.035,spring,NA,0.41,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,,
ASHOP,2015,5,42.25667,spring,NA,0.48,44,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,,
ASHOP,2015,5,42.08833,spring,NA,0.43,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,,
ASHOP,2015,6,42.23333,summer,NA,0.46,44,6,1,Y,Y,Y,N,N,N,N,N,N,N,0,0.05,0,0,0,0,"No yolk observed, older atresia and one hydrated atretic oocyte, this fish appears to have aborted a spawning attempt or could be recovering from spawning, marking as uncertain because of timing of collection",
ASHOP,2015,6,42.16667,summer,NA,0.51,47,5,0,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,"Early yolk development, some larger oocytes in atresia",
ASHOP,2015,6,43.55,summer,NA,0.47,42,3,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,,
ASHOP,2015,6,43.53833,summer,NA,0.37,40,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,A few residuals,
ASHOP,2015,6,43.18667,summer,NA,0.58,45,6,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.05,0,0,0,0,,
ASHOP,2015,6,42.68833,summer,NA,0.52,44,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,1,1,0,1 POF present,
ASHOP,2015,6,44.08,summer,NA,0.44,41,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,1,1,1,0,"3 - 4 POFs present, only a few oocytes with early yolk",
