Port,Lat,Lon,Name
AST,46.18,123.82,Astoria
BLL,48.67,122.55,Bellingham Bay
BRG,39.43,123.8,Fort Bragg
BRK,42.05,124.28,Brookings
COS,43.33,124.32,Charleston (Coos Bay)
CRS,41.76,124.2,Crescent City
DNA,33.47,117.68,Dana Point
ERK,40.8,124.15,Eureka
FLN,40.72,124.22,Fields Landing
LWC,46.3,124.03,Ilwaco
MOS,36.8,121.78,Moss Landing
MRO,35.37,120.86,Morro Bay
NEA,48.365,124.62,Neah Bay
NEW,44.63,124.05,Newport
NWB,33.62,117.92,Newport Beach
OLA,33.5,117.7,Other LA
ORF,42.73,124.48,Port Orford
PRN,37.45,122.42,Princeton/Half Moon Bay
SB,34.42,119.68,Santa Barbara
WPT,46.88,124.1,Westport
