"year","lower95","lowerhinge","median","upperhinge","upper95"
2008,65.8368,182.88,274.32,365.76,480.24288
2009,96.4692,182.88,292.608,356.616,422.91
2010,102.4128,182.88,274.32,327.3552,429.768
2011,82.296,228.6,314.5536,356.616,438.912
2012,146.304,232.2576,274.32,310.896,384.048
2013,112.74552,219.456,283.464,331.0128,438.912
2014,146.304,254.2032,310.896,356.616,420.624
2015,155.35656,256.032,310.896,347.472,420.624
2016,155.448,250.5456,292.608,329.184,420.624
2017,118.872,201.168,252.3744,292.608,374.904
2018,98.0694,204.8256,274.32,323.6976,412.1658
2019,91.44,182.88,256.032,320.04,401.46732
2020,107.57916,237.744,290.7792,338.328,420.624
2021,117.0432,210.312,256.032,301.752,384.048
2022,146.304,256.032,292.608,329.184,398.6784
