year,us.foreign,us.jv,us.ms,us.ms.cp,us.cp,us.ss,can.foreign,can.jv,can.ss,can.ft
1975,13,,,,,,,,,
1976,142,,,,,,,,,
1977,320,,,,,,,,,
1978,336,5,,,,,,,,
1979,99,17,,,,,,,,
1980,191,30,,  ,,,,,,
1981,113,41,,,,,,,,
1982,52,118,,,,,,,,
1983,,117,,,,,,,,
1984,49,74,,,,,,,,
1985,37,19,,,,,,,,
1986,88,32,,,,,,,,
1987,22,34,,,,,,,,
1988,39,42,,,,,,3,,
1989,,77,,,,,,3,,
1990,,143,,,,15,,5,,
1991,,,,116,,26,,18,,
1992,,,,164,,46,,33,,
1993,,,,108,,36,,25,3,
1994,,,,143,,50,,41,1,
1995,,,,61,,51,,35,3,
1996,,,,123,,35,,28,1,
1997,,,,127,,65,,27,1,
1998,,,,149,,64,,21,9,
1999,,,,389,,80,,14,26,
2000,,,,413,,91,,25,1,
2001,,,,429,,82,,28,1,
2002,,,,342,,71,,,36,
2003,,,,358,,78,,,21,
2004,,,,381,,72,,20,28,
2005,,,,499,,58,,11,31,14
2006,,,,549,,83,,21,21,46
2007,,,,524,,68,,1,7,29
2008,,,324,,356,63,,,20,31
2009,,,316,,278,65,,,7,19
2010,,,443,,331,75,,,8,17
2011,,,481,,506,81,,2,4,7
2012,,,299,,332,76,,,43,101
2013,,,409,,474,96,,,10,105
2014,,,423,,557,68,,,28,79
2015,,,203,,431,84,,,6,74
2016,,,502,,671,76,,,75,116
2017,,,353,,684,112,,,75,76
2018,,,403,,549,92,,,44,91
2019,,,286,,494,129,,,37,104
2020,,,186,,389,99,,,32,
2021,,,186,,409,124,,,,2
2022,,,289,,455,80,,,23,16
