Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.42,F,4,42,5,2012
ATSEA,0.46,F,4,42,5,2012
ATSEA,0.4,F,6,48,5,2012
ATSEA,0.37,M,3,39,5,2012
ATSEA,0.42,M,4,41,5,2012
ATSEA,0.53,M,8,47,5,2012
ATSEA,0.34,M,4,40,5,2012
ATSEA,0.39,M,4,41,5,2012
ATSEA,0.48,M,5,46,5,2012
ATSEA,0.28,M,4,35,5,2012
ATSEA,0.44,M,4,42,5,2012
ATSEA,0.49,M,4,42,5,2012
ATSEA,0.29,M,4,38,5,2012
ATSEA,0.31,M,3,39,5,2012
ATSEA,0.8,F,10,53,5,2012
ATSEA,0.68,F,5,48,5,2012
ATSEA,0.8,F,11,51,5,2012
ATSEA,0.8,F,13,53,5,2012
ATSEA,0.4,M,4,41,5,2012
ATSEA,0.72,M,12,51,5,2012
ATSEA,0.5,F,5,43,5,2012
ATSEA,0.44,M,5,43,5,2012
ATSEA,0.61,M,6,47,5,2012
ATSEA,0.36,M,4,39,5,2012
ATSEA,0.6,M,6,49,5,2012
ATSEA,0.75,M,6,52,5,2012
ATSEA,0.39,F,3,41,5,2012
ATSEA,0.57,M,4,43,5,2012
ATSEA,0.62,M,7,44,5,2012
ATSEA,0.54,F,4,43,5,2012
ATSEA,0.4,M,4,41,5,2012
ATSEA,0.42,M,4,42,5,2012
ATSEA,0.69,M,7,48,5,2012
ATSEA,0.68,M,6,48,5,2012
ATSEA,0.65,F,6,50,5,2012
ATSEA,0.61,F,6,47,5,2012
ATSEA,0.66,M,6,48,5,2012
ATSEA,0.66,M,8,49,5,2012
ATSEA,0.66,M,6,50,5,2012
ATSEA,0.8,F,7,47,5,2012
ATSEA,0.72,F,5,48,5,2012
ATSEA,0.85,F,6,52,5,2012
ATSEA,0.53,M,4,44,5,2012
ATSEA,0.5,F,4,42,5,2012
ATSEA,0.56,F,5,49,5,2012
ATSEA,0.33,M,4,39,5,2012
ATSEA,0.42,F,4,42,5,2012
ATSEA,0.88,F,14,54,5,2012
ATSEA,0.4,M,4,41,5,2012
ATSEA,0.74,F,6,51,5,2012
ATSEA,0.74,F,7,51,5,2012
ATSEA,0.48,M,4,43,5,2012
ATSEA,0.81,M,8,51,5,2012
ATSEA,0.87,F,12,54,5,2012
ATSEA,0.84,M,9,53,5,2012
ATSEA,0.41,F,4,42,5,2012
ATSEA,0.75,F,16,50,5,2012
ATSEA,0.63,M,7,49,5,2012
ATSEA,0.63,F,7,49,5,2012
ATSEA,0.91,F,11,56,5,2012
ATSEA,0.68,M,12,50,5,2012
ATSEA,0.74,M,8,51,5,2012
ATSEA,0.72,F,7,51,5,2012
ATSEA,0.26,M,4,36,5,2012
ATSEA,0.29,M,3,38,5,2012
ATSEA,0.41,M,3,41,5,2012
ATSEA,0.56,M,7,45,5,2012
ATSEA,0.49,F,4,44,5,2012
ATSEA,0.32,F,3,38,5,2012
ATSEA,0.54,F,6,47,5,2012
ATSEA,0.72,F,7,51,5,2012
ATSEA,0.46,F,4,44,5,2012
ATSEA,0.5,F,7,45,5,2012
ATSEA,0.79,F,6,53,5,2012
ATSEA,0.34,M,5,39,5,2012
ATSEA,0.41,M,4,42,5,2012
ATSEA,0.44,F,4,43,5,2012
ATSEA,0.4,M,4,39,5,2012
ATSEA,0.44,F,4,41,5,2012
ATSEA,0.9,F,12,55,5,2012
ATSEA,0.62,M,8,48,5,2012
ATSEA,0.66,M,7,50,5,2012
ATSEA,0.71,F,8,50,5,2012
ATSEA,0.51,M,8,47,5,2012
ATSEA,0.39,F,4,41,5,2012
ATSEA,0.72,F,7,52,5,2012
ATSEA,0.48,M,4,43,5,2012
ATSEA,0.59,M,6,47,5,2012
ATSEA,0.57,F,6,46,5,2012
ATSEA,0.52,M,5,47,5,2012
ATSEA,0.86,M,7,54,5,2012
ATSEA,0.74,F,6,49,5,2012
ATSEA,0.33,M,3,38,5,2012
ATSEA,0.38,M,4,40,5,2012
ATSEA,0.39,F,4,41,5,2012
ATSEA,0.54,M,7,46,5,2012
ATSEA,0.77,M,14,46,5,2012
ATSEA,0.61,F,7,48,5,2012
ATSEA,0.31,M,3,37,5,2012
ATSEA,0.36,F,4,41,5,2012
ATSEA,0.56,F,5,46,5,2012
ATSEA,0.48,M,4,44,5,2012
ATSEA,0.36,M,4,41,5,2012
ATSEA,0.36,F,4,40,5,2012
ATSEA,0.43,F,4,43,5,2012
ATSEA,0.91,F,8,56,5,2012
ATSEA,0.48,M,4,43,5,2012
ATSEA,0.73,F,6,51,5,2012
ATSEA,0.89,F,7,55,5,2012
ATSEA,0.6,M,6,49,5,2012
ATSEA,0.59,M,5,49,5,2012
ATSEA,0.6,F,7,49,5,2012
ATSEA,0.38,M,4,40,5,2012
ATSEA,0.35,F,4,39,5,2012
ATSEA,0.54,F,6,47,5,2012
ATSEA,0.41,M,4,41,5,2012
ATSEA,0.59,F,7,46,5,2012
ATSEA,0.75,F,6,51,5,2012
ATSEA,0.57,M,9,46,5,2012
ATSEA,0.62,M,9,49,5,2012
ATSEA,0.78,F,6,51,5,2012
ATSEA,0.49,F,4,44,5,2012
ATSEA,1.32,F,12,60,5,2012
ATSEA,0.35,M,4,40,5,2012
ATSEA,0.37,M,4,41,5,2012
ATSEA,0.46,F,5,44,5,2012
ATSEA,0.39,M,4,42,5,2012
ATSEA,0.44,M,4,43,5,2012
ATSEA,0.46,M,7,44,5,2012
ATSEA,0.6,M,8,47,5,2012
ATSEA,0.89,M,13,57,5,2012
ATSEA,0.46,F,4,42,5,2012
ATSEA,0.32,M,4,38,5,2012
ATSEA,0.28,F,4,38,5,2012
ATSEA,0.4,F,3,41,5,2012
ATSEA,0.34,M,3,38,5,2012
