"NatM_p_1_Fem_GP_1","SR_LN(R0)","SR_BH_steep","Q_extraSD_2_Acoustic_Survey"
0.222277,14.7673,0.873947,0.39283
0.191065,14.4545,0.72294,0.251625
0.199087,14.6887,0.778853,0.81504
0.28314,15.7613,0.778289,0.666825
0.190213,14.5979,0.687067,0.319977
0.254498,15.0035,0.921949,0.433532
0.21868,14.6709,0.918159,0.268618
0.229211,15.0152,0.83881,0.39588
0.216899,14.9478,0.619382,0.450506
0.211965,14.7751,0.848809,0.300227
0.254022,15.2213,0.787347,0.26903
0.208949,14.8748,0.94366,0.24195
0.241698,15.0746,0.771982,0.308686
0.249281,14.9278,0.842819,0.373231
0.254236,15.2135,0.59574,0.623409
0.219106,14.8063,0.889294,0.854478
0.235038,15.2614,0.671142,0.415067
0.25846,15.3064,0.758696,0.456683
0.234712,15.1762,0.786714,0.281098
0.207829,14.7534,0.73069,0.397597
0.208387,14.7707,0.593011,0.52599
0.225116,15.0727,0.746063,0.254589
0.202991,14.6467,0.793849,0.50876
0.235074,14.8237,0.831188,0.426386
0.24585,15.1234,0.791475,0.427086
0.211591,14.7259,0.965219,0.36708
0.199986,14.8165,0.942165,0.192108
0.195834,14.7074,0.789716,0.28242
0.208736,14.7057,0.886086,0.33764
0.205128,14.674,0.817125,0.256684
0.210361,14.7956,0.782718,0.339347
0.228634,14.8975,0.699159,0.238256
0.241781,15.0539,0.87209,0.426631
0.184114,14.5832,0.685711,0.214938
0.241034,15.0483,0.811628,0.363592
0.198604,14.6281,0.685039,0.256575
0.219326,14.8801,0.971051,0.454361
0.237917,14.9488,0.787468,0.661508
0.241703,15.1492,0.83184,0.326347
0.23875,15.0537,0.897827,0.561759
0.20537,14.659,0.845005,0.261326
0.199211,14.8987,0.861435,0.514361
0.236822,15.2163,0.889779,0.402816
0.233796,14.9038,0.836427,0.350855
0.222173,14.8718,0.761053,0.224694
0.202168,14.7335,0.772749,0.437477
0.234262,14.9829,0.922184,0.45196
0.199254,14.7809,0.778506,0.386569
0.209619,14.7169,0.863616,0.328895
0.207392,14.753,0.824778,0.302032
0.214825,14.5112,0.491187,0.467354
0.180967,14.3053,0.941314,0.383242
0.218392,14.942,0.760093,0.64054
0.287082,15.4949,0.702853,0.384877
0.231442,15.0464,0.816498,0.599194
0.233038,15.1153,0.784399,0.475149
0.225216,14.9396,0.884018,0.504678
0.232287,15.0344,0.933895,0.367523
0.21557,14.9113,0.803286,0.204541
0.253375,15.2128,0.869067,0.470036
0.22787,14.9393,0.794834,0.352684
0.240647,14.9903,0.893926,0.270321
0.196937,14.5691,0.922269,0.687182
0.204748,14.6792,0.939963,0.471345
0.189891,14.5871,0.7755,0.404002
0.194744,14.5695,0.69186,0.304491
0.223871,14.8372,0.843394,0.32765
0.225259,14.7421,0.815846,0.439637
0.217017,14.8139,0.792963,0.495327
0.218625,14.8601,0.899822,0.479482
0.191653,14.4479,0.881497,0.515955
0.209118,14.9324,0.713149,0.277732
0.22751,14.7897,0.685541,0.339753
0.226536,14.8697,0.706588,0.277833
0.231752,14.6962,0.881678,0.468279
0.211465,14.7521,0.905054,0.283009
0.202008,14.6208,0.85679,0.276397
0.180092,14.6412,0.761277,0.250016
0.257912,15.1524,0.784128,0.543256
0.248378,14.997,0.678694,0.586203
0.226205,14.7729,0.819754,1.04375
0.2025,14.5617,0.901165,0.301759
0.200825,14.7005,0.855068,0.345012
0.192134,14.6264,0.885055,0.230492
0.164584,14.1423,0.879324,0.379877
0.207886,14.6797,0.757058,0.508226
0.223919,14.6927,0.784655,0.519671
0.216425,15.0682,0.825508,0.609727
0.262015,15.5702,0.654089,0.484727
0.229791,15.4117,0.501919,0.470589
0.168517,14.6863,0.570717,0.435645
0.23772,14.9997,0.908364,0.25333
0.213083,14.6988,0.882135,0.325558
0.224312,14.8938,0.792116,0.415296
0.241038,15.2342,0.675739,0.450792
0.182198,14.3949,0.851986,0.253297
0.212128,14.9345,0.652496,0.385537
0.236347,14.8288,0.820887,0.317391
0.245678,15.1767,0.745187,0.469309
0.235522,15.1294,0.800031,0.45793
0.23263,14.8877,0.785214,0.587884
0.220737,14.8175,0.833119,0.286889
0.216574,14.9675,0.88114,0.824608
0.227884,14.9797,0.450107,0.523558
0.209388,14.7397,0.57269,0.295093
0.18176,14.4036,0.719676,0.563321
0.24767,15.0125,0.788562,0.278779
0.221494,14.6987,0.98123,0.363745
0.248889,15.5024,0.820588,0.616542
0.240341,15.1741,0.924317,0.492751
0.200233,14.5911,0.870441,0.360662
0.215365,15.0605,0.767084,0.402897
0.243148,15.2901,0.903781,0.478385
0.269324,15.6655,0.590424,0.607207
0.27491,15.4535,0.827878,0.403672
0.290279,15.9601,0.792154,0.619972
0.256207,15.2995,0.942067,0.45686
0.262707,15.6015,0.643881,0.477716
0.225331,14.7282,0.988343,0.632162
0.219254,14.7554,0.822737,0.283259
0.211959,14.9053,0.798175,0.501317
0.226724,14.812,0.878534,0.290217
0.21505,14.7369,0.792809,0.370051
0.230206,14.9696,0.929333,0.429519
0.212561,14.753,0.739095,0.753357
0.204361,14.6493,0.744222,0.428795
0.23111,14.9075,0.79272,0.368722
0.233018,15.1795,0.791475,0.276148
0.212992,14.7265,0.904301,0.261743
0.19949,14.6751,0.815238,0.320016
0.226505,15.0032,0.822989,0.342392
0.222039,14.8161,0.86774,0.222142
0.255012,15.403,0.843435,0.472005
0.206321,14.6875,0.941201,0.25386
0.183087,14.238,0.958235,0.43658
0.230877,14.998,0.925536,0.273432
0.21758,14.8527,0.803763,0.863214
0.247061,14.896,0.826954,0.356561
0.216144,14.6992,0.788816,0.280602
0.241964,14.9691,0.908989,0.287515
0.240643,14.9376,0.893654,0.445172
0.27958,15.3919,0.758017,0.427359
0.20628,14.751,0.83782,0.375507
0.198144,14.6974,0.806185,0.384843
0.216435,14.9146,0.81744,0.548453
0.229846,14.8985,0.570956,0.491389
0.223131,15.0165,0.635201,0.264248
