"Objective_function","Early_InitAge_20","Early_InitAge_19","Early_InitAge_18","Early_InitAge_17","Early_InitAge_16","Early_InitAge_15","Early_InitAge_14","Early_InitAge_13","Early_InitAge_12","Early_InitAge_11","Early_InitAge_10","Early_InitAge_9","Early_InitAge_8","Early_InitAge_7","Early_InitAge_6","Early_InitAge_5","Early_InitAge_4","Early_InitAge_3","Early_InitAge_2","Early_InitAge_1","Early_RecrDev_1966","Early_RecrDev_1967","Early_RecrDev_1968","Early_RecrDev_1969","Main_RecrDev_1970","Main_RecrDev_1971","Main_RecrDev_1972","Main_RecrDev_1973","Main_RecrDev_1974","Main_RecrDev_1975","Main_RecrDev_1976","Main_RecrDev_1977","Main_RecrDev_1978","Main_RecrDev_1979","Main_RecrDev_1980","Main_RecrDev_1981","Main_RecrDev_1982","Main_RecrDev_1983","Main_RecrDev_1984","Main_RecrDev_1985","Main_RecrDev_1986","Main_RecrDev_1987","Main_RecrDev_1988","Main_RecrDev_1989","Main_RecrDev_1990","Main_RecrDev_1991","Main_RecrDev_1992","Main_RecrDev_1993","Main_RecrDev_1994","Main_RecrDev_1995","Main_RecrDev_1996","Main_RecrDev_1997","Main_RecrDev_1998","Main_RecrDev_1999","Main_RecrDev_2000","Main_RecrDev_2001","Main_RecrDev_2002","Main_RecrDev_2003","Main_RecrDev_2004","Main_RecrDev_2005","Main_RecrDev_2006","Main_RecrDev_2007","Main_RecrDev_2008","Main_RecrDev_2009","Main_RecrDev_2010","Late_RecrDev_2011","Late_RecrDev_2012","Late_RecrDev_2013","Late_RecrDev_2014","ForeRecr_2015","ForeRecr_2016","ForeRecr_2017","SPB_Virgin","SPB_Initial","SPB_1966","SPB_1967","SPB_1968","SPB_1969","SPB_1970","SPB_1971","SPB_1972","SPB_1973","SPB_1974","SPB_1975","SPB_1976","SPB_1977","SPB_1978","SPB_1979","SPB_1980","SPB_1981","SPB_1982","SPB_1983","SPB_1984","SPB_1985","SPB_1986","SPB_1987","SPB_1988","SPB_1989","SPB_1990","SPB_1991","SPB_1992","SPB_1993","SPB_1994","SPB_1995","SPB_1996","SPB_1997","SPB_1998","SPB_1999","SPB_2000","SPB_2001","SPB_2002","SPB_2003","SPB_2004","SPB_2005","SPB_2006","SPB_2007","SPB_2008","SPB_2009","SPB_2010","SPB_2011","SPB_2012","SPB_2013","SPB_2014","SPB_2015","SPB_2016","SPB_2017","Recr_Virgin","Recr_Initial","Recr_1966","Recr_1967","Recr_1968","Recr_1969","Recr_1970","Recr_1971","Recr_1972","Recr_1973","Recr_1974","Recr_1975","Recr_1976","Recr_1977","Recr_1978","Recr_1979","Recr_1980","Recr_1981","Recr_1982","Recr_1983","Recr_1984","Recr_1985","Recr_1986","Recr_1987","Recr_1988","Recr_1989","Recr_1990","Recr_1991","Recr_1992","Recr_1993","Recr_1994","Recr_1995","Recr_1996","Recr_1997","Recr_1998","Recr_1999","Recr_2000","Recr_2001","Recr_2002","Recr_2003","Recr_2004","Recr_2005","Recr_2006","Recr_2007","Recr_2008","Recr_2009","Recr_2010","Recr_2011","Recr_2012","Recr_2013","Recr_2014","Recr_2015","Recr_2016","Recr_2017","Recr_Unfished","ForeCatch_2015","ForeCatch_2016","ForeCatch_2017"
299.877,-2.02247,-0.223575,-1.51661,-2.47804,-2.50856,1.03834,-0.962448,-2.30427,-0.780098,-1.31065,0.25917,0.227255,-0.320561,0.217842,-0.13809,0.62419,0.164941,0.461244,1.61247,-1.73101,-1.18539,1.73265,0.0885365,0.476228,2.01624,-0.199455,-1.14389,1.26337,-1.40302,0.211454,-0.573196,1.71957,-3.25795,0.168067,2.47421,-1.66589,-1.03953,-0.694757,2.87402,-1.24764,-2.09013,1.81487,0.586596,-1.40211,1.46117,-1.18436,-2.2027,1.31351,0.906683,0.312144,0.51126,0.230853,0.884474,2.43345,-0.590279,-0.306279,-2.01283,0.308455,-1.78045,0.955346,0.282924,-4.43756,1.79674,-0.081208,2.78782,-0.437615,1.42462,0.461918,-1.21077,-0.169101,0.935788,1.40504,4056240,4056240,1847690,1966410,1825200,1969780,2059490,2013100,2342070,2639460,2622970,2546640,2421400,2234430,2054520,2160100,2213800,2188140,2703810,3180910,3273870,3063090,3822100,4455240,4518620,4506550,4328460,3973490,3630330,3242390,2804300,2334550,2194610,1999070,1779700,1525990,1347970,1913650,2441880,2656360,2506070,2099700,1607940,1247900,1070070,830221,1000390,1136910,1928340,2697740,3115030,3205110,2454550,1730420,2590290,2590290,284843,5295250,1017320,1507590,7054360,768260,301747,3373580,234391,1175950,535005,5271750,36127.4,1114800,11205600,178273,337686,480532,17068000,275961,119964,5988700,1754290,240093,4200530,297203,106976,3583240,2369040,1293910,1572870,1180800,2250500,10455800,502353,687917,126867,1298750,160295,2445060,1222920,10632.7,5326190,786183,14226400,574419,3885960,1515420,286552,813133,2421290,3779080,2590290,833757,670083,467804
320.397,-0.324352,1.79364,2.20561,-1.1798,2.11641,-0.75608,0.344381,0.497574,0.144186,-1.63466,-1.72894,-1.66184,-2.60633,-0.439147,-0.993374,-1.83971,-1.01667,0.146243,-0.701577,1.17639,-1.21335,1.56755,1.05878,-0.0693159,2.17247,-0.697921,-1.2245,1.37136,-2.00515,0.290613,-0.430429,1.45571,-1.58953,1.18975,2.80302,-1.24081,0.406441,-0.834036,2.54373,-0.890671,-2.92927,1.53022,0.319825,-2.53836,1.82475,-0.653395,-1.28701,1.40116,1.32185,0.105153,0.709308,0.0993428,0.86442,2.67806,-2.71561,0.228964,-3.53182,0.645912,-4.83601,1.04134,0.806062,-2.84131,1.80509,-0.013471,2.64474,-0.528088,0.868606,0.171555,0.323639,-0.746791,-0.890215,-0.511896,3900000,3900000,1300500,1231300,1114610,1212280,1321890,1307780,1595370,1868940,1890110,1855610,1782820,1664950,1562720,1600450,1599400,1662720,2312030,2953670,3254110,3216390,3604060,3839730,3724280,3560670,3274790,2931060,2713030,2507000,2265310,1923500,1892550,1774200,1600970,1367070,1153660,1627900,2108170,2354540,2276150,1948980,1517800,1169520,1009250,808382,895642,937001,1289480,1672250,1785790,1703840,1487430,1237280,1894530,1894530,177354,2823110,1653830,547188,5259970,297355,183570,2537750,86882.8,860049,415108,2701190,126885,2053920,10307600,182118,1001680,299602,8880510,285972,37698.5,3279500,974613,55660.7,4330100,358579,188417,2740830,2494190,719084,1311920,704435,1483620,8790090,38308.3,788539,19232.8,1276210,5283.58,1838090,1383950,33904.5,3392490,513402,7576330,321819,1419490,748564,882642,299912,252665,353316,1894530,332561,287847,239355
301.595,0.109141,1.04372,1.50546,0.291593,-0.944008,0.625488,-0.93469,0.661526,0.369177,-0.449175,-3.23413,0.0930498,-1.89777,-0.504109,-1.63242,-0.589905,-1.07934,0.972371,-1.22255,1.39254,0.346684,1.09641,-1.16758,-1.58989,2.11024,-1.93504,-0.00215856,1.32101,0.213413,0.106602,-1.08315,1.49745,-1.2691,-0.823764,2.69478,-2.87472,-1.29814,-2.13475,2.43951,-1.09777,-1.99251,1.56935,-0.0133158,-2.36944,1.48627,-1.08044,-1.66886,1.28149,1.12867,0.219678,0.682306,-0.384978,0.658773,2.52614,-0.475193,0.025802,-2.26375,0.493622,-3.01269,0.992943,0.794393,-2.85131,2.17201,1.02456,3.19207,-0.219673,1.53454,-1.35478,1.24087,2.6516,-1.76257,0.277958,4582090,4582090,1486250,1566300,1611800,1775640,1768510,1568970,1796630,2056550,2103730,2125420,2147890,2099160,2004060,2073000,2097170,2033530,2636760,3264280,3485630,3335600,3702020,3949160,3841650,3731750,3486660,3147390,2877010,2595530,2294230,1918860,1885420,1784770,1648110,1433330,1220640,1735950,2274480,2558180,2487630,2154970,1707810,1371820,1236220,1043910,1349000,1702540,3010780,4270480,4987090,5096300,4270390,4148550,2394610,2394610,1107390,2366760,247263,164802,6662240,114221,807874,3097650,1026670,924007,281590,3706320,231479,363138,12271000,46573.1,233174,103335,10080900,292077,120510,4268470,874864,82722.5,3886220,295507,162537,3070390,2594760,1019110,1614180,550322,1541870,9722550,467421,826072,87154,1394030,41688.9,2246220,1776700,44522.2,6616020,2018160,18693400,644142,4020410,230679,3126370,12832800,153429,1177960,2394610,981286,930297,738235
321.16,0.233604,0.521274,-0.625268,1.47298,0.771508,-1.01262,-1.70995,-2.01557,1.16032,-3.23037,0.191666,0.888858,-3.54491,-2.75027,-1.05071,-0.104988,1.63825,-2.81402,0.0406363,-1.83538,-0.402235,2.88944,-2.47608,-1.76371,2.68712,-0.819314,-1.26787,2.03479,0.570687,0.153427,-0.110271,1.91892,-2.10734,0.051508,2.80583,-1.26649,-2.82549,-0.229464,2.1254,-1.73112,-0.888601,1.34951,0.257295,-2.3538,1.22656,-0.946523,-1.16127,0.864748,0.510763,0.256567,0.0401813,-0.0615844,0.620142,2.11009,-1.57446,-0.37571,-3.45167,0.185687,-2.98247,0.705906,0.571604,-2.1973,1.93587,0.488259,2.87988,-0.944945,0.447252,1.08491,0.266673,-2.75242,-1.01563,1.24327,6877610,6877610,3399500,3113560,2669870,4728300,6476210,6854560,8534110,9686470,9527260,9621590,9575500,9030050,8166340,8082270,7806840,7201990,8738490,9974250,9859780,8921330,8934550,8669320,7819100,7187820,6535320,5713810,5162130,4602480,3958130,3378800,3186400,2960680,2692330,2376880,2185290,3098010,3790930,3939420,3574500,3000870,2351460,1961180,1881520,1700980,2345350,2961030,5327410,7167010,7672990,7588520,4642840,2737850,6999180,6999180,1637590,43494800,198561,436146,38417300,1157470,749644,20521000,4742130,3125950,2400770,18207500,322953,2795390,43822000,742682,158118,2135470,22487600,472896,1098260,10279300,3427050,250341,8923010,1004880,803425,6025150,4159360,3162000,2526160,2257290,4397060,19094200,471912,1659910,78689.8,3003340,124879,4872880,4091580,247641,15309400,3517950,41129700,933163,4025030,7795820,3455180,168650,919853,8221800,6999180,2854030,1741440,1085780
315.809,-1.31199,-0.846545,0.0922456,0.591254,0.871792,0.699516,0.549587,-0.852863,-0.639562,0.791051,-0.824104,-1.82027,0.145076,-3.10718,-1.46298,-2.35266,-2.65073,-0.164732,1.16494,-2.43137,1.05379,-0.794274,1.65896,-0.722932,2.37622,-3.63303,-0.958755,1.56954,-0.256519,-0.419912,-2.23609,1.69424,-1.08981,0.350738,2.53056,-0.389627,-2.41257,-2.53072,2.62583,-1.14557,-0.850679,1.36843,0.946051,-1.86639,1.52673,-0.643615,-2.22883,1.39837,0.637745,0.650615,0.52952,0.302638,0.566296,2.62479,-0.194837,-0.110557,-2.37371,0.599455,-3.87426,1.16464,0.772874,-2.89462,2.0664,0.737085,3.07133,-0.169209,-2.29654,1.09483,0.221356,1.55227,1.35916,-0.0237292,4536850,4536850,1226370,1198240,1146510,1145090,1219500,1215320,1627140,2007430,2089470,2138590,2161420,2076340,1934790,1994800,2039310,2050640,2525060,3020450,3178210,3020320,3471690,3835900,3839520,3742400,3560980,3300300,3078430,2831010,2529650,2157730,2043500,1875010,1689680,1458670,1241670,1723360,2241510,2514000,2441810,2115290,1680480,1353620,1224710,1040150,1233570,1427240,2295770,3172280,3449130,3419530,2825350,2541740,2186600,2186600,1800590,281540,3225520,297835,6744530,16545.7,261390,3448080,560252,478194,77953.1,3935400,239321,1017740,9046330,488410,67403.2,61792.7,10812000,246888,338689,3158760,2070790,123943,3663250,413521,83824.7,3109180,1424180,1397510,1223570,956135,1213030,9132100,518647,619585,68450.1,1369080,15527.7,2326720,1489280,35809.9,4954470,1240270,13565700,555175,74303.7,2338140,988490,3736280,2988590,735658,2186600,690040,499964,419854
311.42,-1.22974,0.190879,0.677488,0.470777,1.90108,1.24591,-0.988713,-2.44486,0.93088,-1.68838,-2.06589,-1.39016,0.996045,0.152043,-0.646281,0.292283,-1.43847,-0.625986,0.546991,-0.684694,0.907798,1.52416,1.46369,-0.701582,2.15761,0.335996,-1.36194,1.61137,-2.15657,0.636808,0.686066,1.47088,-0.253571,-0.0870169,2.91426,-1.42344,-2.61266,-1.93939,2.76526,-1.83647,-2.06301,1.84266,0.9335,-1.52205,1.66414,-0.376928,-3.03263,1.47629,0.949657,-0.0286469,0.724663,-0.178716,0.754685,2.42598,-0.360112,-0.229005,-2.64305,0.276383,-3.99402,0.882349,0.413516,-3.43623,1.75168,0.0419688,2.81972,-0.0226087,0.31337,-0.419182,-1.30085,-1.09984,0.594783,2.38568,3976200,3976200,1555860,1389150,1282480,1554070,1963850,2115170,2663700,3123980,3141880,3158460,3057010,2875280,2761360,2864850,2873910,2757930,3789940,4716380,4903560,4524590,5112620,5491200,5259870,5071390,4815710,4382570,4057340,3693670,3222140,2781740,2676590,2435970,2176800,1876410,1632180,2278030,2852400,3042370,2811940,2326100,1756320,1348980,1163750,927986,1146070,1325780,2388560,3364640,3663580,3453100,2233500,1187790,3280340,3280340,2954570,5438180,5094410,590912,10423900,1691290,312121,6132260,141674,2314730,2429460,5316200,946588,1119360,22513600,293818,90197.5,177620,19633200,196724,157183,7818270,3147560,269949,6525920,846186,59352.5,5379660,3166620,1185610,2515290,1016070,2573560,13606100,833513,963955,86864.5,1612610,22487.5,2931150,1813150,38057,6751330,1200460,19623500,1154770,1660880,806482,334639,408568,2195370,12745000,3280340,1046960,849344,430215
306.769,-0.0308731,-1.04851,2.22563,0.101411,0.25434,1.21421,-0.136777,-2.63092,0.141941,0.0707065,-2.54887,-0.0786779,-0.525813,0.812018,-1.3784,0.489676,-0.665539,-0.554338,0.455446,-0.694254,0.371174,1.86083,-0.0551905,0.142311,2.05791,-0.368462,-0.704217,1.33202,-0.282516,0.307232,-0.511287,1.91861,-0.510319,-0.580978,2.93057,-2.94104,-2.27325,-1.2004,2.60077,-1.97207,-1.86595,1.96728,0.279385,-1.06999,1.76488,-2.67463,-2.00735,1.48772,0.986048,0.341926,0.394271,0.612957,0.468531,2.5802,-0.840415,-0.0856805,-2.23595,0.457029,-3.25538,1.00737,0.847297,-4.32666,2.28689,0.132411,2.94525,-1.40653,1.77399,-0.537017,2.00596,-1.47884,-1.5311,-0.308118,3796040,3796040,1535080,1367860,1171170,1395680,1580970,1583620,1923510,2230310,2248820,2218720,2162950,2049390,1926370,2114510,2273570,2285690,3132350,3938310,4182050,3967650,4330470,4526080,4315350,4215010,3999690,3655300,3408700,3110090,2733330,2327760,2236640,2061320,1825610,1585040,1374790,1954050,2509140,2752960,2618100,2219960,1721280,1350210,1201470,998620,1381360,1728500,2752820,3649070,4168860,4229470,3460210,2767270,2352180,2352180,1238900,5459600,795659,980242,6702680,592279,427271,3293140,655479,1181580,520675,5901090,518729,485196,16298900,45944.7,90480.5,266002,11919500,122976,136988,6335840,1170480,303484,5162180,60801.1,118299,3889020,2346120,1225450,1289420,1599540,1377270,11301500,366569,793639,93296.2,1382600,33708.2,2379790,2005980,11210.6,8291490,948569,16157500,210663,5159920,515524,6575160,201653,190535,643376,2352180,1153020,932768,810476
309.301,-0.959666,-0.943392,-0.0665202,1.56462,-1.59171,1.64663,-2.45358,0.391692,0.551585,0.869823,-1.35228,0.705587,0.0726193,-2.24028,0.096557,-2.1986,-2.71395,0.715653,-1.23058,0.519902,-0.235734,0.927495,-0.332518,1.30866,2.06823,1.16562,-0.520999,1.28576,-0.514661,0.479522,-0.319093,1.394,0.585757,-1.78818,2.57384,-1.77373,-0.726925,-1.13537,2.45399,-2.59803,-1.29349,1.63113,0.018273,-3.94625,1.19797,0.291796,-2.39272,1.26763,0.721248,0.435344,-0.0529798,0.0577706,0.148144,2.39198,-0.75569,-0.589123,-2.65852,0.217385,-2.14522,0.664545,0.51647,-2.46258,1.63518,0.0161109,2.45587,-0.805984,-0.338864,-0.0394936,0.616566,-2.33799,-0.210568,0.170664,4908610,4908610,1849290,1713640,1535650,1566460,1526850,1587550,2198790,2905100,3208040,3337080,3303160,3156430,2977350,2997780,3057690,2978810,3670900,4306740,4440550,4158980,4607640,4888080,4698280,4562010,4281120,3850370,3450230,3107700,2742980,2375160,2304490,2165800,1940860,1671560,1396170,1988280,2568880,2799130,2636810,2211070,1703390,1311690,1144140,933717,1125300,1279320,1953540,2571460,2691510,2505010,2005180,1509660,3318940,3318940,911590,2890290,808003,4181730,8906340,3630970,698461,4361460,726030,1967560,884680,4890650,2169970,202160,15876200,205002,592533,397556,14419500,91904.4,340622,6363490,1265880,23986.8,4098390,1645960,111561,4305170,2468630,1831280,1120530,1244030,1345680,12461800,521972,645544,83601.1,1494010,139997,2286980,1914720,93790.3,5518340,1050930,12500700,489629,827480,1147300,2219760,114933,943486,1333230,3318940,562712,492318,378475
306.316,-0.359457,0.965218,-1.17529,-2.13118,0.803942,-0.508663,-0.364216,-2.71736,-0.972938,-0.776191,1.32369,-2.50156,-1.79718,-1.08659,-1.05774,0.628497,0.541478,0.518829,-0.475263,0.827015,-0.308006,0.640367,1.01069,-2.58149,2.13777,-0.318193,-0.656683,1.21302,-1.23727,0.560651,-1.49549,1.35066,-0.863024,0.971327,2.79698,-0.559924,-1.25993,-0.909421,2.28603,-1.60131,-3.0425,1.561,0.36654,-2.05217,0.946966,0.124899,-2.38567,1.15704,0.862244,0.0990021,0.576115,0.0123192,0.643931,2.51633,-0.324096,-0.0866329,-4.38797,0.363322,-2.07474,0.926249,0.69733,-4.07634,1.94535,0.717968,2.49832,-0.177897,-0.697237,-0.365308,-0.981175,-2.52535,-0.249386,2.93471,5083340,5083340,1935430,1945200,1838410,1819890,1816930,1677590,1996350,2331790,2379460,2362830,2282970,2173810,2043700,2075850,2066680,2114830,3026840,3907790,4222520,4066550,4412460,4575810,4336830,4161810,3910070,3555320,3163440,2794720,2428310,2020900,1935330,1781550,1582800,1354230,1152230,1681970,2209880,2449380,2335560,1968900,1508470,1175520,1046550,858042,1041290,1217330,1711130,2168940,2210960,1988540,1479060,1054020,3102830,3102830,684729,1770510,2517000,69079.1,7738520,645750,487967,3315930,287695,1733420,219629,3728390,399917,2516030,15595400,547233,299123,448304,11106200,226120,54297.6,5454360,1636820,144669,2869720,1237730,98028.3,3289910,2361480,1042920,1657610,917679,1654920,10133500,552551,814761,12061,1437260,123865,2365590,1714580,13080.9,5115660,1359270,8872110,655115,445122,669879,363914,75213.9,660297,13804500,3102830,463758,335700,224915
301.535,1.61334,0.695382,-2.40136,0.796518,0.402627,-0.886981,-1.82435,1.2048,-1.68792,1.062,0.159515,-0.477023,0.991451,-0.427515,0.600115,-1.19692,0.00285415,-0.0973485,-1.42546,-0.376185,1.25009,0.983705,0.216127,-1.16247,1.93626,0.172244,-2.1541,1.38357,-0.983134,-0.499287,-1.57647,1.68562,-0.587924,0.581017,2.74288,-0.43854,-0.357809,-1.01456,2.37758,-1.22102,-2.41289,1.71713,0.558184,-2.34983,1.40291,-0.321835,-3.45578,1.06464,1.05922,0.146851,0.128307,0.492138,0.709412,2.4835,-1.49586,-0.473583,-1.85058,0.299025,-3.30752,0.846395,0.440345,-2.50783,1.90533,0.426309,2.44966,-1.43376,-0.734042,0.183717,3.10843,-1.0745,1.09548,1.88536,4460960,4460960,2287380,1963960,1784920,1874830,1898940,1747300,1968120,2241650,2252830,2250130,2216420,2071750,1887320,1980940,2074680,2145650,2979280,3794440,4113900,3986140,4329600,4494160,4275160,4125040,3905940,3579810,3278290,2967480,2619710,2159230,2050720,1881300,1664480,1433220,1260240,1859740,2427450,2668790,2541410,2152180,1663630,1289690,1108040,880068,1095550,1314070,1915200,2435540,2491280,2290020,3086710,3924030,2610640,2610640,3281300,2479930,1140080,288666,6407790,1088680,107596,3743530,351249,569776,193791,5028560,513103,1659250,14476500,602977,670242,352482,10521600,287448,87629.4,5457830,1708900,93121.7,3959810,702479,30436.2,2778940,2740110,1083360,1058540,1510540,1853100,10731600,197225,574412,148436,1282940,34700.5,2180010,1415860,71924.6,5803830,1270470,9984650,211086,443991,1135360,21187900,321020,2873260,6416550,2610640,536011,523213,1118950
